"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
564,"Universidade Federal de Sergipe","ASE","9975","Calliandra dysantha",NA,"CEB Proença",-15.866667,-47.833333
956,"Instituto de Botânica","SP","487771","Calliandra paganuccii",NA,"VC de Souza",-13.003889,-41.386389
1031,"Instituto de Botânica","SP","316149","Calliandra fuscipila",NA,"LP de Queiroz",-13.25,-41.9
1042,"Instituto de Botânica","SP","313985","Calliandra elegans",NA,"LP de Queiroz",-13.266667,-41.9
1043,"Instituto de Botânica","SP","316080","Calliandra bahiana",NA,"LP de Queiroz",-13.216667,-41.833333
1066,"Instituto de Botânica","SP","270566","Calliandra depauperata",NA,"RC Barneby",-9.416667,-40.583333
1188,"USP","SPF","229857","Calliandra calycina",NA,"LM Borges",-10.250611,-41.1205
1193,"USP","SPF","229855","Calliandra squarrosa",NA,"LM Borges",-10.279167,-41.608972
1255,"Universidade Federal Rural de Pernambuco","HST","18857","Calliandra bahiana",NA,"VC de Souza",-10.416667,-41.301111
1316,"MEL","MEL","MEL 2066598A","Calliandra brevipes",NA,"RC Barneby",-29.95,-51
1318,"MEL","MEL","MEL 0727882A","Calliandra surinamensis",NA,"RC Barneby",-6.383333,-62.833333
1333,"MEL","MEL","MEL 2066599A","Calliandra brevipes",NA,"RC Barneby",-29.95,-51
1414,"Universidade Federal da Bahia","ALCB","133771","Calliandra dysantha",NA,"ML Guedes",-12.014167,-37.716389
1502,"ASU","Plants","ASU0017821","Calliandra sessilis",NA,"RC Barneby",-18.3333,-45.8167
1504,"ASU","Plants","ASU0017820","Calliandra parviflora",NA,"HS Irwin",-15.536972,-47.335727
1509,"ASU","Plants","ASU0017817","Calliandra macrocalyx",NA,"RC Barneby",-15.8,-43.3167
1552,"UEFS","HUEFS","248931","Calliandra macrocalyx","macrocalyx","LP de Queiroz",-14.965,-43.916389
1584,"JBRJ","RB","RB00576117","Calliandra paganuccii",NA,"VC de Souza",-13.00207,-41.364039
1588,"JBRJ","RB","RB00439253","Calliandra calycina",NA,"VC de Souza",-12.56667,-41.38333
1589,"JBRJ","RB","RB00576118","Calliandra viscidula",NA,"VC de Souza",-12.96359,-41.57273
1590,"JBRJ","RB","RB00576107","Calliandra asplenioides",NA,"LP de Queiroz",-13.020839,-41.365654
1595,"JBRJ","RB","RB00418646","Calliandra hirsuticaulis",NA,"VC de Souza",-12.5,-41.45
1596,"JBRJ","RB","RB00204641","Calliandra calycina",NA,"VC de Souza",-12.553436,-41.382054
1597,"JBRJ","RB","RB00159992","Calliandra asplenioides",NA,"LP de Queiroz",-12.45556,-41.47083
1600,"JBRJ","RB","RB00161263","Calliandra viscidula",NA,"VC de Souza",-13.002174,-41.36346
1601,"JBRJ","RB","RB00160464","Calliandra cumbucana",NA,"VC de Souza",-13.01667,-41.35
1602,"JBRJ","RB","RB00160006","Calliandra asplenioides",NA,"LP de Queiroz",-12.43528,-41.47417
1604,"JBRJ","RB","RB00160175","Calliandra brevipes",NA,"VC de Souza",-9.406111,-38.214722
1605,"JBRJ","RB","RB00159902","Calliandra asplenioides",NA,"VC de Souza",-12.45,-41.46667
1606,"JBRJ","RB","RB00160181","Calliandra mucugeana",NA,"VC de Souza",-13.01667,-41.41667
1610,"JBRJ","RB","RB00159920","Calliandra mucugeana",NA,"VC de Souza",-12.431965,-41.456271
1612,"JBRJ","RB","RB00160435","Calliandra paterna",NA,"VC de Souza",-12.45861,-41.47139
1613,"JBRJ","RB","RB00160136","Calliandra sessilis",NA,"VC de Souza",-12.85,-41.2
1614,"JBRJ","RB","RB00161199","Calliandra viscidula",NA,"VC de Souza",-13.43583,-41.33889
1616,"JBRJ","RB","RB00161257","Calliandra viscidula",NA,"RC Barneby",-13,-41.4
1617,"JBRJ","RB","RB00159999","Calliandra lintea",NA,"LP de Queiroz",-12.45361,-41.44722
1618,"JBRJ","RB","RB00159948","Calliandra calycina",NA,"VC de Souza",-12.939004,-41.327911
1620,"JBRJ","RB","RB00167665","Calliandra aeschynomenoides",NA,"VC de Souza",-9.66667,-38.58333
1621,"JBRJ","RB","RB00159925","Calliandra calycina",NA,"VC de Souza",-12.554548,-41.396122
1623,"JBRJ","RB","RB00160411","Calliandra calycina",NA,"VC de Souza",-13.024636,-41.417952
1625,"JBRJ","RB","RB00159878","Calliandra calycina",NA,"VC de Souza",-12.5,-41.45
1628,"JBRJ","RB","RB00160027","Calliandra lintea",NA,"VC de Souza",-12.54954,-41.405991
1629,"JBRJ","RB","RB00159796","Calliandra mucugeana",NA,"VC de Souza",-12.99472,-41.35389
1633,"JBRJ","RB","RB00160414","Calliandra viscidula",NA,"HC de Lima",-12.16667,-41.38333
1634,"JBRJ","RB","RB00160026","Calliandra hirsuticaulis",NA,"LP de Queiroz",-12.47222,-41.47083
1635,"JBRJ","RB","RB00160350","Calliandra asplenioides",NA,"VC de Souza",-12.849856,-41.314823
1636,"JBRJ","RB","RB00160338","Calliandra parvifolia",NA,"LP de Queiroz",-12.45972,-41.44028
1637,"JBRJ","RB","RB00160333","Calliandra viscidula",NA,"HC de Lima",-12.91667,-41.35
1638,"JBRJ","RB","RB00161228","Calliandra viscidula",NA,"HC de Lima",-13.003789,-41.370313
1639,"JBRJ","RB","RB00160202","Calliandra asplenioides",NA,"VC de Souza",-12.549594,-41.400346
1640,"JBRJ","RB","RB00160208","Calliandra mucugeana",NA,"SA Renvoize",-12.91667,-41.35
1641,"JBRJ","RB","RB00160417","Calliandra viscidula",NA,"VC de Souza",-13.021283,-41.367003
1642,"JBRJ","RB","RB00161233","Calliandra viscidula",NA,"HC de Lima",-12.799217,-41.327951
1644,"JBRJ","RB","RB00160316","Calliandra lintea",NA,"VC de Souza",-12.466667,-41.416667
1645,"JBRJ","RB","RB00159968","Calliandra calycina",NA,"VC de Souza",-12.3,-41.31667
1646,"JBRJ","RB","RB00160406","Calliandra viscidula",NA,"VC de Souza",-12.849856,-41.314823
1647,"JBRJ","RB","RB00160363","Calliandra paterna",NA,"LP de Queiroz",-12.45,-41.47222
1751,"USP","SPF","228021","Calliandra fasciculata",NA,"LM Borges",-19.348889,-43.577222
1784,"IPA","IPA","91554","Calliandra aeschynomenoides",NA,"A Bocage",-8.534444,-37.285278
1798,"IPA","IPA","91664","Calliandra aeschynomenoides",NA,"A Bocage",-8.499722,-37.311944
1813,"UEFS","HUEFS","245953","Calliandra macrocalyx","macrocalyx","LP de Queiroz",-10.785278,-42.775556
1814,"UEFS","HUEFS","245877","Calliandra depauperata",NA,"LP de Queiroz",-11.016667,-41.411944
1897,"UEFS","HUEFS","245351","Calliandra foliolosa",NA,"LP de Queiroz",-20.266389,-45.660556
1899,"UEFS","HUEFS","245339","Calliandra foliolosa",NA,"LP de Queiroz",-20.266389,-45.660556
1903,"UESC","UESC","24121","Calliandra sessilis",NA,"ML Guedes",-14.359167,-42.537222
1918,"Cenargen","CEN","106516","Calliandra macrocalyx",NA,"ML Guedes",-14.883333,-41.966666
1939,"UEFS","HUEFS","244245","Calliandra parviflora",NA,"LP de Queiroz",-14.697222,-56.344444
1977,"NY","NY","00917404","Calliandra dysantha","dysantha","RC Barneby",-15.57,-47.75
1978,"NY","NY","390341","Calliandra bahiana","bahiana","RC Barneby",-10.37,-41.33
1979,"NY","NY","390327","Calliandra asplenioides",NA,"RC Barneby",-18.25,-43.67
1984,"NY","NY","00632369","Calliandra coccinea",NA,"GP Lewis",-13.25,-41.9
1987,"NY","NY","00917540","Calliandra fasciculata","fasciculata","RC Barneby",-18.0754739634727,-43.4709809644838
1988,"NY","NY","00886233","Calliandra asplenioides",NA,"RC Barneby",-12.3205498692956,-42.8959386714243
1991,"NY","NY","00917675","Calliandra virgata",NA,"HS Irwin",-15.72,-47.87
1992,"NY","NY","00917505","Calliandra asplenioides",NA,"RC Barneby",-18.09029,-43.43284
1993,"NY","NY","00917474","Calliandra sessilis",NA,"RC Barneby",-17.7465638069196,-46.1728607889123
1995,"NY","NY","00917761","Calliandra parviflora",NA,"RC Barneby",-14.37,-48.2
1996,"NY","NY","00408577","Calliandra nebulosa",NA,"RC Barneby",-13.582879880292,-41.8114683539125
1997,"NY","NY","02423412","Calliandra fasciculata","fasciculata","LM Borges",-18.198,-43.61428
