"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
564,"Universidade Federal de Sergipe","ASE","9975","Calliandra_dysantha",NA,"CEB Proença",-15.866667,-47.833333,501
1031,"Instituto de Botânica","SP","316149","Calliandra_fuscipila",NA,"LP de Queiroz",-13.25,-41.9,351
1042,"Instituto de Botânica","SP","313985","Calliandra_elegans",NA,"LP de Queiroz",-13.266667,-41.9,351
1043,"Instituto de Botânica","SP","316080","Calliandra_bahiana",NA,"LP de Queiroz",-13.216667,-41.833333,351
1589,"JBRJ","RB","RB00576118","Calliandra_viscidula",NA,"VC de Souza",-12.96359,-41.57273,351
1595,"JBRJ","RB","RB00418646","Calliandra_hirsuticaulis",NA,"VC de Souza",-12.5,-41.45,312
1616,"JBRJ","RB","RB00161257","Calliandra_viscidula",NA,"RC Barneby",-13,-41.4,352
1617,"JBRJ","RB","RB00159999","Calliandra_lintea",NA,"LP de Queiroz",-12.45361,-41.44722,312
1618,"JBRJ","RB","RB00159948","Calliandra_calycina",NA,"VC de Souza",-12.939004,-41.327911,352
1623,"JBRJ","RB","RB00160411","Calliandra_calycina",NA,"VC de Souza",-13.024636,-41.417952,352
1625,"JBRJ","RB","RB00159878","Calliandra_calycina",NA,"VC de Souza",-12.5,-41.45,312
1634,"JBRJ","RB","RB00160026","Calliandra_hirsuticaulis",NA,"LP de Queiroz",-12.47222,-41.47083,312
1637,"JBRJ","RB","RB00160333","Calliandra_viscidula",NA,"HC de Lima",-12.91667,-41.35,352
1640,"JBRJ","RB","RB00160208","Calliandra_mucugeana",NA,"SA Renvoize",-12.91667,-41.35,352
1641,"JBRJ","RB","RB00160417","Calliandra_viscidula",NA,"VC de Souza",-13.021283,-41.367003,352
1903,"UESC","UESC","24121","Calliandra_sessilis",NA,"ML Guedes",-14.359167,-42.537222,430
1978,"NY","NY","390341","Calliandra_bahiana","bahiana","RC Barneby",-10.37,-41.33,152
1979,"NY","NY","390327","Calliandra_asplenioides",NA,"RC Barneby",-18.25,-43.67,668
1984,"NY","NY","00632369","Calliandra_coccinea",NA,"GP Lewis",-13.25,-41.9,351
1997,"NY","NY","02423412","Calliandra_fasciculata","fasciculata","LM Borges",-18.198,-43.61428,668
2002,"NY","NY","00917702","Calliandra_virgata",NA,"RC Barneby",-15.7834208090807,-47.9298726661488,501
2003,"NY","NY","00917705","Calliandra_virgata",NA,"RC Barneby",-15.7834208090807,-47.9298726661488,501
2006,"NY","NY","00390221","Calliandra_lanata",NA,"RC Barneby",-13.53,-41.88,391
2009,"NY","NY","00917372","Calliandra_dysantha","dysantha","RC Barneby",-15.7834208090807,-47.9298726661488,501
2013,"NY","NY","632440","Calliandra_sessilis",NA,"GP Lewis",-13.32,-41.83,351
2018,"NY","NY","408627","Calliandra_squarrosa",NA,"RC Barneby",-10.37,-41.32,152
2025,"NY","NY","00917370","Calliandra_dysantha","dysantha","RC Barneby",-15.7834208090807,-47.9298726661488,501
2029,"NY","NY","00917361","Calliandra_dysantha","dysantha","RC Barneby",-15.57,-48.03,501
2030,"NY","NY","390241","Calliandra_longipinna",NA,"RC Barneby",-13.58,-41.3,392
