gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
3014101283																										67368822										http://creativecommons.org/licenses/by-nc/4.0/			2020-12-31T21:05:43Z			https://www.inaturalist.org/observations/67368822				© claudia_mermelstein some rights reserved	claudia_mermelstein												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/67368822	67368822		claudia_mermelstein								wild																					2020-12-21T18:33:00-02:00	20:33:00Z						2020/12/21 6:33 PM -0200																BR	Rio de Janeiro				Posse, Petrópolis - RJ, Brasil											-22.2617104625	-43.0121887478		10																																			148512371			afid	2020-12-31T21:05:43Z				710116								Cattleya forbesii								Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Cattleya				species									
3013907076																										67260649										http://creativecommons.org/licenses/by-nc/4.0/			2020-12-29T21:14:05Z			https://www.inaturalist.org/observations/67260649				© luisfunez some rights reserved	luisfunez												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/67260649	67260649		luisfunez								wild																					2019-08-22T12:50:00-03:00	15:50:00Z						2019/08/22 12:50 PM -0300																BR	Santa Catarina				Bom Jardim da Serra - SC, 88640-000, Brasil											-28.1261255374	-49.4831192915		851																																			148196937			luisfunez	2020-12-29T19:00:48Z				493688								Cattleya coccinea								Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Cattleya				species									
3013379604																										BRA:UFES:VIES:48550									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-22 16:06:12-03								VIES - Herbário Central da Universidade Federal do Espírito Santo VIES							Collection					UFES	VIES	VIES - Herbário Central da Universidade Federal do Espírito Santo VIES	Universidade Federal do Espírito Santo	PreservedSpecimen				BRA:UFES:VIES:48550	48550	472	Guarnier, J.C.; Calazans, L.S.B., Caitano, H.A., Dutra, V.F. & Valadares, R.T.																																	2020	08	06																Brasil		Espírito Santo		Guarapari	Parque Estadual Paulo César Vinha.												-20.5994439999999983	-40.4108329999999967						40º24'39''W	20º35'58''S																																														Cattleya harrisoniana								Plantae				Orchidaceae	Cattleya		harrisoniana				Batem. ex Lindl.							
3010203646																										4415613									en				2020-12-22 11:19:23			https://cch2.org/portal/collections/individual/index.php?occid=4415613															3818e1d3-b6a4-11e8-b408-001a64db2964		RSA	VascularPlants			PreservedSpecimen				6fe05eaf-f673-42f6-ad1f-fa68b2145bfe	RSA0236305																																																					Brazil		Goiás																																																													375840								Cattleya walkeriana							Viridiplantae|Organism|Plantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales|Orchidaceae|Cattleya	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Cattleya		walkeriana		Species		Gardner							
3010201661																										4415612									en				2020-12-18 09:24:15			https://cch2.org/portal/collections/individual/index.php?occid=4415612															3818e1d3-b6a4-11e8-b408-001a64db2964		RSA	VascularPlants			PreservedSpecimen				db1acd7e-18ec-4b19-be78-1ca1fe049537	RSA0236308																																																					Brazil		Bahia																																																																					Cattleya elongata							Viridiplantae|Organism|Plantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae							Barb. Rodr.							
3010200656																										4415611									en				2020-12-22 11:19:23			https://cch2.org/portal/collections/individual/index.php?occid=4415611															3818e1d3-b6a4-11e8-b408-001a64db2964		RSA	VascularPlants			PreservedSpecimen				fcfa90d5-97b2-4607-846b-75fc82da7e32	RSA0236307																																																					Brazil		Goiás																																																													375840								Cattleya walkeriana							Viridiplantae|Organism|Plantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales|Orchidaceae|Cattleya	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Cattleya		walkeriana		Species		Gardner							
3010199640																										4415610									en				2020-12-22 11:19:23			https://cch2.org/portal/collections/individual/index.php?occid=4415610															3818e1d3-b6a4-11e8-b408-001a64db2964		RSA	VascularPlants			PreservedSpecimen				d6b7c80b-4c37-4ef0-8b14-e7e16c7586a7	RSA0236306																																																					Brazil																																																															375840								Cattleya walkeriana							Viridiplantae|Organism|Plantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Asparagales|Orchidaceae|Cattleya	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Cattleya		walkeriana		Species		Gardner							
3005205944																										66572461										http://creativecommons.org/licenses/by-nc/4.0/			2020-12-14T20:34:26Z			https://www.inaturalist.org/observations/66572461				© gabriela_bl some rights reserved	gabriela_bl												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/66572461	66572461		gabriela_bl								wild																					2020-12-14T12:05:47-03:00	15:05:47Z						2020-12-14 12:05:47 PM GMT-03:00																BR	Paraná				Antonina - PR, 83370-000, Brasil											-25.412394178	-48.7751035765		31																																			146158035			gabriela_bl	2020-12-14T15:42:59Z				710116								Cattleya forbesii								Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Cattleya				species									
2998213435									Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=637914																	637914										CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)											K							PhysicalObject					K	K			PreservedSpecimen				637914	K000878487		;												imagens1.jbrj.gov.br/fsi/server?type=image&source=hvpr/kew/batch24/K000878487.jpg																																							Brasil	BR																																																										s. d.			Berg; C.A. Bastos; C.R. Buzatto; T.E.C. Meneguzzo; R.B. Singer (The Orchid REFLORA Team) em Nov-Dec.2012									Orchidaceae Cattleya x St.-Lég.												Orchidaceae	Cattleya		x		ESPECIE		St.-Lég.							
2998187169									Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=630861																	630861										CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)											K							PhysicalObject					K	K			PreservedSpecimen				630861	K000878486		@;												imagens1.jbrj.gov.br/fsi/server?type=image&source=hvpr/kew/batch24/K000878486.jpg					Segments bright rose-purple, with many darker shots, side-lobes of lip yellowish white, front lobe deep rose-purple, base of column yellow, light rose-purple above, back of ditto pale lilac.																																		Brasil	BR	Rio de Janeiro																																																									s. d.			Berg, C.A. Bastos, C.R. Buzzato, T.E.C. Meneguzzo, R.B. Singer (The Orchid Reflora Team), Nov.-Dec. 2012									Orchidaceae Cattleya x St.-Lég.												Orchidaceae	Cattleya		x		ESPECIE		St.-Lég.							
