"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
196,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6908","Cattleya_bradei",NA,"CF Verola",-18.415556,-43.438611,708
374,"Instituto de Botânica","SP","474293","Cattleya_liliputana",NA,"TL Vieira",-20.488333,-43.701111,828
376,"Instituto de Botânica","SP","474292","Cattleya_crispata",NA,"TL Vieira",-20.505833,-43.673333,828
379,"Instituto de Botânica","SP","474291","Cattleya_brevipedunculata",NA,"TL Vieira",-20.485556,-43.7025,828
412,"Instituto de Botânica","SP","396399","Cattleya_rupestris",NA,"F Barros",-16.55,-42.9,589
664,"Instituto de Botânica","SP","140291","Cattleya_ghillanyi",NA,"LRS GUimarães",-19.25,-43.533333,748
1019,"NY","NY","1031950","Cattleya_briegeri",NA,"GFJ Pabst",-18.55,-43.55,708
1022,"NY","NY","822490","Cattleya_tenuis",NA,"ALV Toscano de Brito",-13.1,-41.57,351
1025,"NY","NY","1031954","Cattleya_crispata",NA,"GFJ Pabst",-16.5648,-42.8943,589
1029,"NY","NY","822488","Cattleya_elongata",NA,"ALV Toscano de Brito",-13.3,-41.87,351
1037,"NY","NY","414931","Cattleya_elongata",NA,"GA Romero",-13.52,-41.95,391
1040,"NY","NY","1031955","Cattleya_esalqueana",NA,"GFJ Pabst",-20.1263,-43.492778,828
1041,"NY","NY","1031970","Cattleya_lundii",NA,"GFJ Pabst",-15.7834208090807,-47.9298726661488,501
1043,"NY","NY","547443","Cattleya_bicolor","measuresiana","GFJ Pabst",-15.7834208090807,-47.9298726661488,501
1046,"NY","NY","1031956","Cattleya_esalqueana",NA,"GFJ Pabst",-18.27,-43.7,668
1059,"NY","NY","1031951","Cattleya_briegeri",NA,"GFJ Pabst",-18.44535,-43.6556,708
1064,"NY","NY","547445","Cattleya_bicolor",NA,"GFJ Pabst",-18.2531772779915,-43.6004898201051,668
1067,"NY","NY","687056","Cattleya_elongata",NA,"ALV Toscano de Brito",-13.15,-41.77,351
1078,"NY","NY","1031971","Cattleya_pumila",NA,"GFJ Pabst",-18.57,-43.68,708
1085,"NY","NY","1031952","Cattleya_cinnabarina",NA,"GFJ Pabst",-20.1263,-43.492778,828
1098,"NY","NY","1031949","Cattleya_bradei",NA,"GFJ Pabst",-18.24015,-43.6007,668
1100,"NY","NY","1031948","Cattleya_bradei",NA,"GFJ Pabst",-18.24015,-43.6007,668
1103,"NY","NY","547444","Cattleya_bicolor",NA,"GFJ Pabst",-18.2531772779915,-43.6004898201051,668
1131,"Jardim Botânico de Brasília","HEPH","21136","Cattleya_longipes",NA,"LS Leoni",-19.151667,-43.485,748
1132,"Jardim Botânico de Brasília","HEPH","21070","Cattleya_longipes",NA,"LS Leoni",-19.258889,-43.550278,748
