datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2010-04-22 14:53:27-03"	UFAC	LABEV	787	Cattleya		Plantae				Orchidaceae	Cattleya				"F. Obermüller"					166		"F. Obermüller"							Brazil	Acre	Acrelândia	"PAE Porto Dias (Colocação do Bibi)"	0	0	-66.8833	-9.82778	42639												"HABITAT: Floresta Primária"	
"2010-04-22 14:53:27-03"	UFAC	LABEV	1245	"Cattleya cf. luteola"		Plantae				Orchidaceae	Cattleya	"cf. luteola"			"F. Obermüller"					299		"F. Obermüller"							Brazil	Acre	"Mâncio Lima"	"Rio Moa (Japiim)"	0	0	-72.8958	-7.61417	120292												"HABITAT: Floresta Primária periodicamente inundada"	
"2010-04-22 14:53:27-03"	UFAC	LABEV	1319	"Cattleya luteola"		Plantae				Orchidaceae	Cattleya	luteola			"F. Obermüller"					344		"F. Obermüller"							Brazil	Acre	Feijo	"Praça da cidade"	0	0	-70.3536	-8.16417	257402												"HABITAT: Área urbana"	
"2014-04-30 11:09:09-03"	FSL	HFSL	6577	"Cattleya violacea"	S	Plantae				Orchidaceae	Cattleya	violacea		"(Kunth) Rolfe"						02		"Prestes, A.L.C."	2010	11	01			"Southern America"	Brasil	Rondônia	"Porto Velho"	"Lago da Maravilha"	0	0	-63.9039	-8.76194	333357		0	0									"Epífita, com pseudobulbo cilindrico e grosso. Folhas coriáceas grossas arredondadas, verde acinzentado. Flores com purpura-violácea. ; DE"	
"2014-10-09 13:58:27-03"	UHH	HBG	506510	"Cattleya bifoliata-group"	S	Plantae				Orchidaceae	Cattleya	bifoliata-group			"Christenson, E.A."	1993	05					"Sello, F."						"South America"	Brazil			Brasilia	0	0															"Reliquiae d. Sello<br>Orchideae quas accepi non determinatae ex herbario Olfers. Lectae in Brasilia<br>ex Herb. P. Magnus<br>Orchideae quas accepi non determinatae ex herbario Olfers. Lectae in Brasilia NEOTROP"	HBG506510
"2014-10-09 13:58:27-03"	UHH	HBG	500258	"Cattleya guttata"	S	Plantae				Orchidaceae	Cattleya	guttata		Lindl.	"R. Lange"					8039		"Lange, R."						"South America"	Brazil			"Paraná, Rio Imbuguarsú (c. 10 m d. M.), in tr. arb."	0	0																HBG500258
"2014-09-25 12:32:44-03"	FEMACT	MIRR	10490	Cattleya	S	Plantae				Orchidaceae	Cattleya									6933		"Forzza, R.C.; Martinelli, G.; Costa, D.P.; Moraes, M.A.; Nadruz, M.A.; Gallucci, S.; Benevide"	2012	03	25				Brasil	Roraima	Caracaraí	"Parque Nacional Serra da Mocidade., Rio Capivara. Floresta de Igapó."	-61.746667	1.059167															"Epífita. grande florada, muito frequente. Flores com tépalas róseas; coluna alva; labelo com centro alvo, lobos vináceos. Elev.: 55m."	
"2014-10-03 11:32:07-03"	FEMACT	MIRR	11304	Cattleya	S	Plantae				Orchidaceae	Cattleya									17506		"Martinelli, G.; Moraes, M.A.; Benevides, P.; Forzza, R.C.; Nadruz, M.A.; Gallucci, S.; Costa, D"	2012	03	26				Brasil	Roraima	Caracaraí	"Rio Catrimani, 4km acima da boca do Rio Branco."	-61.75	0.4775					45	45									"Epífita, semi-helófila; frequete no local; folhas de cor verde, discolores; flores com pedicelo vinoso, cálice com sépalas roxas, corola com pétalas roxas, labelo vinosocom parte central amarelo com estrias de cor vinosa; polínias alvas; em cultivo J"	
"2014-10-02 12:41:11-03"	FEMACT	MIRR	12675	"Cattleya jenmanni"	S	Plantae				Orchidaceae	Cattleya	jenmanni								2780		"Flores, A. .S.; Costa, C. .S.; Grigio Jr, O.; Macedo, J."	2014	08	08				Brasil	Roraima	Pacaraima	"Área urbana."	0	0	-61.1464	4.43139	127953												"Erva epífita nativa de área florestal de Pacaraima. Em cultivo na residência do Sr. Jorge Macedo. ; DE"	
"2014-09-25 12:32:44-03"	FEMACT	MIRR	1350	"Cattleya violacea"	S	Plantae				Orchidaceae	Cattleya	violacea		"(Kunth) Rolfe"						764		"Stannard, B.L.; Arrais, M.G.M."	1987	03	20				Brasil	Roraima	"Alto Alegre"	"Ilha de Maracá, SEMA Estação., Ilha de Maracá, mata das margens do rio, proximo a cachoeira, +- 3,5km, solo arenoso."	-61.333333	3.366667															"Erva epifita, frutos verdes."	
"2015-07-02 14:03:30-03"	JBP	HPL	5860	"Cattleya forbesii"	S	Plantae				Orchidaceae	Cattleya	forbesii		Lindl.	"E.R. Salviani & H. Lorenzi"	1999	10	26		523		"E.R. Salviani & H. Lorenzi"	1999	10	26				Brasil	RJ	"Rio de Janeiro"	"Coletado no sítio R. Burle Marx."	0	0	-43.2075	-22.9028	57442													
"2016-08-23 11:00:33-03"	NHMLondon	NHM-LONDON-BOT	BM000505023	"Cattleya cernua"	S	Plantae			Asparagales	Orchidaceae	Cattleya	cernua		"(Lindl.) Van den Berg"	"Cassio van den Berg; Universidade Estadual de Feira de Santana; b.1971; Van den Berg"	2014	06	20	Syntype	665		"George Gardner; b.1812; d.1849; Gardner"	1837	03					Brasil	"Rio de Janeiro"			-42.989594	-22.510275												NHMUK:ecatalogue:4641094			"<a href=\"http://www.nhm.ac.uk/services/media-store/asset/1a156174dbf477124e557e2d90206d9845a744a8/contents/preview\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"	
"2016-08-23 11:00:33-03"	NHMLondon	NHM-LONDON-BOT	BM001124497	"Cattleya cernua"	S	Plantae			Asparagales	Orchidaceae	Cattleya	cernua		"(Lindl.) Van den Berg"	"Cassio van den Berg; Universidade Estadual de Feira de Santana; b.1971; Van den Berg"	2014	06	20	Syntype	665		"George Gardner; b.1812; d.1849; Gardner"	1837	03					Brasil	"Rio de Janeiro"			-42.989594	-22.510275												NHMUK:ecatalogue:2720317			"<a href=\"http://www.nhm.ac.uk/services/media-store/asset/f5c02afcfe54a64e7af86fd4e1043d42d3a88da1/contents/preview\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"	
"2016-08-23 11:00:33-03"	NHMLondon	NHM-LONDON-BOT	BM001124498	"Cattleya cernua"	S	Plantae			Asparagales	Orchidaceae	Cattleya	cernua		"(Lindl.) Van den Berg"	"Cassio van den Berg; Universidade Estadual de Feira de Santana; b.1971; Van den Berg"	2012	12			s.n.		"John Miers; b.1789; d.1879; Miers"							Brasil				-53.08982	-10.773109												NHMUK:ecatalogue:4641095			"<a href=\"http://www.nhm.ac.uk/services/media-store/asset/33821b1566cd3c3127061bd5a6d10949fb146809/contents/preview\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"	
"2015-02-26 09:30:53-03"	NHMLondon	NHM-LONDON-BOT	BM000505020	"Cattleya coccinea"	S	Plantae			Asparagales	Orchidaceae	Cattleya	coccinea		Lindl.	"Cassio van den Berg; Universidade Estadual de Feira de Santana; b.1971; Van den Berg"	2012	12			742		"F.C. Hoehne"	1917	10					Brasil	"São Paulo"			-46.316667	-23.783333												NHMUK:ecatalogue:4641090				
