gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
2430531946	StillImage	image/jpeg	https://api.idigbio.org/v2/media/ff8dc26aed95ae2a1a370a2c26b23c0b											
2430263908	StillImage	image/jpeg	https://api.idigbio.org/v2/media/fbaf4aebe8673a1dc7ee3d3f292cec9c											
2430256263	StillImage	image/jpeg	https://api.idigbio.org/v2/media/d12e86aee6486b4e79bde9dbab8ef9d8											
2430143913	StillImage	image/jpeg	https://api.idigbio.org/v2/media/f311a84c1c7be85e296774a66f763e0e											
2430114362	StillImage	image/jpeg	https://api.idigbio.org/v2/media/aa555c3f2d6c9a87d7694ba2265ac58d											
2423618541	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/95/71/01419571.JPG											
2423618288	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/95/63/01419563.JPG											
2423618248	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/95/69/01419569.JPG											
2423617911	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/89/94/01418994.JPG											
2416596365	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/75/71/01417571.JPG											
2416596339	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/75/69/01417569.JPG											
2412490338	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/74/50/01417450.JPG											
2412490092	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/64/92/01416492.JPG											
2412489956	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/64/73/01416473.JPG											
2412489125	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/73/29/01417329.JPG											
2412489101	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/73/20/01417320.JPG											
2294348703	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/41/42/6/01414206.JPG											
2292010791	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/WAG.1931021/format/large			WAG.1931021_01957173610							CC0 4.0	
2292010652	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/WAG.1931018/format/large			WAG.1931018_1586298798							CC0 4.0	
2292010196	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/WAG.1931024/format/large			WAG.1931024_821117811							CC0 4.0	
2292009945	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/WAG.1931066/format/large			WAG.1931066_1545240501							CC0 4.0	
2291691377	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1572586/format/large			U.1572586_149472627							CC0 4.0	
2291691377	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1572586_MLN/format/large			U.1572586_1213048099							CC0 4.0	
2291608064	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289182/format/large			U.1289182_01956514210							CC0 4.0	
2291607709	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289190/format/large			U.1289190_562154849							CC0 4.0	
2291607686	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289165/format/large			U.1289165_2101640889							CC0 4.0	
2291607660	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289065/format/large			U.1289065_01682792230							CC0 4.0	
2291607250	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289188/format/large			U.1289188_0694898664							CC0 4.0	
2291607066	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289177/format/large			U.1289177_01696891848							CC0 4.0	
2291606901	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1289171/format/large			U.1289171_1336459902							CC0 4.0	
2291604575	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1278649/format/large			U.1278649_01549638162							CC0 4.0	
2291604342	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1278669/format/large			U.1278669_1465465456							CC0 4.0	
2291604308	StillImage	image/jpeg	http://medialib.naturalis.nl/file/id/U.1278652/format/large			U.1278652_0798143274							CC0 4.0	
