"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
106,"UFOP","OUPR","31119","Comanthera centauroides",NA,"L. Echternacht",-20.126667,-43.655556
107,"UFOP","OUPR","31160","Comanthera centauroides",NA,"L. Echternacht",-19.002444,-43.603306
110,"UFOP","OUPR","31138","Comanthera centauroides",NA,"L. Echternacht",-18.825,-43.833333
511,"UFOP","OUPR","32224","Comanthera aciphylla",NA,"L. Echternacht",-18.295278,-43.842778
514,"UFOP","OUPR","32219","Comanthera bisulcata",NA,"L. Echternacht",-15.081944,-42.640833
524,"MBM","MBM","411278","Comanthera giuliettiae",NA,"L. J. Sauthier",-11.435,-41.195833
566,"ASU","Plants","ASU0006682","Comanthera nivea",NA,"N. Hensold",-16.7167,-42.8667
605,"JBRJ","RB","RB00738836","Comanthera centauroides",NA,"L. Echternacht",-13.010663,-41.38646
606,"JBRJ","RB","RB00601031","Comanthera xeranthemoides",NA,"M. T. C. Watanabe",-13,-41.4
608,"JBRJ","RB","RB00738840","Comanthera centauroides",NA,"L. Echternacht",-13.01667,-41.35
888,"USP","SPF","227000","Comanthera pignalii",NA,"L. Echternacht",-14.835833,-42.425278
932,"USP","SPF","226707","Comanthera elegans",NA,"L. Echternacht",-18.790556,-43.889722
936,"USP","SPF","226706","Comanthera circinnata",NA,"L. Echternacht",-18.914167,-43.779444
938,"USP","SPF","226785","Comanthera nivea",NA,"M. T. C. Watanabe",-21.696389,-43.888333
942,"USP","SPF","226703","Comanthera centauroides",NA,"L. Echternacht",-18.842778,-43.808056
946,"USP","SPF","226712","Comanthera centauroides",NA,"L. Echternacht",-18.790556,-43.889722
1022,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97782","Comanthera bisulcata",NA,"L. Echternacht",-19.048,-43.7387
1023,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97671","Comanthera cipoensis",NA,"L. Echternacht",-19.006111,-43.755556
1025,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","95987","Comanthera curralensis",NA,"L. Echternacht",-11.090833,-41.209444
1036,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89303","Comanthera bisulcata",NA,"L. Echternacht",-17.708333,-44.195278
1043,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","82925","Comanthera bisulcata",NA,"L. Echternacht",-18.18,-43.543333
1044,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","82949","Comanthera bisulcata",NA,"L. Echternacht",-18.18,-43.543333
1046,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81980","Comanthera aciphylla",NA,"L. Echternacht",-17.0448,-43.1842
1056,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","78226","Comanthera bisulcata",NA,"L. Echternacht",-19.0704,-43.4156
1059,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77880","Comanthera bisulcata",NA,"L. Echternacht",-18.1301,-43.3537
1060,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77747","Comanthera bisulcata",NA,"L. Echternacht",-16.5917,-43.2039
1062,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74607","Comanthera curralensis",NA,"L. Echternacht",-11.3551,-41.0948
1065,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73899","Comanthera dealbata",NA,"L. Echternacht",-17.7022,-44.2961
1071,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73407","Comanthera vernonioides",NA,"L. Echternacht",-19.2492,-43.545
1082,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","61102","Comanthera aurifibrata",NA,"L. Echternacht",-17.4126,-44.1157
1084,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60993","Comanthera aurifibrata",NA,"L. Echternacht",-17.7081,-44.1919
1085,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60966","Comanthera bisulcata",NA,"L. Echternacht",-17.4229,-44.1131
