"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
106,"UFOP","OUPR","31119","Comanthera_centauroides",NA,"L. Echternacht",-20.126667,-43.655556,828
107,"UFOP","OUPR","31160","Comanthera_centauroides",NA,"L. Echternacht",-19.002444,-43.603306,748
110,"UFOP","OUPR","31138","Comanthera_centauroides",NA,"L. Echternacht",-18.825,-43.833333,708
511,"UFOP","OUPR","32224","Comanthera_aciphylla",NA,"L. Echternacht",-18.295278,-43.842778,708
524,"MBM","MBM","411278","Comanthera_giuliettiae",NA,"L. J. Sauthier",-11.435,-41.195833,232
606,"JBRJ","RB","RB00601031","Comanthera_xeranthemoides",NA,"M. T. C. Watanabe",-13,-41.4,352
932,"USP","SPF","226707","Comanthera_elegans",NA,"L. Echternacht",-18.790556,-43.889722,708
936,"USP","SPF","226706","Comanthera_circinnata",NA,"L. Echternacht",-18.914167,-43.779444,748
938,"USP","SPF","226785","Comanthera_nivea",NA,"M. T. C. Watanabe",-21.696389,-43.888333,908
942,"USP","SPF","226703","Comanthera_centauroides",NA,"L. Echternacht",-18.842778,-43.808056,708
946,"USP","SPF","226712","Comanthera_centauroides",NA,"L. Echternacht",-18.790556,-43.889722,708
1022,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97782","Comanthera_bisulcata",NA,"L. Echternacht",-19.048,-43.7387,748
1023,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97671","Comanthera_cipoensis",NA,"L. Echternacht",-19.006111,-43.755556,748
1036,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89303","Comanthera_bisulcata",NA,"L. Echternacht",-17.708333,-44.195278,667
1043,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","82925","Comanthera_bisulcata",NA,"L. Echternacht",-18.18,-43.543333,668
1044,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","82949","Comanthera_bisulcata",NA,"L. Echternacht",-18.18,-43.543333,668
1059,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77880","Comanthera_bisulcata",NA,"L. Echternacht",-18.1301,-43.3537,669
1065,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73899","Comanthera_dealbata",NA,"L. Echternacht",-17.7022,-44.2961,667
1071,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73407","Comanthera_vernonioides",NA,"L. Echternacht",-19.2492,-43.545,748
1084,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60993","Comanthera_aurifibrata",NA,"L. Echternacht",-17.7081,-44.1919,667
1249,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","138629","Comanthera_paepalophylla","strigosa","A. M. Giulietti",-13.52,-41.938611,391
1252,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","138140","Comanthera_giuliettiae",NA,"A. M. Giulietti",-12.983333,-41.333333,352
1317,"USP","SPF","210124","Comanthera_cipoensis",NA,"A. M. Giulietti",-18.972222,-43.754722,748
1319,"UFOP","OUPR","25838","Comanthera_nivea",NA,"L. Echternacht",-20.363889,-43.520556,828
1345,"UFU","HUFU","72518","Comanthera_centauroides",NA,"L. Echternacht",-17.708611,-44.192222,667
1348,"UFU","HUFU","72533","Comanthera_bisulcata",NA,"L. Echternacht",-17.708611,-44.192222,667
1349,"UFU","HUFU","72519","Comanthera_nitida",NA,"L. Echternacht",-17.708611,-44.192222,667
1350,"UFU","HUFU","72530","Comanthera_dealbata",NA,"L. Echternacht",-17.708611,-44.192222,667
