"datsrc","institutioncode","collectioncode","catalognumber","genus","species","identifiedby","collectornumber","collector","stateprovince","county","locality","longitude","latitude","infraspecificEpithet","scientificname_gbif","municipality_gbif","scientificnameauthor_sp"
"splink","ASU","ASU-PLANTS","25820","Diplusodon","candollei","T. B. Cavalcanti","67290","G. Hatschbach; M. Hatschbach, E. Barbosa","Minas Gerais",NA,"Fazenda Serra do Cabral, Agro-industrial (Mun. Varzea da Palma)",-44.7333,-17.6,NA,NA,NA,"Pohl ex DC."
"splink","ASU","ASU-PLANTS","25821","Diplusodon","candollei","A. Lourteig","50304","G. Hatschbach; J. M. SIlva","Minas Gerais",NA,"Barro Preto, torre Telemig (mun. Gouveia)",-43.7333,-18.45,NA,NA,NA,"Pohl ex DC."
"splink","ASU","ASU-PLANTS","25822","Diplusodon","glaucescens","T. B. Cavalcanti","53082","G. Hatschbach; M. Hatschbach & V. Nicolack","Minas Gerais",NA,"Rod. BR-259, proximo ao trevo para Datas (mun. Gouveia)",-43.7333,-18.45,NA,NA,NA,"DC."
"splink","ASU","ASU-PLANTS","25824","Diplusodon","helianthemifolius","T. B. Cavalcanti","53755","R. M. Harley; F. França, E. B. Miranda","Bahia",NA,"Formosa do Rio Preto: Coaceral.",-45.7417,-10.7111,NA,NA,NA,"DC."
"splink","ASU","ASU-PLANTS","25825","Diplusodon","helianthemifolius","A. Lourteig","53748","G. Hatschbach; M. Hatschbach & V. Nicolack","Goiás",NA,"Estrada p/Salto Arrojado (mun. Cristalina)",-47.606903,-16.768171,NA,NA,NA,"DC."
"splink","ASU","ASU-PLANTS","25826","Diplusodon","hexander","A. Lourteig","21821","H. S. Irwin; R. Reis dos Santos, R. Souza, S. F. da Fonseca","Minas Gerais",NA,"ca. 30 km S.W. od Diamantina on road to Gouveia",-43.6,-18.25,NA,NA,NA,"DC."
"splink","ASU","ASU-PLANTS","25827","Diplusodon","lanceolatus","A. Lourteig","55227","G. Hatschbach; M. Hatschbach, D. D. Guimarães","Minas Gerais",NA,"Rod. BR-365, entre km 70-72 (mun. Jequitai) Minas Gerais, Brazil",-44.4667,-17.25,NA,NA,NA,"Pohl"
"splink","ASU","ASU-PLANTS","25828","Diplusodon","leucocalycinus","T. B. Cavalcanti","53978","G. Hatschbach; M. Hatschbach, V. Nicolack","Goiás",NA,"Rod. GO-118, 8-10km N de Rio da Almas (mun. Teresina de Goiás) Goiás, Brazil",-47.258012,-13.779535,NA,NA,NA,"Lourteig"
"splink","ASU","ASU-PLANTS","25830","Diplusodon","nitidus","A. Lourteig","53031","G. Hatschbach; V. Nicolack","Minas Gerais",NA,"Rod. Guinda-Conselheiro Mata, km 10 (mun. Diamantina) Minas Gerais, Brazil",-43.6,-18.25,NA,NA,NA,"DC."
"splink","ASU","ASU-PLANTS","25831","Diplusodon","puberulus","A. Lourteig","25498","Irwin; Onishi, Fonseca, Souza, Reis, Ramos","Minas Gerais",NA,"ca. 25km N.E. of Patrocinio.",-46.992407,-18.94406,NA,NA,NA,"Koehne"
"splink","ASU","ASU-PLANTS","25832","Diplusodon","sigillatus","A. Lourteig","36357","G. Hatschbach; W. Anderson, R. Barneby & B. Gates","Goiás",NA,"Rod. GO-12, Chapada dos Veadeiros (mun. Alto Paraíso) Goias, Brazil",-47.6846,-14.0057,NA,NA,NA,"Lourteig"
"splink","ASU","ASU-PLANTS","25833","Diplusodon","villosissimus","A. Lourteig","53813","G. Hatschbach; M. Hatschbach, V. Nicolack","Goiás",NA,"Rod. GO-118, 10-20km S de São Joáo da Aliança, Goiás, Brazil",-47.521893,-14.707946,NA,NA,NA,"Pohl"
"splink","ASU","ASU-PLANTS","25834","Diplusodon","virgatus","T. B. Cavalcanti","52969","G. Hatschbach; H. Hatschbach, V. Nicolack","Minas Gerais",NA,"Congonhas do Norte, 5-10 km N, Minas Gerais, Brazil",-43.6667,-18.8,NA,NA,NA,"Pohl"
"gbif","CAS","BOT-BC","598440","Diplusodon","macrodon","F. Almeda","3024","Pereira, B. A. S.; Alvarenga, D.","Goiás",NA,"Município de Teresina de Goiás.  Km 12 da estrada GO-118/Nova Roma",-47.25,-13.833333,NA,"Diplusodon macrodon Koehne",NA,NA
"splink","CAS","CAS-BOT","598440","Diplusodon","macrodon","F. Almeda","3024","Pereira, B. A. S.; Alvarenga, D.","Goiás",NA,"Município de Teresina de Goiás. Km 12 da estrada GO-118/Nova Roma",-47.25,-13.8333333333,NA,NA,NA,"Koehne"
"splink","CEPLAC","CEPEC","103270","Diplusodon","ulei","M. L. Guedes","61860","B. A. Anjos","Bahia","ANDARAÍ","Chapada Diamantina. Subida para o Pati.",-41.346111,-12.806389,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","10857","Diplusodon","parvifolius","J. J. Wurdack","15122","R. M. Harley","Bahia","RIO DE CONTAS","6Km N da cidade. Rod. p/ Abaira.",-41.783333,-13.55,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11976","Diplusodon","hirsutus","T. B. Cavalcanti","16697","R. M. Harley","Bahia","SENTO SÉ","16Km NW Lagoinha (5.5Km SW Delfino), Rod. p/ Minas do Mimoso.",-41.333333,-10.366667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11977","Diplusodon","parvifolius","T. B. Cavalcanti","15186","R. M. Harley","Bahia","RIO DE CONTAS","12-14Km ao N cidade, Rod. p/ povoado de Mato Grosso.",-41.833333,-13.466667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11978","Diplusodon","ulei","T. B. Cavalcanti","15829","R. M. Harley","Bahia","BARRA DA ESTIVA","Ca. 10Km ao N cidade, Rod. p/ Ibicoara, prox. Ao Rio Preto.",-41.3,-13.583333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11979","Diplusodon","ulei","T. B. Cavalcanti","15743","R. M. Harley","Bahia","BARRA DA ESTIVA","16Km ao N cidade, Rod. p/ Paraguacu.",-41.333333,-13.333333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11980","Diplusodon","hirsutus","T. B. Cavalcanti","17006","R. M. Harley","Bahia","SENTO SÉ","16Km NW Lagoinha (5.5Km SW Delfino), Rod. p/ Minas do Mimoso.",-41.333333,-10.366667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11981","Diplusodon","parvifolius","Flora do Pico das Almas","15594","R. M. Harley","Bahia","RIO DE CONTAS","Próximo a Junco, c.a 15Km WNW da cidade Rio de Contas.",-41.916667,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","11982","Diplusodon","ulei","T. B. Cavalcanti","15451","R. M. Harley","Bahia","RIO DE CONTAS","Meio da rampa do Pico das Almas. Ca. 25Km WNW cidade.",-41.916667,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","132195","Diplusodon","ciliiflorus","A. C. B. Silva","823","A. C. B. Silva","Minas Gerais","DELFINÓPOLIS","Cachoeirinhas.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","133580","Diplusodon","virgatus","A. C. B. Silva","462","A. C. B. Silva","Minas Gerais","DELFINÓPOLIS","Estância Carmen Silva.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","133660","Diplusodon","astictus","T. Barbosa","2535","R. C. Forzza","Goiás","ALTO PARAÍSO DE GOIÁS","Serra da Baliza. Encostas da serra, 1,3Km da Rodovia Alto Paraíso de Goiás-Brasília. Entrada a 5,2Km da saída de Alto Paraíso de Goiás (BR-010, Km 162).",-47.504722,-14.173889,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","16885","Diplusodon","ulei","T. B. Cavalcanti","12504","S. A. Mori","Bahia","RIO DE CONTAS","Pico das Almas, a 18Km ao SNW da cidade.",-41.95,-13.55,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","16894","Diplusodon","parvifolius","T. B. Cavalcanti","12451","S. A. Mori","Bahia","RIO DE CONTAS","6-10Km ao NW cidade, estrada para o Pico das Almas.",-41.883333,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","17822","Diplusodon","ulei","T. B. Cavalcanti","12570","S. A. Mori","Bahia","MUCUGÊ","3Km ao S na estrada para Mucugê/Jussiape.",-41.4,-13,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","19731","Diplusodon","parvifolius","Flora do Pico das Almas","19783","R. M. Harley","Bahia","RIO DE CONTAS","Ca. 19Km ao WNW da Rod. Vila do Rio de Contas/Pico das Almas.",-41.883333,-13.55,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","19734","Diplusodon","parvifolius","T. B. Cavalcanti","19944","R. M. Harley","Bahia","RIO DE CONTAS","Ca. 3Km ao S do povoado de Mato Grosso. Rod. p/ Vila do Rio de Contas.",-41.816667,-13.483333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","19837","Diplusodon","hirsutus","T. B. Cavalcanti","19230","R. M. Harley","Bahia","MORRO DO CHAPÉU","19.5Km SE cidade, BA-052, Rod. p/ Mundo do Mimoso., prox. Rio Ferro Doido.",-41.033333,-11.633333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","20566","Diplusodon","parvifolius","T. B. Cavalcanti","13383","S. A. Mori","Bahia","PIATÃ","10Km ao N Piatã.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","20793","Diplusodon","parvifolius","T. B. Cavalcanti","13515","S. A. Mori","Bahia","RIO DE CONTAS","Serra das Almas, a 5Km ao NW da cidade.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","21764","Diplusodon","ulei","T. B. Cavalcanti","19512","R. M. Harley","Bahia","RIO DE CONTAS","A NE da rampa baixa do Pico das Almas. Ca. 25Km WNW Vila d Rio de Contas,",-41.95,-13.55,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","23275","Diplusodon","ulei","T. B. Cavalcanti","207","J. E. M. Brazão","Bahia","BARRA DA ESTIVA","A 13Km da cidade.",-41.333611,-13.540833,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","25457","Diplusodon","ulei","T. B. Cavalcanti","20757","R. M. Harley","Bahia","BARRA DA ESTIVA","Serra do Sincorá. 15-19Km a W cidade, Rod. p/ Jussiape.",-41.45,-13.583333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","26271","Diplusodon","uninervius","T. B. Cavalcanti","21299","R. M. Harley","Bahia","CAETITÉ","Serra Geral de Caetité. Ca. 15Km ao S Caetite, Rod. p/ Brejinho das Ametistas.",-42.5,-14.233333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27134","Diplusodon","ulei","T. B. Cavalcanti","14260","S. A. Mori","Bahia","LENÇÓIS","Ao Longo Br-242, ca. 15Km ao NW de Lençóis e Km 225.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27148","Diplusodon","oblongus","S. A. Mori","14289","S. A. Mori","Bahia","LENÇÓIS","Ao longo da BR-242. Ca. 15Km ao NW Lençóis e Km 225.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27197","Diplusodon","hirsutus","S. A. Mori","14453","S. A. Mori","Bahia","MORRO DO CHAPÉU","Torre TELEBAHIA. Ca. 6Km ao S cidade.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27289","Diplusodon","ulei","T. B. Cavalcanti","14404","S. A. Mori","Bahia","LENÇÓIS","Arredores de Lençóis, estrada para Barro Branco. 5Km ao N Lençóis.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27350","Diplusodon","hirsutus","S. A. Mori","14509","S. A. Mori","Bahia","MORRO DO CHAPÉU","BR-052, arredores da ponte do Rio Ferro Doido. Ca. 18Km a E da cidade",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27404","Diplusodon","ulei","T. B. Cavalcanti","14373","S. A. Mori","Bahia","palmeiras","Pai Inacio, A W Lençóis, Km 232 da BR-242.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","27408","Diplusodon","oblongus","S. A. Mori","14373","S. A. Mori","Bahia","palmeiras","Pai Inacio",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","28325","Diplusodon","thymifolius","T. B. Cavalcanti","21916","R. M. Harley","Bahia","CORRENTINA","Chapão Ocidental da Bahia. 10Km ao N cidade, Rod. p/ Inhaúmas.",-44.65,-13.266667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","29832","Diplusodon","thymifolius","T. B. Cavalcanti","221","S. B. da Silva","Bahia","barreiras","Sem informação.",-45.866667,-12.4,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","30737","Diplusodon","hirsutus","T. B. Cavalcanti","23017","R. M. Harley","Bahia","MORRO DO CHAPÉU","Topo do morro. Ca. 8Km ao SW cidade, a W Rod. p/ Utinga.",-41.2,-11.583333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","32292","Diplusodon","ulei","T. B. Cavalcanti","22670","R. M. Harley","Bahia","LENÇÓIS","Serras dos Lençóis. 7-10Km ao longo Rod. Seabra/Itaberaba, a W Rod. p/ Lençóis.",-41.433333,-12.466667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","35683","Diplusodon","panniculatus","T. B. Cavalcanti","16947","S. A. Mori","Goiás","CRISTALINA","BR-040, 1Km ao SE cidade, Km 107.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","36225","Diplusodon","thymifolius","T. B. Cavalcanti","349","S. B. da Silva","Bahia","barreiras","Km 33 da estrada Roda Velha/Sitio Grande.",-45.583333,-12.6,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","41695","Diplusodon","orbicularis","T. B. Cavalcanti","593","H. P. Bautista","Minas Gerais","santana do riacho","Serra do Cipó, MG-010. Refúgio Ecologico.",-43.616667,-19.333333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","44536","Diplusodon","parvifolius","A. Lourteig","47420","G. Hatschbach","Bahia","RIO DE CONTAS","Aeroporto.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","44791","Diplusodon","uninervius","T. B. Cavalcanti",NA,"R. Simão","Minas Gerais","diamantina","Margem da estrada para Conselheiro da Mata, a 5Km da estr. Curvelo/Diamantina.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","44792","Diplusodon","glaucescens","T. B. Cavalcanti","0","T. B. Cavalcanti","Minas Gerais","diamantina","Km 166, estrada Conselheiro/Diamantina.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","45138","Diplusodon","ulei","J. J. Wurdack","2808","L. A. Mattos-Silva","Bahia","ANDARAÍ","Rod. Andaraí/Mucugê, Km 30. Próximo ao Parque Nacional da Chapada Diamantina.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","45926","Diplusodon","parvifolius","Flora do Pico das Almas","26681","R. M. Harley","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste. Campo do Queiroz.",-41.95,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","47060","Diplusodon","ulei","T. B. Cavalcanti","27845","R. M. Harley","Bahia","ABAÍRA","Vale em frente a Serra do Guarda Mor.",-41.866667,-13.283333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","48473","Diplusodon","parvifolius","Flora do Pico das Almas","26083","R. M. Harley","Bahia","RIO DE CONTAS","12-16Km ao NW cidade. Pico das Almas. Vertente leste. Junco/Faz. Brumadinho.",-41.9,-13.533333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","57465","Diplusodon","ulei","T. B. Cavalcanti","2754","L. P. de Queiroz","Bahia","LENÇÓIS","Caminho de Lençóis para Barro Branco, atrás do cemitério. Ca. 8Km de Lençóis.",NA,NA,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64449","Diplusodon","ciliiflorus","T. B. Cavalcanti","253","T. B. Cavalcanti","Minas Gerais","diamantina","São João da Chapada.",-43.716667,-18.183333,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64451","Diplusodon","hexander","T. B. Cavalcanti","250","T. B. Cavalcanti","Minas Gerais","diamantina","São João da Chapada, BR-367, Km 3.",-43.75,-18.116667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64452","Diplusodon","oblongus","T. B. Cavalcanti","454","T. B. Cavalcanti","Goiás","GOIÁS","Serra Dourada.",-5.116667,-16.05,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64454","Diplusodon","paraisoensis","T. B. Cavalcanti","390","T. B. Cavalcanti","Goiás","cavalcante","A 7Km do entroncamento Teresina de Goias/Campos Belos. Estr. velha p/ Nova Roma.",-47.183333,-13.716667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64455","Diplusodon","parvifolius","T. B. Cavalcanti","303","T. B. Cavalcanti","Bahia","RIO DE CONTAS","Km 5 da cidade, estrada para o povoado de Mato Grosso.",-41.883333,-13.316667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","64460","Diplusodon","oblongus","T. B. Cavalcanti","377","T. B. Cavalcanti","Goiás","ALTO PARAÍSO DE GOIÁS","Km 8 da Rod. GO-118. Alto Paraiso.",-47.533333,-14.05,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","68483","Diplusodon","ulei","T. B. Cavalcanti","304","M. L. Guedes","Bahia","LENÇÓIS","Serra da Chapadinha.",-41.445278,-12.459722,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","70484","Diplusodon","ulei","T. B. Cavalcanti","2049","M. L. Guedes","Bahia","LENÇÓIS","Serra da Chapadinha.",-41.421389,-12.465,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","75379","Diplusodon","thymifolius","T. B. Cavalcanti","6644","L. Coradin","Bahia","ibotirama","Rod. BR-242 Ibotirama/Barreiras) Km 86.",-44.033333,-12.116667,NA,NA,NA,NA
"splink","CEPLAC","CEPEC","808","Diplusodon","puberulus","T. B. Cavalcanti","397","R. P. Belém","Minas Gerais","MONTES CLAROS","52Km da Rod. Montes Claros/Pirapora.",NA,NA,NA,NA,NA,NA
