"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
266,"USP","SPF","227588","Diplusodon hexander",NA,"T. B. Cavalcanti",-18.372028,-43.705083
297,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120905","Diplusodon virgatus","virgatus","T. B. Cavalcanti",-20.26083,-46.40011
298,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120632","Diplusodon orbicularis",NA,"T. B. Cavalcanti",-19.29467,-43.59657
299,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120532","Diplusodon microphyllus",NA,"T. B. Cavalcanti",-20.50587,-43.63577
300,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120539","Diplusodon microphyllus",NA,"T. B. Cavalcanti",-20.50587,-43.63577
301,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120517","Diplusodon microphyllus",NA,"T. B. Cavalcanti",-20.47559,-43.59247
302,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120497","Diplusodon virgatus",NA,"T. B. Cavalcanti",-21.043,-44.3231
326,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97866","Diplusodon uninervius",NA,"T. B. Cavalcanti",-19.006111,-43.755556
334,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","91258","Diplusodon quintuplinervius",NA,"T. B. Cavalcanti",-16.339167,-41.09
335,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90911","Diplusodon parvifolius",NA,"T. B. Cavalcanti",-13.523611,-41.922222
336,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90092","Diplusodon sordidus",NA,"T. B. Cavalcanti",-14.163611,-47.616667
337,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90082","Diplusodon chapadensis",NA,"T. B. Cavalcanti",-14.173611,-47.784444
338,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89903","Diplusodon sordidus",NA,"T. B. Cavalcanti",-14.225833,-47.491111
339,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89846","Diplusodon plumbeus",NA,"T. B. Cavalcanti",-16.743333,-47.603056
340,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89768","Diplusodon helianthemifolius",NA,"T. B. Cavalcanti",-15.793056,-48.834722
