"id","institutioncode","collectioncode","catalognumber","genus","species","subspecies","identifiedby","collectornumber","collector","stateprovince","county","locality","longitude","latitude","municipality_gbif","datsrc","gen_sp"
266,"USP","SPF","227588","Diplusodon","hexander",NA,"T. B. Cavalcanti","450","Lovo, J","Minas Gerais",NA,"Estrada para Barão do Guaicuí, a 3 km a rodovia Diamantina-Datas (BR 367), após entrada a 23 km de Diamantina.",-43.705083,-18.372028,"Gouveia","gbif","Diplusodon hexander"
297,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120905","Diplusodon","virgatus","virgatus","T. B. Cavalcanti","497","Delfini, C.","Minas Gerais",NA,"Estrada de acesso para o Parque Nacional da Serra da Canastra, ca. 2km antes da portaria São Roque de Minas.",-46.40011,-20.26083,"São Roque de Minas","gbif","Diplusodon virgatus"
298,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120632","Diplusodon","orbicularis",NA,"T. B. Cavalcanti","202","Delfini, C.","Minas Gerais",NA,"Parque Nacional da Serra do Cipó, rodovia MG 10, km 109.",-43.59657,-19.29467,"Santana do Riacho","gbif","Diplusodon orbicularis"
299,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120532","Diplusodon","microphyllus",NA,"T. B. Cavalcanti","100","Delfini, C.","Minas Gerais",NA,"Serra de Ouro Branco. Entrada para a Serra no entroncamento com a estrada Ouro Branco - Ouro Preto.",-43.63577,-20.50587,"Ouro Branco","gbif","Diplusodon microphyllus"
300,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120539","Diplusodon","microphyllus",NA,"T. B. Cavalcanti","107","Delfini, C.","Minas Gerais",NA,"Serra de Ouro Branco. Entrada para a Serra no entroncamento com a estrada Ouro Branco - Ouro Preto.",-43.63577,-20.50587,"Ouro Branco","gbif","Diplusodon microphyllus"
301,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120517","Diplusodon","microphyllus",NA,"T. B. Cavalcanti","83","Delfini, C.","Minas Gerais",NA,"Estrada para Ouro Preto, a cerca de 14 km de Ouro Branco, a beira da estrada velha.",-43.59247,-20.47559,"Ouro Branco","gbif","Diplusodon microphyllus"
302,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120497","Diplusodon","virgatus",NA,"T. B. Cavalcanti","62","Delfini, C.","Minas Gerais",NA,"Estrada para Ritápolis, no entroncamento para a entrada da cidade.",-44.3231,-21.043,"Ritápolis","gbif","Diplusodon virgatus"
326,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97866","Diplusodon","uninervius",NA,"T. B. Cavalcanti","32764","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha. Mata ciliar.",-43.755556,-19.006111,"Santana do Pirapama.","gbif","Diplusodon uninervius"
334,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","91258","Diplusodon","quintuplinervius",NA,"T. B. Cavalcanti","5617","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Tsuji, R.","Minas Gerais",NA,"Estrada entre Pedra Azul e Jequitinhonha, ca. 47km de Pedra Azul. Cerrado",-41.09,-16.339167,"Jequitinhonha","gbif","Diplusodon quintuplinervius"
335,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90911","Diplusodon","parvifolius",NA,"T. B. Cavalcanti","5288","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Tsuji, R.","Bahia",NA,"Estrada para o Pico das Almas (indo pela Fazenda Silvina), 14km da barragem. Cerrado",-41.922222,-13.523611,"Rio de Contas","gbif","Diplusodon parvifolius"
336,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90092","Diplusodon","sordidus",NA,"T. B. Cavalcanti","4497","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Estrada para a Vila de São Jorge, ca. 7km do trevo da GO-118. Próximo à entrada da Fazenda Capão do Negro. Campo úmido com cerrado adjacente",-47.616667,-14.163611,"Alto Paraíso de Goiás","gbif","Diplusodon sordidus"
337,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90082","Diplusodon","chapadensis",NA,"T. B. Cavalcanti","4487","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Estrada para o Vale da Lua, ca. 3km da estrada para o Parque. Cerrado",-47.784444,-14.173611,"Alto Paraíso de Goiás","gbif","Diplusodon chapadensis"
338,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89903","Diplusodon","sordidus",NA,"T. B. Cavalcanti","4362","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Fazenda Rosmarinho. GO-118, a 11km do trevo para Niquelândia e Colinas do Sul. Campo rupestre adjacente ao riozinho",-47.491111,-14.225833,"Alto Paraíso de Goiás","gbif","Diplusodon sordidus"
339,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89846","Diplusodon","plumbeus",NA,"T. B. Cavalcanti","4305","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","Goias",NA,"Estrada para Unaí. Ca. 1km da BR 040. Cerrado degradado com campo rupestre adjacente",-47.603056,-16.743333,"Cristalina","gbif","Diplusodon plumbeus"
