"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
266,"USP","SPF","227588","Diplusodon_hexander",NA,"T. B. Cavalcanti",-18.372028,-43.705083,708
297,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120905","Diplusodon_virgatus","virgatus","T. B. Cavalcanti",-20.26083,-46.40011,823
298,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120632","Diplusodon_orbicularis",NA,"T. B. Cavalcanti",-19.29467,-43.59657,748
299,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120532","Diplusodon_microphyllus",NA,"T. B. Cavalcanti",-20.50587,-43.63577,828
300,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120539","Diplusodon_microphyllus",NA,"T. B. Cavalcanti",-20.50587,-43.63577,828
301,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120517","Diplusodon_microphyllus",NA,"T. B. Cavalcanti",-20.47559,-43.59247,828
326,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97866","Diplusodon_uninervius",NA,"T. B. Cavalcanti",-19.006111,-43.755556,748
335,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90911","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.523611,-41.922222,391
339,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89846","Diplusodon_plumbeus",NA,"T. B. Cavalcanti",-16.743333,-47.603056,581
340,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89768","Diplusodon_helianthemifolius",NA,"T. B. Cavalcanti",-15.793056,-48.834722,499
341,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89729","Diplusodon_helianthemifolius",NA,"T. B. Cavalcanti",-15.801667,-48.856111,499
342,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89292","Diplusodon_uninervius",NA,"T. B. Cavalcanti",-17.708333,-44.195278,667
351,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81611","Diplusodon_capitalensis",NA,"T. B. Cavalcanti",-15.958889,-47.888333,541
359,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","78047","Diplusodon_orbicularis",NA,"T. B. Cavalcanti",-19.271111,-43.547778,748
360,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77884","Diplusodon_ciliiflorus",NA,"T. B. Cavalcanti",-18.1301,-43.3537,669
371,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73475","Diplusodon_ciliiflorus",NA,"T. B. Cavalcanti",-19.258333,-43.551111,748
384,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60002","Diplusodon_lanceolatus",NA,"T. B. Cavalcanti",-17.729028,-44.176056,667
446,"JBRJ","RB","RB01402747","Diplusodon_minasensis",NA,"T. B. Cavalcanti",-18.810833,-43.7525,708
468,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","95836","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.25,-41.916667,351
469,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","95837","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.25,-41.916667,351
470,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","95838","Diplusodon_ulei","ulei","T. B. Cavalcanti",-13.216667,-41.833333,351
497,"Cenargen","CEN","104992","Diplusodon_hirsutus",NA,"T. B. Cavalcanti",-16.722222,-42.9225,589
520,"UFU","HUFU","72384","Diplusodon_rotundifolius",NA,"T. B. Cavalcanti",-18.294167,-43.736944,708
522,"UFU","HUFU","70488","Diplusodon_uninervius",NA,"T. B. Cavalcanti",-17.906944,-43.801389,668
535,"NY","NY","00940289","Diplusodon_helianthemifolius","helianthemifolius","T. B. Cavalcanti",-18.2531772779915,-43.6004898201051,668
536,"NY","NY","00923982","Diplusodon_rosmarinifolius",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
540,"NY","NY","00923874","Diplusodon_minasensis",NA,"T. B. Cavalcanti",-18.3,-43.88,708
544,"NY","NY","00980601","Diplusodon_glaziovii",NA,"T. B. Cavalcanti",-18.3,-43.8789,708
546,"NY","NY","00940292","Diplusodon_helianthemifolius","helianthemifolius","T. B. Cavalcanti",-18.1681,-43.6186,668
550,"NY","NY","00940244","Diplusodon_ciliiflorus",NA,"S. A. Graham",-18.24015,-43.6007,668
552,"NY","NY","424598","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.32,-41.88,351
555,"NY","NY","00924074","Diplusodon_virgatus",NA,"A. Lourteig",-15.4,-47.43,502
557,"NY","NY","00923970","Diplusodon_ramosissimus",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
560,"NY","NY","00940279","Diplusodon_glaucescens",NA,"S. A. Graham",-18.4581810723501,-43.7407994499746,708
562,"NY","NY","01405319","Diplusodon_leucocalycinus",NA,"T. B. Cavalcanti",-13.92979,-47.42163,382
564,"NY","NY","00940247","Diplusodon_ciliiflorus",NA,"T. B. Cavalcanti",-18.22,-43.68,668
566,"NY","NY","445429","Diplusodon_puberulus",NA,"A. Lourteig",-17.75,-44.2,667
578,"NY","NY","00924057","Diplusodon_virgatus",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
579,"NY","NY","00940246","Diplusodon_ciliiflorus",NA,"S. A. Graham",-18.2531772779915,-43.6004898201051,668
580,"NY","NY","1018614","Diplusodon_hexander",NA,"T. B. Cavalcanti",-18.4225,-43.7175,708
582,"NY","NY","684949","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.25,-41.92,351
583,"NY","NY","00924025","Diplusodon_uninervius",NA,"T. B. Cavalcanti",-18.2531772779915,-43.6004898201051,668
585,"NY","NY","00940300","Diplusodon_hexander",NA,"A. Lourteig",-18.0833,-43.7833,668
587,"NY","NY","00923515","Diplusodon_virgatus",NA,"T. B. Cavalcanti",-15.92,-48.02,541
597,"NY","NY","00924062","Diplusodon_virgatus",NA,"A. Lourteig",-15.7834208090807,-47.9298726661488,501
602,"NY","NY","424596","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.25,-41.92,351
607,"NY","NY","424599","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.45,-41.95,351
610,"NY","NY","00923934","Diplusodon_orbicularis",NA,"T. B. Cavalcanti",-19.388386,-43.539757,748
611,"NY","NY","00941149","Diplusodon_glaucescens",NA,"T. B. Cavalcanti",-18.5797,-43.5686,708
615,"NY","NY","01093213","Diplusodon_leucocalycinus",NA,"T. B. Cavalcanti",-13.92,-47.42,382
623,"NY","NY","00924008","Diplusodon_sigillatus",NA,"T. B. Cavalcanti",-14.0511,-47.5011,382
628,"NY","NY","00923849","Diplusodon_leucocalycinus",NA,"T. B. Cavalcanti",-13.98077,-47.5,382
636,"NY","NY","00941155","Diplusodon_strigosus",NA,"T. B. Cavalcanti",-15.783420808429,-47.9301726858463,501
639,"NY","NY","00923805","Diplusodon_hexander",NA,"S. A. Graham",-18.2531772779915,-43.6004898201051,668
646,"NY","NY","00923985","Diplusodon_rosmarinifolius",NA,"A. Lourteig",-15.7834208090807,-47.9298726661488,501
655,"NY","NY","00923971","Diplusodon_ramosissimus",NA,"A. Lourteig",-15.7833,-47.77671,501
670,"NY","NY","445425","Diplusodon_hirsutus",NA,"T. B. Cavalcanti",-10.37,-41.33,152
679,"NY","NY","01405321","Diplusodon_minasensis",NA,"T. B. Cavalcanti",-18.1838,-43.536667,668
682,"NY","NY","00923876","Diplusodon_oblongus",NA,"A. Lourteig",-14.07196,-47.56254,381
683,"NY","NY","00940249","Diplusodon_ciliiflorus",NA,"S. A. Graham",-18.2531772779915,-43.6004898201051,668
694,"NY","NY","00940287","Diplusodon_helianthemifolius","helianthemifolius","T. B. Cavalcanti",-18.36499,-43.72035,708
698,"NY","NY","00923945","Diplusodon_panniculatus",NA,"T. B. Cavalcanti",-16.7723416525899,-47.6137541731285,581
701,"NY","NY","00940291","Diplusodon_helianthemifolius","helianthemifolius","T. B. Cavalcanti",-18.2531772779915,-43.6004898201051,668
707,"NY","NY","00924001","Diplusodon_sessiliflorus",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
712,"NY","NY","00923806","Diplusodon_hexander",NA,"T. B. Cavalcanti",-18.13,-43.53,668
723,"NY","NY","445731","Diplusodon_parvifolius",NA,"T. B. Cavalcanti",-13.53,-41.95,391
725,"NY","NY","00924032","Diplusodon_uninervius",NA,"S. A. Graham",-18.2531772779915,-43.6004898201051,668
729,"NY","NY","00923981","Diplusodon_rosmarinifolius",NA,"A. Lourteig",-15.43,-47.43,502
738,"NY","NY","445436","Diplusodon_ulei",NA,"T. B. Cavalcanti",-13.53,-41.95,391
741,"NY","NY","00924004","Diplusodon_sordidus",NA,"T. B. Cavalcanti",-13.93593,-47.5167,382
742,"NY","NY","00924061","Diplusodon_virgatus",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
756,"NY","NY","00924573","Diplusodon_virgatus",NA,"T. B. Cavalcanti",-15.7834208090807,-47.9298726661488,501
759,"NY","NY","1018612","Diplusodon_candollei",NA,"T. B. Cavalcanti",-18.8406,-43.7481,708
