datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-07-30 10:41:03-03"	CITSF	HXBH	015165	"Diplusodon sp."	S	Plantae				Lythraceae	Diplusodon	sp.			"Meyer, S. T."							"Teixeira, M C. B. & Santos"	2000	08	08				BR	MG	"Barão de Cocais"	"Fazenda Outra Banda"	0	0	-43.4872	-19.9458	21378													
"2014-09-23 10:58:31-03"	G	G	G00227379	"Diplusodon canastrensis"	S	Plantae				Lythraceae	Diplusodon	canastrensis		"T. B. Cavalc."	?				"ISOTYPUS of Diplusodon canastrensis T. B. Cavalc."	1973		"Mello Silva, R. & al."	2002	11	07			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206373&base=img&lang=en"	G00227379
"2014-09-23 10:58:31-03"	G	G	G00227376	"Diplusodon decussatus"	S	Plantae				Lythraceae	Diplusodon	decussatus		"Gardner & Fielding"	?				"TYPUS of Diplusodon decussatus Gardner & Fielding"	3722		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206369&base=img&lang=en"	G00227376
"2014-09-23 10:58:31-03"	G	G	G00227377	"Diplusodon decussatus"	S	Plantae				Lythraceae	Diplusodon	decussatus		"Gardner & Fielding"	?				"TYPUS of Diplusodon decussatus Gardner & Fielding"	3722		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206370&base=img&lang=en"	G00227377
"2014-09-23 10:58:31-03"	G	G	G00227378	"Diplusodon decussatus"	S	Plantae				Lythraceae	Diplusodon	decussatus		"Gardner & Fielding"	?				"TYPUS of Diplusodon decussatus Gardner & Fielding"	3722		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206371&base=img&lang=en"	G00227378
"2014-09-23 10:58:31-03"	G	G	G00227373	"Diplusodon gracilis"	S	Plantae				Lythraceae	Diplusodon	gracilis		Koehne	?				"TYPUS of Diplusodon gracilis Koehne"	3155		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206366&base=img&lang=en"	G00227373
"2014-09-23 10:58:31-03"	G	G	G00227374	"Diplusodon gracilis"	S	Plantae				Lythraceae	Diplusodon	gracilis		Koehne	?				"TYPUS of Diplusodon gracilis Koehne"	3155		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206367&base=img&lang=en"	G00227374
"2014-09-23 10:58:31-03"	G	G	G00227375	"Diplusodon gracilis"	S	Plantae				Lythraceae	Diplusodon	gracilis		Koehne	?				"TYPUS of Diplusodon gracilis Koehne"	3155		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206368&base=img&lang=en"	G00227375
"2014-09-23 10:58:31-03"	G	G	G00227365	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus Gardner"	4140		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206349&base=img&lang=en"	G00227365
"2014-09-23 10:58:31-03"	G	G	G00227366	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus Gardner"	4140		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206350&base=img&lang=en"	G00227366
"2014-09-23 10:58:31-03"	G	G	G00227367	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus Gardner"	4140		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206352&base=img&lang=en"	G00227367
"2014-09-23 10:58:31-03"	G	G	G00227368	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus var. serpyllum Koehne"	4141		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206355&base=img&lang=en"	G00227368
"2014-09-23 10:58:31-03"	G	G	G00227369	"Diplusodon incanus"	S	Plantae				Lythraceae	Diplusodon	incanus		Gardner	?				"TYPUS of Diplusodon incanus var. serpyllum Koehne"	4141		"Gardner, G."	1841		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206356&base=img&lang=en"	G00227369
"2014-09-23 10:58:31-03"	G	G	G00227370	"Diplusodon incanus var. hirtellus"	S	Plantae				Lythraceae	Diplusodon	incanus	"var. hirtellus"	Koehne	?				"TYPUS of Diplusodon incanus var. hirtellus Koehne"	4137		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206357&base=img&lang=en"	G00227370
"2014-09-23 10:58:31-03"	G	G	G00227371	"Diplusodon incanus var. hirtellus"	S	Plantae				Lythraceae	Diplusodon	incanus	"var. hirtellus"	Koehne	?				"TYPUS of Diplusodon incanus var. hirtellus Koehne"	4137		"Gardner, G."	1842		00			"AMERIQUE DU SUD"	Brazil	Goias			-49.56972222	-15.81194444															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=206358&base=img&lang=en"	G00227371
