"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
1080,"Instituto de Botânica","SP","492224","Habenaria_ciliatisepala",NA,"AA Vale",-13.523611,-41.960556,391
1082,"Instituto de Botânica","SP","490853","Habenaria_hippocrepica",NA,"JAN Batista",-18.340278,-43.549139,708
1102,"Instituto de Botânica","SP","492213","Habenaria_hippocrepica",NA,"JAN Batista",-17.803056,-43.780833,668
1105,"Instituto de Botânica","SP","492223","Habenaria_leprieuri",NA,"JAN Batista",-17.917778,-43.788889,668
1110,"Instituto de Botânica","SP","490846","Habenaria_espinhacensis",NA,"JAN Batista",-18.297778,-43.838056,708
1113,"Instituto de Botânica","SP","490845","Habenaria_hippocrepica",NA,"JAN Batista",-18.191472,-43.3575,669
1114,"Instituto de Botânica","SP","490850","Habenaria_reflexicalcar",NA,"JAN Batista",-19.085556,-43.575833,748
1120,"Instituto de Botânica","SP","488265","Habenaria_reflexicalcar",NA,"JAN Batista",-19.157222,-43.518889,748
1131,"Instituto de Botânica","SP","474285","Habenaria_crucifera",NA,"TL Vieira",-20.4925,-43.713889,828
1132,"Instituto de Botânica","SP","474326","Habenaria_subviridis",NA,"JAN Batista",-20.5025,-43.629444,828
1135,"Instituto de Botânica","SP","474288","Habenaria_lavrensis",NA,"TL Vieira",-20.506111,-43.6325,828
1136,"Instituto de Botânica","SP","474287","Habenaria_josephensis",NA,"TL Vieira",-20.489167,-43.701944,828
1137,"Instituto de Botânica","SP","474311","Habenaria_nuda",NA,"TL Vieira",-20.489167,-43.693333,828
1142,"Instituto de Botânica","SP","474289","Habenaria_lavrensis",NA,"TL Vieira",-20.478611,-43.718056,828
1143,"Instituto de Botânica","SP","474325","Habenaria_subviridis",NA,"JAN Batista",-20.489167,-43.663611,828
1210,"Instituto de Botânica","SP","378604","Habenaria_leprieuri",NA,"JAN Batista",-15.866667,-48.016667,501
1211,"Instituto de Botânica","SP","378601","Habenaria_leprieuri",NA,"JAN Batista",-15.866667,-48,501
1213,"Instituto de Botânica","SP","378602","Habenaria_lavrensis",NA,"JAN Batista",-15.866667,-48,501
1220,"Instituto de Botânica","SP","378605","Habenaria_lavrensis",NA,"JAN Batista",-15.866667,-48.016667,501
1224,"Instituto de Botânica","SP","378607","Habenaria_leprieuri",NA,"JAN Batista",-15.866667,-48,501
1272,"Instituto de Botânica","SP","352319","Habenaria_magniscutata",NA,"JAN Batista",-14.0725,-47.509167,382
1286,"Instituto de Botânica","SP","352204","Habenaria_magniscutata",NA,"JAN Batista",-14.0725,-47.509167,382
1318,"Instituto de Botânica","SP","348370","Habenaria_glaucophylla","brevifolia","LB Bianchetti",-15.924167,-48.033333,541
1328,"Instituto de Botânica","SP","348346","Habenaria_mystacina",NA,"LB Bianchetti",-15.983333,-47.966667,541
1336,"Instituto de Botânica","SP","348318","Habenaria_goyazensis",NA,"LB Bianchetti",-15.866667,-48.05,501
1343,"Instituto de Botânica","SP","348319","Habenaria_heringeri",NA,"LB Bianchetti",-15.866667,-48.05,501
1444,"Instituto de Botânica","SP","319794","Habenaria_lavrensis",NA,"LB Bianchetti",-15.916667,-48.016667,541
1512,"Instituto de Botânica","SP","305446","Habenaria_obtusa",NA,"JAN Batista",-14.133333,-47.45,422
1764,"Instituto de Botânica","SP","195413","Habenaria_parviflora",NA,"JAN Batista",-18.416667,-43.35,709
1767,"Instituto de Botânica","SP","195407","Habenaria_petalodes",NA,"JAN Batista",-18.866667,-43.766667,708
1772,"Instituto de Botânica","SP","195357","Habenaria_setacea",NA,"JAN Batista",-18.4,-43.35,709
1811,"Instituto de Botânica","SP","154133","Habenaria_magniscutata",NA,"JAN Batista",-19.316667,-43.6,748
1911,"UFPI","TEPB","22197","Habenaria_lavrensis",NA,"JAN Batista",-15.866667,-48,501
1912,"UFPI","TEPB","22194","Habenaria_imbricata",NA,"JAN Batista",-15.866667,-48,501
1915,"UFPI","TEPB","22195","Habenaria_leprieuri",NA,"JAN Batista",-15.866667,-48,501
1919,"UFPI","TEPB","17633","Habenaria_glaucophylla",NA,"LB Bianchetti",-15.924167,-48.033333,541
1973,"Jardim Botânico de Brasília","HEPH","35645","Habenaria_hamata",NA,"DN Carvalho",-15.870278,-47.836944,501
2068,"MBM","MBM","415611","Habenaria_hippocrepica",NA,"JAN Batista",-18.161,-43.320028,669
2069,"MBM","MBM","415607","Habenaria_reflexicalcar",NA,"JAN Batista",-19.106944,-43.575944,748
2072,"MBM","MBM","415606","Habenaria_reflexicalcar",NA,"JAN Batista",-19.157331,-43.519111,748
2074,"MBM","MBM","415618","Habenaria_espinhacensis",NA,"JAN Batista",-18.297778,-43.838222,708
