"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
2,"MBM","MBM","426283","Blanchetia heterotricha",NA,"M. L. Guedes",-12.528889,-41.413056
120,"Instituto de Botânica","SP","278629","Chresta sphaerocephala",NA,"B. Loueille",-24.1,-49.216667
123,"UFU","HUFU","79735","Eremanthus glomerulatus",NA,"J. N. Nakajima",-21.256944,-44.515278
124,"UFU","HUFU","79734","Hololepis pedunculata",NA,"J. N. Nakajima",-21.248611,-44.505556
127,"UFU","HUFU","79714","Eremanthus glomerulatus",NA,"J. N. Nakajima",-21.236111,-44.485278
128,"UFU","HUFU","79711","Eremanthus glomerulatus",NA,"J. N. Nakajima",-21.270278,-44.500556
129,"UFU","HUFU","79846","Lychnophora passerina",NA,"D. A. Chaves",-18.013056,-43.404722
130,"UFU","HUFU","79695","Lychnophora passerina",NA,"J. N. Nakajima",-21.131667,-44.301944
131,"UFU","HUFU","79741","Elephantopus palustris",NA,"J. N. Nakajima",-21.217778,-44.4575
132,"UFU","HUFU","79727","Eremanthus glomerulatus",NA,"J. N. Nakajima",-21.206944,-44.505278
135,"UFU","HUFU","79728","Eremanthus crotonoides",NA,"J. N. Nakajima",-21.221111,-44.450833
136,"Jardim Botânico de Brasília","HEPH","37148","Lychnophora salicifolia",NA,"J. E. Q. Faria",-14.176667,-47.515278
139,"Jardim Botânico de Brasília","HEPH","36746","Chresta speciosa",NA,"J. E. Q. Faria",-14.228333,-47.894167
140,"Jardim Botânico de Brasília","HEPH","36801","Chresta curumbensis",NA,"J. E. Q. Faria",-14.2175,-47.919444
145,"IMA","MAC","31405","Lychnophora triflora",NA,"B. Loueille",-11.333333,-40.516667
146,"IMA","MAC","31389","Lychnophora bishopii",NA,"B. Loueille",-11.346111,-41.520833
147,"IMA","MAC","31615","Lychnophora uniflora",NA,"B. Loueille",-13.206389,-41.758611
449,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7180","Lychnophora souzae",NA,"B. Loueille",-18.196667,-43.568056
452,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7103","Lychnophoriopsis hatschbachii",NA,"J. E. Q. Faria",-18.280556,-43.965278
454,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7113","Eremanthus crotonoides",NA,"D. A. Chaves",-18.6175,-43.350556
455,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7221","Lychnophora souzae",NA,"J. E. Q. Faria",-18.196389,-43.568056
472,"Jardim Botânico de Brasília","HEPH","36164","Chresta angustifolia",NA,"J. E. Q. Faria",-14.100833,-47.5
475,"Jardim Botânico de Brasília","HEPH","36127","Minasia scapigera",NA,"J. E. Q. Faria",-18.199167,-43.703056
476,"Jardim Botânico de Brasília","HEPH","36128","Minasia alpestris",NA,"J. E. Q. Faria",-18.199167,-43.703056
499,"Instituto de Botânica","SP","512440","Piptolepis ericoides",NA,"B. Loueille",-18.808333,-43.751667
500,"Instituto de Botânica","SP","445162","Lychnophora ericoides",NA,"R. S. Bianchini",-19.821389,-43.678611
551,"Universidade Federal de Santa Catarina","FLOR","30538","Centratherum punctatum",NA,"H. P. Bautista",-8.816667,-40.816667
569,"UNICAMP","UEC","196413","Lychnophora tomentosa",NA,"M. Monge",-18.609444,-43.712222
570,"UNICAMP","UEC","195187","Lychnophora rupestris",NA,"M. Monge",-19.374167,-43.835806
