"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
130,"UFU","HUFU","79695","Lychnophora_passerina",NA,"J. N. Nakajima",-21.131667,-44.301944,867
136,"Jardim Botânico de Brasília","HEPH","37148","Lychnophora_salicifolia",NA,"J. E. Q. Faria",-14.176667,-47.515278,422
145,"IMA","MAC","31405","Lychnophora_triflora",NA,"B. Loueille",-11.333333,-40.516667,233
147,"IMA","MAC","31615","Lychnophora_uniflora",NA,"B. Loueille",-13.206389,-41.758611,351
449,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7180","Lychnophora_souzae",NA,"B. Loueille",-18.196667,-43.568056,668
452,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7103","Lychnophoriopsis_hatschbachii",NA,"J. E. Q. Faria",-18.280556,-43.965278,667
455,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7221","Lychnophora_souzae",NA,"J. E. Q. Faria",-18.196389,-43.568056,668
475,"Jardim Botânico de Brasília","HEPH","36127","Minasia_scapigera",NA,"J. E. Q. Faria",-18.199167,-43.703056,668
476,"Jardim Botânico de Brasília","HEPH","36128","Minasia_alpestris",NA,"J. E. Q. Faria",-18.199167,-43.703056,668
499,"Instituto de Botânica","SP","512440","Piptolepis_ericoides",NA,"B. Loueille",-18.808333,-43.751667,708
500,"Instituto de Botânica","SP","445162","Lychnophora_ericoides",NA,"R. S. Bianchini",-19.821389,-43.678611,788
569,"UNICAMP","UEC","196413","Lychnophora_tomentosa",NA,"M. Monge",-18.609444,-43.712222,708
573,"UNICAMP","UEC","126517","Lychnophora_salicifolia",NA,"J. Semir",-16.967778,-43.373667,588
574,"UNICAMP","UEC","123707","Lychnophora_salicifolia",NA,"J. Semir",-16.936667,-43.86,588
604,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6814","Minasia_lewinsohnii",NA,"J. E. Q. Faria",-18.292778,-43.740556,708
605,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6819","Lychnophora_reticulata",NA,"D. A. Chaves",-18.301111,-43.817222,708
606,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6851","Piptolepis_buxoides",NA,"D. A. Chaves",-18.293333,-43.745556,708
612,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6755","Lychnophora_diamantinana",NA,"D. A. Chaves",-18.376111,-43.706389,708
614,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6730","Lychnophora_reticulata",NA,"J. E. Q. Faria",-18.292222,-43.333056,709
615,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6771","Eremanthus_elaeagnus",NA,"D. A. Chaves",-18.376111,-43.731389,708
616,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7000","Minasia_lewinsohnii",NA,"D. A. Chaves",-18.052778,-43.795,668
617,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6926","Eremanthus_elaeagnus",NA,"J. E. Q. Faria",-18.395278,-43.434444,708
622,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6848","Minasia_scapigera",NA,"D. A. Chaves",-18.293611,-43.796111,708
625,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6827","Minasia_scapigera",NA,"J. E. Q. Faria",-18.3075,-43.897778,708
628,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6993","Lychnophora_reticulata",NA,"D. A. Chaves",-18.085278,-43.750833,668
630,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6275","Lychnophora_pohlii",NA,"D. A. Chaves",-18.324167,-43.546944,708
631,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6989","Lychnophora_rupestris",NA,"D. A. Chaves",-18.112222,-43.734444,668
634,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6564","Lychnophoriopsis_candelabrum",NA,"B. Loueille",-18.5275,-43.914444,708
639,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6917","Minasia_pereirae",NA,"J. E. Q. Faria",-18.415556,-43.438611,708
640,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6831","Minasia_alpestris",NA,"J. E. Q. Faria",-18.268611,-43.7125,668
641,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6839","Minasia_alpestris",NA,"J. E. Q. Faria",-18.273889,-43.713333,668
642,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6950","Lychnophora_sellowii",NA,"J. E. Q. Faria",-18.423056,-43.418611,708
646,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6213","Lychnophora_villosissima",NA,"B. Loueille",-18.0275,-43.818056,668
650,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6894","Minasia_pereirae",NA,"J. E. Q. Faria",-19.256111,-43.553056,748
651,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6273","Minasia_pereirae",NA,"D. A. Chaves",-18.324167,-43.546944,708
654,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","6539","Lychnophora_salicifolia",NA,"D. A. Chaves",-18.303333,-43.333889,709
924,"MBM","MBM","423948","Paralychnophora_bicolor",NA,"H. P. Bautista",-13.048611,-41.878056,351
925,"MBM","MBM","423933","Lychnophora_salicifolia",NA,"H. P. Bautista",-16.217222,-42.870278,549
926,"MBM","MBM","424016","Eremanthus_capitatus",NA,"M. G. Staudt",-11.558889,-41.18,232
941,"MBM","MBM","417602","Lychnophora_staavioides",NA,"B. Loueille",-18.443778,-43.430556,708
943,"MBM","MBM","417600","Heterocoma_gracilis",NA,"B. Loueille",-18.129167,-43.378639,668
970,"Universidade Estadual de Londrina","FUEL","55353","Eremanthus_capitatus",NA,"N. Roque",-13.082778,-41.860278,351
999,"Universidade Estadual de Londrina","FUEL","42878","Lychnophora_ericoides",NA,"J. Semir",-16.9725,-43.571278,588
1001,"Universidade Estadual de Londrina","FUEL","42876","Proteopsis_argentea",NA,"M. E. Mansanares",-18.200325,-43.709111,668
1004,"Universidade Estadual de Londrina","FUEL","42881","Proteopsis_argentea",NA,"J. Semir",-17.712556,-44.198,667
1010,"Universidade Estadual de Londrina","FUEL","42887","Minasia_ramosa",NA,"M. E. Mansanares",-17.712556,-44.198,667
1027,"Universidade Estadual de Londrina","FUEL","39969","Albertinia_brasiliensis",NA,"D. J. N. Hindi",-13.32,-41.798611,351
1039,"Universidade Estadual de Londrina","FUEL","32209","Eremanthus_polycephalus",NA,"B. Loueille",-16.724444,-42.928333,589
1096,"Universidade Federal de Sergipe","ASE","9801","Eremanthus_mollis",NA,"C. E. B. Proença",-15.866667,-47.833333,501
1295,"Universidade de São Paulo","ESA","97795","Piptolepis_schultziana",NA,"B. Loueille",-19.048,-43.7387,748
