gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3031851136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/108942188/original.jpeg?1609548372	https://www.inaturalist.org/photos/108942188					2014-01-13T19:52:39Z	Marcio Santos Ferreira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcio Santos Ferreira
3031851136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/108942176/original.jpeg?1609548366	https://www.inaturalist.org/photos/108942176					2014-01-13T19:52:58Z	Marcio Santos Ferreira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcio Santos Ferreira
3031851136	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/108942061/original.jpeg?1609548295	https://www.inaturalist.org/photos/108942061					2014-01-13T19:52:46Z	Marcio Santos Ferreira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcio Santos Ferreira
3029004314	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106740&method=europeana	http://www.jacq.org/image.php?filename=106740&method=show									http://creativecommons.org/licenses/by/4.0/	
3029004312	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106739&method=europeana	http://www.jacq.org/image.php?filename=106739&method=show									http://creativecommons.org/licenses/by/4.0/	
3029004285	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106737&method=europeana	http://www.jacq.org/image.php?filename=106737&method=show									http://creativecommons.org/licenses/by/4.0/	
3028994464	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=112954&method=europeana	http://www.jacq.org/image.php?filename=112954&method=show									http://creativecommons.org/licenses/by/4.0/	
3028994463	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=112955&method=europeana	http://www.jacq.org/image.php?filename=112955&method=show									http://creativecommons.org/licenses/by/4.0/	
3028994460	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=112953&method=europeana	http://www.jacq.org/image.php?filename=112953&method=show									http://creativecommons.org/licenses/by/4.0/	
2998311201				http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=238712281									CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	HUEFS
2998197554				http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=238706913									CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	HUEFS
2997232979				http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=226522373									CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	CEPEC
2997138932	StillImage	image/jpeg	http://imagens1.jbrj.gov.br/fsi/server?type=image&source=hvpr/mnhn/lote8/P05287989.jpg	http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=227938603									CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	P
2996966550	StillImage	image/jpeg	http://imagens1.jbrj.gov.br/fsi/server?type=image&source=hvpr/mnhn/lote8/P05287990.jpg	http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=227938605									CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages)	P
2988509303	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/2495233/original.jpg?1444298569	http://www.inaturalist.org/photos/2495233					2015-06-06T23:47:45Z	William Milliken		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	William Milliken
2981282867	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165511_20111125_153754.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165511_20111125_153754.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981282835	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137648_20111115_162204.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137648_20111115_162204.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981282835	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137648_20111115_162045.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137648_20111115_162045.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981282461	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137635_20111115_164325.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137635_20111115_164325.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280654	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137625_20111115_165942.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137625_20111115_165942.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280654	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137625_20111115_170103.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137625_20111115_170103.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280522	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137622_20111115_170755.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137622_20111115_170755.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280522	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137622_20111115_170926.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137622_20111115_170926.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280486	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137619_20111115_171254.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137619_20111115_171254.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280184	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165412_20111114_165356.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165412_20111114_165356.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280184	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165412_20111114_165217.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165412_20111114_165217.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280073	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137618_20111115_172027.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137618_20111115_172027.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280073	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137618_20111115_171746.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137618_20111115_171746.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280073	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137618_20111115_171838.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137618_20111115_171838.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981279596	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137609_20111115_174922.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137609_20111115_174922.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981279581	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0137/M-0137617_20111115_172120.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0137/M-0137617_20111115_172120.html									http://creativecommons.org/licenses/by-sa/4.0/	
