"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
33,"JBRJ","RB","RB01435201","Comolia ovalifolia",NA,"DN da Silva",-14.378611,-39.044722
208,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7290","Marcetia acerosa",NA,"R Romero",-17.922833,-43.758256
293,"JBRJ","RB","RB01430516","Comolia ovalifolia",NA,"BDN Valente",-18.249722,-43.658889
304,"JBRJ","RB","RB01430513","Marcetia taxifolia",NA,"BDN Valente",-18.249722,-43.658889
338,"Universidade Federal de Santa Catarina","FLOR","53311","Marcetia viscida",NA,"JFA Baumgratz",-13.516667,-41.933333
880,"UNICAMP","UEC","201991","Siphanthera subtilis",NA,"AFA Versiane",-15.717778,-48.941389
1112,"Universidade Federal da Bahia","ALCB","36977","Marcetia velutina",NA,"JFA Baumgratz",-13.595278,-41.834722
1528,"Instituto de Botânica","SP","347043","Marcetia formosa",NA,"EM Woodgyer",-13.333333,-41.85
1529,"Instituto de Botânica","SP","346979","Marcetia grandiflora",NA,"EM Woodgyer",-13.25,-41.9
1531,"Instituto de Botânica","SP","346980","Marcetia taxifolia",NA,"EM Woodgyer",-13.266667,-41.783333
1678,"Instituto de Botânica","SP","290604","Marcetia taxifolia",NA,"AB Martins",-20.733333,-42.066667
1726,"Instituto de Botânica","SP","239700","Macairea radula",NA,"SAC Chiea",-11.163333,-45.588611
1728,"Instituto de Botânica","SP","244535","Marcetia taxifolia",NA,"AB Martins",-20.716667,-42.483333
1732,"Instituto de Botânica","SP","236342","Siphanthera foliosa",NA,"R Romero",-15.916389,-47.913889
1735,"Instituto de Botânica","SP","236873","Macairea radula",NA,"SAC Chiea",-15.912222,-47.907778
1770,"Instituto de Botânica","SP","210604","Macairea pachyphylla",NA,"SS Renner",-12.45,-45.883333
1818,"Instituto de Botânica","SP","197746","Siphanthera cordata",NA,"JJ Wurdack",-15.616667,-48.066667
1831,"Instituto de Botânica","SP","194964","Macairea radula",NA,"SAC Chiea",-15.516667,-48.033333
1835,"Instituto de Botânica","SP","194993","Macairea radula",NA,"SAC Chiea",-15.816667,-47.633333
2036,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","72272","Marcetia canescens",NA,"AB Martins",-11.590833,-41.206667
2041,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133068","Marcetia nervulosa",NA,"AKA Santos",-12.75,-41.5
2042,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133070","Marcetia canescens",NA,"AKA Santos",-10.119167,-42.854167
2080,"Universidade Federal Rural de Pernambuco","HST","20357","Fritzschia lanceiflora",NA,"CBR Munhoz",-15.762222,-48.069444
2090,"Universidade Federal Rural de Pernambuco","HST","18832","Marcetia nervulosa",NA,"AKA Santos",-12.75,-41.5
2091,"Universidade Federal Rural de Pernambuco","HST","20356","Fritzschia lanceiflora",NA,"CBR Munhoz",-15.8725,-47.847222
2178,"Universidade Federal do Paraná","EFC","17229","Marcetia taxifolia",NA,"R Goldenberg",-22.0468,-44.6516
2205,"UFPR","UPCB","93677","Marcetia nervulosa",NA,"JFA Baumgratz",-12.458611,-41.471389
2209,"UFPR","UPCB","93662","Marcetia canescens",NA,"J Coelho de Jesus",-11.624444,-41.002222
2223,"JBRJ","RB","RB01420365","Fritzschia lanceiflora",NA,"AFA Versiane",-15.826111,-48.772778
2226,"UNICAMP","UEC","183166","Fritzschia lanceiflora",NA,"AFA Versiane",-15.786778,-48.771222
2235,"JBRJ","RB","RB01418469","Fritzschia lanceiflora",NA,"DN da Silva",-15.738889,-47.974722
2258,"JBRJ","RB","RB01416904","Fritzschia cordifolia",NA,"DN da Silva",-19.066389,-43.706667
2386,"UFU","HUFU","79404","Marcetia taxifolia",NA,"R Romero",-18.292222,-43.754444
2390,"UFU","HUFU","79323","Marcetia taxifolia",NA,"R Romero",-18.273056,-43.713333
2392,"UFU","HUFU","78327","Macairea radula",NA,"R Romero",-17.985,-43.925
2394,"UFU","HUFU","78331","Marcetia acerosa",NA,"R Romero",-17.480556,-46.766667
2395,"UFU","HUFU","78320","Marcetia taxifolia",NA,"R Romero",-17.9175,-43.801667
2396,"UFU","HUFU","78319","Siphanthera arenaria",NA,"R Romero",-17.9625,-43.786667
2401,"UFU","HUFU","78893","Fritzschia sertularia",NA,"R Romero",-18.291944,-43.7375
2402,"UFU","HUFU","78745","Fritzschia sertularia",NA,"R Romero",-18.291944,-43.7375
2403,"UFU","HUFU","77288","Marcetia latifolia",NA,"R Romero",-11.585556,-41.091944
2404,"UFU","HUFU","76079","Fritzschia rupestris",NA,"R Romero",-25.2175,-48.400833
2419,"JBRJ","RB","RB01414658","Fritzschia edmundoi",NA,"DN da Silva",-18.269444,-43.565278
2454,"JBRJ","RB","RB01413844","Noterophila genliseoides",NA,"DN da Silva",-16.506944,-54.762778
2476,"UEM","HUEM","35150","Marcetia taxifolia",NA,"R Romero",-17.770833,-48.66
2489,"Pontifícia Universidade Católica do Rio de Janeiro","FCAB","8084","Fritzschia sessilis",NA,"DN da Silva",-16.946111,-43.014444
2493,"UNICAMP","UEC","139159","Fritzschia sessilis",NA,"DN da Silva",-17.707222,-44.191944
2522,"ASU","Plants","ASU0025293","Siphanthera cordata",NA,"F Almeda",-17.8,-44.2
2524,"ASU","Plants","ASU0025288","Nepsera aquatica",NA,"R Goldenberg",-13.374024,-39.067601
2533,"UEG","HUEG","10803","Fritzschia lanceiflora",NA,"DN da Silva",-15.786667,-48.771111
2535,"UEG","HUEG","10811","Fritzschia lanceiflora",NA,"DN da Silva",-15.789861,-48.880528
2570,"MO","MO","100915246","Comolia ovalifolia",NA,"FA Michelangeli",-16.040555,-38.964167
2578,"JBRJ","RB","RB01010671","Marcetia taxifolia",NA,"JFA Baumgratz",-13.01222,-41.37361
2579,"JBRJ","RB","RB00928535","Marcetia macrophylla",NA,"J Coelho de Jesus",-12.47111,-41.44778
2580,"JBRJ","RB","RB00755759","Marcetia taxifolia",NA,"AKA Santos",-12.56167,-41.40694
2581,"JBRJ","RB","RB00974823","Marcetia mucugensis",NA,"AKA Santos",-12.98333,-41.33333
2583,"JBRJ","RB","RB00922876","Marcetia bahiensis",NA,"R Goldenberg",-12.45,-41.45
2585,"JBRJ","RB","RB00924244","Marcetia taxifolia",NA,"R Goldenberg",-12.28278,-41.37389
2586,"JBRJ","RB","RB00923838","Marcetia alba",NA,"R Goldenberg",-12.45,-41.45
2587,"JBRJ","RB","RB00975911","Marcetia canescens",NA,"JJ Wurdack",-12.810938,-41.322253
2589,"JBRJ","RB","RB00748799","Marcetia mucugensis",NA,"AKA Santos",-12.56222,-41.405
2590,"JBRJ","RB","RB00748636","Marcetia bahiensis",NA,"AKA Santos",-12.56083,-41.40583
2591,"JBRJ","RB","RB00856434","Marcetia taxifolia",NA,"J Coelho de Jesus",-12.54861,-41.37694
2594,"JBRJ","RB","RB00755664","Marcetia velutina",NA,"AKA Santos",-12.99444,-41.34139
2595,"JBRJ","RB","RB00755754","Marcetia mucugensis",NA,"AKA Santos",-12.99639,-41.34167
2597,"JBRJ","RB","RB00755761","Marcetia taxifolia",NA,"AKA Santos",-12.56222,-41.405
