"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
208,"Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","7290","Marcetia_acerosa",NA,"R Romero",-17.922833,-43.758256,668
293,"JBRJ","RB","RB01430516","Comolia_ovalifolia",NA,"BDN Valente",-18.249722,-43.658889,668
304,"JBRJ","RB","RB01430513","Marcetia_taxifolia",NA,"BDN Valente",-18.249722,-43.658889,668
338,"Universidade Federal de Santa Catarina","FLOR","53311","Marcetia_viscida",NA,"JFA Baumgratz",-13.516667,-41.933333,391
1112,"Universidade Federal da Bahia","ALCB","36977","Marcetia_velutina",NA,"JFA Baumgratz",-13.595278,-41.834722,391
1528,"Instituto de Botânica","SP","347043","Marcetia_formosa",NA,"EM Woodgyer",-13.333333,-41.85,351
1529,"Instituto de Botânica","SP","346979","Marcetia_grandiflora",NA,"EM Woodgyer",-13.25,-41.9,351
1531,"Instituto de Botânica","SP","346980","Marcetia_taxifolia",NA,"EM Woodgyer",-13.266667,-41.783333,351
1818,"Instituto de Botânica","SP","197746","Siphanthera_cordata",NA,"JJ Wurdack",-15.616667,-48.066667,501
2036,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","72272","Marcetia_canescens",NA,"AB Martins",-11.590833,-41.206667,232
2041,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133068","Marcetia_nervulosa",NA,"AKA Santos",-12.75,-41.5,312
2080,"Universidade Federal Rural de Pernambuco","HST","20357","Fritzschia_lanceiflora",NA,"CBR Munhoz",-15.762222,-48.069444,501
2090,"Universidade Federal Rural de Pernambuco","HST","18832","Marcetia_nervulosa",NA,"AKA Santos",-12.75,-41.5,312
2235,"JBRJ","RB","RB01418469","Fritzschia_lanceiflora",NA,"DN da Silva",-15.738889,-47.974722,501
2383,"UFU","HUFU","78321","Siphanthera_arenaria",NA,"R Romero",-17.474722,-43.766667,628
2386,"UFU","HUFU","79404","Marcetia_taxifolia",NA,"R Romero",-18.292222,-43.754444,708
2390,"UFU","HUFU","79323","Marcetia_taxifolia",NA,"R Romero",-18.273056,-43.713333,668
2393,"UFU","HUFU","78329","Macairea_radula",NA,"R Romero",-17.8475,-43.764167,668
2395,"UFU","HUFU","78320","Marcetia_taxifolia",NA,"R Romero",-17.9175,-43.801667,668
2397,"UFU","HUFU","79318","Marcetia_taxifolia",NA,"R Romero",-18.273056,-43.713333,668
2401,"UFU","HUFU","78893","Fritzschia_sertularia",NA,"R Romero",-18.291944,-43.7375,708
2402,"UFU","HUFU","78745","Fritzschia_sertularia",NA,"R Romero",-18.291944,-43.7375,708
2419,"JBRJ","RB","RB01414658","Fritzschia_edmundoi",NA,"DN da Silva",-18.269444,-43.565278,668
2445,"Cenargen","CEN","109740","Macairea_radula",NA,"R Goldenberg",-15.645833,-42.735,510
2493,"UNICAMP","UEC","139159","Fritzschia_sessilis",NA,"DN da Silva",-17.707222,-44.191944,667
2530,"UFRB","HURB","24451","Marcetia_taxifolia",NA,"J Coelho de Jesus",-13.155833,-41.808056,351
2581,"JBRJ","RB","RB00974823","Marcetia_mucugensis",NA,"AKA Santos",-12.98333,-41.33333,352
2583,"JBRJ","RB","RB00922876","Marcetia_bahiensis",NA,"R Goldenberg",-12.45,-41.45,312
2600,"JBRJ","RB","RB00755757","Marcetia_canescens",NA,"AKA Santos",-12.9575,-41.32028,352
2601,"JBRJ","RB","RB00654991","Marcetia_nervulosa",NA,"AKA Santos",-12.75,-41.5,312
2603,"JBRJ","RB","RB00781534","Marcetia_taxifolia",NA,"J Coelho de Jesus",-13.269115,-41.313366,352
2604,"JBRJ","RB","RB00654982","Marcetia_sincorensis",NA,"AKA Santos",-13.08333,-41.36667,352
2605,"JBRJ","RB","RB00654986","Marcetia_sincorensis",NA,"AKA Santos",-13.08333,-41.36667,352
2615,"JBRJ","RB","RB00530129","Marcetia_alba",NA,"JFA Baumgratz",-12.45,-41.45,312
2616,"JBRJ","RB","RB00530163","Marcetia_macrophylla",NA,"JFA Baumgratz",-12.45667,-41.45278,312
2617,"JBRJ","RB","RB00573553","Marcetia_taxifolia",NA,"J Coelho de Jesus",-13.11778,-41.37306,352
2620,"JBRJ","RB","RB00541437","Marcetia_lychnophoroides",NA,"AB Martins",-12.60028,-41.45472,312
2623,"JBRJ","RB","RB00541443","Marcetia_sincorensis",NA,"JJ Wurdack",-12.95,-41.33333,352
2625,"JBRJ","RB","RB00530091","Marcetia_nervulosa",NA,"JJ Wurdack",-12.461505,-41.453914,312
