"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
934,"USP","SPF","228017","Mimosa maguirei",NA,"L. M. Borges",-19.346944,-43.5825
949,"USP","SPF","228023","Mimosa pithecolobioides",NA,"L. M. Borges",-15.653889,-44.168889
950,"Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","HAS","96354","Mimosa blanchetii",NA,"L. M. Borges",-11.573333,-41.116667
1009,"JBRJ","RB","RB01407694","Mimosa gracilis",NA,"L. S. B. Jordão",-13.571111,-47.7325
1011,"JBRJ","RB","RB01407695","Mimosa gracilis",NA,"L. S. B. Jordão",-13.41,-48.125278
1595,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97852","Mimosa gemmulata",NA,"J. S. Silva",-19.006111,-43.755556
1596,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97776","Mimosa filipes",NA,"L. M. Borges",-19.048,-43.7387
1613,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","95994","Mimosa blanchetii",NA,"L. M. Borges",-11.090833,-41.209444
1634,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","91243","Mimosa sensitiva",NA,"L. M. Borges",-16.078056,-41.224444
1635,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","91230","Mimosa diplotricha",NA,"L. S. B. Jordão",-16.611667,-41.401111
1638,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","91114","Mimosa pigra",NA,"L. M. Borges",-12.761944,-40.214722
1642,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90822","Mimosa nothopteris",NA,"J. S. Silva",-13.795556,-41.780278
1644,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90561","Mimosa misera",NA,"J. S. Silva",-11.564167,-41.1625
1647,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90137","Mimosa tocantina",NA,"L. M. Borges",-14.150833,-47.760278
1648,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","90149","Mimosa modesta",NA,"J. S. Silva",-14.150833,-47.760278
1652,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89974","Mimosa gracilis",NA,"L. M. Borges",-14.137222,-47.534444
1653,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89992","Mimosa speciosissima",NA,"L. M. Borges",-14.137222,-47.534444
