"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
1595,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97852","Mimosa_gemmulata",NA,"J. S. Silva",-19.006111,-43.755556,748
1596,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","97776","Mimosa_filipes",NA,"L. M. Borges",-19.048,-43.7387,748
1661,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89862","Mimosa_albolanata",NA,"L. M. Borges",-16.745278,-47.604722,581
1662,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","89761","Mimosa_echinocaula",NA,"L. M. Borges",-15.793056,-48.834722,499
1726,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81460","Mimosa_foliolosa",NA,"L. M. Borges",-13.925556,-47.429444,382
1727,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81526","Mimosa_decorticans",NA,"L. M. Borges",-16.736389,-47.618056,581
1728,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81423","Mimosa_claussenii",NA,"L. M. Borges",-14.090278,-47.512222,422
1729,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81444","Mimosa_densa",NA,"L. M. Borges",-13.925556,-47.429444,382
1731,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","81476","Mimosa_cuiabensis",NA,"L. S. B. Jordão",-13.925556,-47.429444,382
1768,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","78082","Mimosa_radula",NA,"L. M. Borges",-19.291944,-43.601667,748
1769,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77871","Mimosa_foliolosa",NA,"L. M. Borges",-18.216944,-43.593611,668
1790,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74707","Mimosa_blanchetii",NA,"L. M. Borges",-11.5903,-41.2081,232
1797,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74472","Mimosa_misera",NA,"J. S. Silva",-13.0764,-41.895,351
1798,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74329","Mimosa_adenocarpa",NA,"J. S. Silva",-13.6833,-41.2667,392
1800,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74342","Mimosa_polydidyma",NA,"J. S. Silva",-13.6833,-41.2667,392
1804,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74237","Mimosa_filipes",NA,"L. M. Borges",-13.4756,-41.8531,351
1808,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","74091","Mimosa_pithecolobioides",NA,"L. M. Borges",-16.5608,-42.8756,589
1814,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73891","Mimosa_foliolosa",NA,"L. M. Borges",-17.7022,-44.2961,667
1815,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73877","Mimosa_foliolosa",NA,"L. M. Borges",-17.699444,-44.315833,667
1817,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73745","Mimosa_hirsutissima",NA,"J. S. Silva",-17.7092,-44.1914,667
1818,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73789","Mimosa_chiliomera",NA,"L. M. Borges",-17.6975,-44.262778,667
1819,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73655","Mimosa_foliolosa",NA,"L. M. Borges",-18.2833,-43.7286,668
1820,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","73627","Mimosa_paucifolia",NA,"L. S. B. Jordão",-18.2903,-43.7808,708
1911,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","61328","Mimosa_sensitiva",NA,"J. S. Silva",-13.4956,-41.8683,391
1912,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","61194","Mimosa_polydidyma",NA,"L. S. B. Jordão",-13.6914,-41.3181,392
1928,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60063","Mimosa_adenotricha",NA,"L. M. Borges",-17.7081,-44.1917,667
1931,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","60023","Mimosa_foliolosa",NA,"L. M. Borges",-17.7081,-44.1917,667
2801,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","139307","Mimosa_barretoi",NA,"L. M. Borges",-19.101389,-43.676667,748
2818,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","79346","Mimosa_filipes",NA,"L. S. B. Jordão",-14.16,-42.496111,430
2820,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","76156","Mimosa_crumenarioides",NA,"L. S. B. Jordão",-13.071944,-41.7925,351
2822,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","74415","Mimosa_honesta",NA,"L. S. B. Jordão",-12.939722,-41.475278,352
2823,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","74418","Mimosa_polydidyma",NA,"L. S. B. Jordão",-12.939722,-41.475278,352
2827,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","72264","Mimosa_blanchetii",NA,"L. S. B. Jordão",-11.590833,-41.206667,232
2831,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","47168","Mimosa_hypoglauca","hypoglauca","L. S. B. Jordão",-13.3,-41.883333,351
2839,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","25545","Mimosa_honesta",NA,"L. S. B. Jordão",-12.966667,-41.466667,352
2869,"USP","SPF","225097","Mimosa_pithecolobioides",NA,"L. M. Borges",-16.560833,-42.875556,589
2873,"USP","SPF","225113","Mimosa_ourobrancoensis",NA,"L. M. Borges",-20.502556,-43.6295,828
2899,"USP","SPF","224558","Mimosa_somnians",NA,"L. M. Borges",-15.920556,-47.990556,541
2903,"USP","SPF","224576","Mimosa_foliolosa","grandibractea","L. M. Borges",-20.2975,-46.530278,823
2905,"USP","SPF","224546","Mimosa_radula",NA,"L. M. Borges",-20.256111,-46.419444,823
2906,"USP","SPF","224544","Mimosa_foliolosa","foederalis","L. M. Borges",-15.706167,-47.84775,501
2907,"USP","SPF","224579","Mimosa_foliolosa","grandibractea","L. M. Borges",-20.291944,-46.538889,823
2908,"USP","SPF","224550","Mimosa_urbica","urbana","L. M. Borges",-15.622222,-48.053333,501
2913,"USP","SPF","224541","Mimosa_setosa",NA,"L. M. Borges",-15.947778,-47.845278,541
2916,"USP","SPF","224551","Mimosa_foliolosa",NA,"L. M. Borges",-15.655556,-48.081111,501
2925,"USP","SPF","224410","Mimosa_peduncularis",NA,"L. M. Borges",-17.841639,-43.764167,668
2937,"UFOP","OUPR","25764","Mimosa_aurivillus","calothamnos","J. S. Silva",-20.363889,-43.520556,828
2966,"Cenargen","CEN","105525","Mimosa_pithecolobioides",NA,"L. S. B. Jordão",-18.120555,-43.3775,668
2975,"Cenargen","CEN","105399","Mimosa_foliolosa","peregrina","L. M. Borges",-13.586944,-41.802777,391
3169,"USP","SPF","223635","Mimosa_serpensetosa",NA,"L. M. Borges",-18.917622,-43.789015,748
3207,"NY","NY","00933986","Mimosa_foliolosa","pachycarpa","R. C. Barneby",-19,-43.4,748
3212,"NY","NY","00924414","Mimosa_albolanata","brasiliana","R. C. Barneby",-15.6833,-48.08806,501
3215,"NY","NY","00933032","Mimosa_calothamnos",NA,"A. P. Savassi-Coutinho",-20.360845,-43.487827,828
3227,"NY","NY","00924691","Mimosa_nuda","glaberrima","R. C. Barneby",-15.7,-47.88,501
3228,"NY","NY","00932764","Mimosa_antrorsa",NA,"R. C. Barneby",-16.5631441886376,-42.889540899897,589
3233,"NY","NY","00932420","Mimosa_claussenii","claussenii","R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3244,"NY","NY","00934120","Mimosa_pteridifolia",NA,"R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3246,"NY","NY","00935947","Mimosa_urbica","urbana","R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3262,"NY","NY","00932915","Mimosa_decorticans",NA,"R. C. Barneby",-16.7723416525899,-47.6137541731285,581
3267,"NY","NY","00933518","Mimosa_hirsutissima","hirsutissima","R. C. Barneby",-19.391335,-43.565347,748
3280,"NY","NY","00935946","Mimosa_urbica","urbana","R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3284,"NY","NY","00934401","Mimosa_pogocephala",NA,"R. C. Barneby",-20.0931,-43.9836,827
3286,"NY","NY","02423450","Mimosa_aurivillus",NA,"L. M. Borges",-18.21581,-43.60792,668
3293,"NY","NY","00935770","Mimosa_urbica","urbica","L. M. Borges",-15.7834208090807,-47.9298726661488,501
3298,"NY","NY","00933173","Mimosa_foliolosa","viscidula","R. C. Barneby",-18.2531772779915,-43.6004898201051,668
3304,"NY","NY","443285","Mimosa_paludosa","paludosa","R. C. Barneby",-13.6,-41.83,391
3320,"NY","NY","00978535","Mimosa_ulei","ulei","R. C. Barneby",-14.20708,-47.5167,422
3323,"NY","NY","00935823","Mimosa_somnians","leptocaulis","R. C. Barneby",-15.68,-47.83,501
3331,"NY","NY","02684284","Mimosa_serpensetosa",NA,"L. M. Borges",-19.22625,-43.6661,748
3334,"NY","NY","419152","Mimosa_cylindracea",NA,"R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3342,"NY","NY","00933214","Mimosa_dolens","dolens","R. C. Barneby",-18.57,-43.68,708
3349,"NY","NY","00935795","Mimosa_setosa","setosa","R. C. Barneby",-15.97,-47.92,541
3356,"NY","NY","442633","Mimosa_mensicola",NA,"R. C. Barneby",-11.58,-41.18,232
3365,"NY","NY","00934220","Mimosa_pseudoradula","crystallites","R. C. Barneby",-16.79473,-47.55358,582
3374,"NY","NY","00932630","Mimosa_aurivillus",NA,"A. P. Savassi-Coutinho",-20.1263,-43.492778,828
3377,"NY","NY","00935844","Mimosa_somnians","leptocaulis","R. C. Barneby",-15.9111,-48.04869,541
3379,"NY","NY","00934133","Mimosa_pteridifolia",NA,"R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3383,"NY","NY","00957793","Mimosa_venatorum",NA,"R. C. Barneby",-14.10392,-47.5298,422
3390,"NY","NY","00933301","Mimosa_foliolosa","pubescens","L. M. Borges",-15.7834208090807,-47.9298726661488,501
3391,"NY","NY","01452162","Mimosa_paludosa",NA,"L. M. Borges",-15.783420808429,-47.9301726858463,501
3394,"NY","NY","00934060","Mimosa_gracilis","brevissima","R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3402,"NY","NY","00919401","Mimosa_speciosissima",NA,"R. C. Barneby",-14.1167,-47.52596,422
3422,"NY","NY","00933877","Mimosa_hirsutissima","hirsutissima","R. C. Barneby",-13.92979,-47.42163,382
3427,"NY","NY","00932626","Mimosa_aurivillus",NA,"R. C. Barneby",-18.4,-43.72,708
3438,"NY","NY","443299","Mimosa_paludosa","paludosa","R. C. Barneby",-13.59829,-41.829003,391
3453,"NY","NY","00932436","Mimosa_claussenii","claussenii","R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3456,"NY","NY","00957696","Mimosa_rufipila",NA,"R. C. Barneby",-13.98077,-47.5,382
3475,"NY","NY","00935873","Mimosa_xanthocentra","subsericea","R. C. Barneby",-17.75,-44.2,667
3498,"NY","NY","00934251","Mimosa_pseudoradula","detonsa","R. C. Barneby",-15.7833,-47.77671,501
3500,"NY","NY","00933299","Mimosa_foliolosa","peregrina","L. M. Borges",-17.0684541688631,-43.309069193446,589
3513,"NY","NY","00957647","Mimosa_somnians","viscida","R. C. Barneby",-15.4,-47.43,502
3518,"NY","NY","00934207","Mimosa_procurrens",NA,"R. C. Barneby",-15.7834208090807,-47.9298726661488,501
3521,"NY","NY","00933478","Mimosa_leprosa","leprosa","R. C. Barneby",-19.822323,-43.675674,788
3541,"NY","NY","00933948","Mimosa_foliolosa","brevibractea","R. C. Barneby",-17.7,-44.3,667
3544,"NY","NY","01347099","Mimosa_paludosa","paludosa","R. C. Barneby",-15.62355,-48.08168,501
