gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2517343005	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102033/format/large			U.1102033_01551480295							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517340056	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101962/format/large			U.1101962_1823583763							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517333978	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102023/format/large			U.1102023_1235935192							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517321987	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102044/format/large			U.1102044_0549487111							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517321986	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101957/format/large			U.1101957_2083206125							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517108975	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102029/format/large			U.1102029_01797416558							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517107048	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102050/format/large			U.1102050_01314668098							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517107047	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101963/format/large			U.1101963_1318025138							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517097029	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102024/format/large			U.1102024_730376567							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517051972	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102045/format/large			U.1102045_01055045736							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517051971	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101958/format/large			U.1101958_1577647500							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516912394	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101964/format/large			U.1101964_812466513							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516903362	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102009/format/large			U.1102009_0517552880							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516659062	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.3739177/format/large			L.3739177_0588900471							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516652017	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.3739181/format/large			L.3739181_0342964208							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516569084	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727294/format/large			L.2727294_2131622029							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516382068	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727213/format/large			L.2727213_0833299226							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516271158	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727264/format/large			L.2727264_1903933898							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2516268157	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727280/format/large			L.2727280_01648662576							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515467272	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102046/format/large			U.1102046_01560604361							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515467271	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102031/format/large			U.1102031_0540363045							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515467270	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101959/format/large			U.1101959_1072088875							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515449533	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102047/format/large			U.1102047_02066162986							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515449532	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102010/format/large			U.1102010_1245059258							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515421981	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101956/format/large			U.1101956_01706202546							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515409732	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102052/format/large			U.1102052_1969181948							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515399938	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101961/format/large			U.1101961_01965824908							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515328829	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102032/format/large			U.1102032_01045921670							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515315017	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101954/format/large			U.1101954_0695085296							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515298709	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102053/format/large			U.1102053_1463623323							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515290807	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102026/format/large			U.1102026_0280740683							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515290589	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102027/format/large			U.1102027_0786299308							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515218513	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1102028/format/large			U.1102028_01291857933							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515217407	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101955/format/large			U.1101955_01200643921							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2515208274	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1101960/format/large			U.1101960_01460266283							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2514589261	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727265/format/large			L.2727265_1398375273							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2514534188	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727282/format/large			L.2727282_1635187470							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2514513191	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/L.2727281/format/large			L.2727281_2140746095							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2512707591	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/43/97/01424397.JPG											
2270549420	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059183a_lg.jpg											
2270549420	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059183_lg.jpg											
2270477981	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0013/ASU0013370_lg.jpg											
2248069492	StillImage	image/jpeg	http://rb.jbrj.gov.br/v2/templaterb2.php?colbot=RB&codtestemunho=493203&arquivo=00493203.jpg											
2248066477	StillImage	image/jpeg	http://rb.jbrj.gov.br/v2/templaterb2.php?colbot=RB&codtestemunho=49348&arquivo=00049348.jpg											
2236148715	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m38e380b35-823b-4d7e-b483-da65c41d3870		03258358.tif	Barcode 03258358	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2236141491	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3675ed25c-fd2a-4a34-80ac-24aa6ad5f533		03258351.tif	Barcode 03258351	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
