gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2991375315																										BRA:UFMG:BHCB:174663									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:174663	174663	237	Vale, AA; Dittrich, VAO; Vale, JA																																	2013	02	12												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Arredores do Parque Estadual do Rio Preto, Pico Dois Irmãos.		1671	1671									-18.2122220000000006	-43.3086109999999991						-43.308611	-18.212222																																														Minaria								Plantae	Dicotyledon			Apocynaceae	Minaria													
2991374308																										BRA:UFMG:BHCB:86289									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:86289	86289	1258	Viana, PL; Mota, NFO; Salino, A; Rai, G do																	Erva com látex branco. Flores cor creme.; Campo limpo de altitude.																2003	12	05												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto		1500	1500																																																			2008-04												Minaria campanuliflora								Plantae	Dicotyledon			Apocynaceae	Minaria		campanuliflora				Rapini							
2991373305																										BRA:UFMG:BHCB:86770									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:86770	86770	1195	Viana, PL; Sobral, M; Mota, RC da; Leite, FSF; Lorenz, AP																	Erva. Flores brancas.; Campo limpo.																2003	10	30												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto		1500	1500																																																			2006-07												Minaria campanuliflora								Plantae	Dicotyledon			Apocynaceae	Minaria		campanuliflora				Rapini							
2991371310																										BRA:UFMG:BHCB:107833									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:107833	107833	2767	Viana, PL; Mota, NFO; Teles, AM; Batista, JAN; Mota, RC da																	Flores creme. Látex branco.; Campo rupestre.																2007	03	21												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto		1450	1450									-18.1999999999999993	-43.3166670000000025						-43.316667	-18.2																																		2008												Minaria parva								Plantae	Dicotyledon			Apocynaceae	Minaria		parva				Rapini							
2991371302																										BRA:UFMG:BHCB:83680									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:83680	83680	2640	Magalhães, GM																	Herbácea. Flor castanho-escura.; Campo úmido.																1942	11	20												Southern America				Brasil		Minas Gerais		Caeté	Serra do Córrego das Congonhas																																																						2008												Minaria polygaloides								Plantae	Dicotyledon			Apocynaceae	Minaria		polygaloides				T.U.P.Konno & Rapini							
2991370311																										BRA:UFMG:BHCB:107819									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:107819	107819	2753	Viana, PL; Mota, NFO; Teles, AM; Batista, JAN; Mota, RC da																	Densos arbustos com flores cremes. Látex branco.; Campo rupestre.																2007	03	21												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto		1450	1450									-18.1999999999999993	-43.3166670000000025						-43.316667	-18.2																																														Minaria refractifolia								Plantae	Dicotyledon			Apocynaceae	Minaria		refractifolia				Schum.							
2991370306																										BRA:UFMG:BHCB:88094									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:88094	88094	1577	Viana, PL; Mota, NFO; Melo, PHA de; Morais, PO																	Flores de coloração creme, com aroma fétido. Frutos imaturos verdes.																2004	04	02												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto		1450	1450									-18.2070280000000011	-43.3334440000000001						-43.333444	-18.207028																																		2008-04												Minaria ditassoides								Plantae	Dicotyledon			Apocynaceae	Minaria		ditassoides				T.U.P.Konno & Rapini							
2991369327																										BRA:UFMG:BHCB:151713									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:151713	151713	s.n.	Mendes, MS																	Trepadeira.; Formação campestre sobre quartzito.																2010	04	22												Southern America				Brasil		Minas Gerais		Rio Acima	Rio do Peixe, Região Nova Quartzito, bacia do córrego Volta Grande.		1244	1368									-20.1111110000000011	-43.8933329999999984						-43.893333	-20.111111																																														Minaria acerosa								Plantae	Dicotyledon			Apocynaceae	Minaria		acerosa				T.U.P.Konno & Rapini							
2991369319																										BRA:UFMG:BHCB:127134									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:127134	127134	3513	Mota, RC da; Santos, LM; Arruda, L																	Erva, corolas creme.; Campo rupestre laterítico.																2008	07	17												Southern America				Brasil		Minas Gerais		Sabará	Mina do Segredão		1200	1200									-19.8333329999999997	-43.7666669999999982						-43.766667	-19.833333																																		2009-01												Minaria acerosa								Plantae	Dicotyledon			Apocynaceae	Minaria		acerosa				T.U.P.Konno & Rapini							
2991369305																										BRA:UFMG:BHCB:88131									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-11 11:31:54-03								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PreservedSpecimen				BRA:UFMG:BHCB:88131	88131	1617	Viana, PL; Mota, NFO; Melo, PHA de; Morais, PO																	Trepadeira, flores amarelas e látex branco abundante.; Vegetação rupestre.																2004	04	03												Southern America				Brasil		Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto, Próximo a Lapa do Anísio.		1320	1320									-18.2011110000000009	-43.3388059999999982						-43.338806	-18.201111																																		2006-08												Minaria decussata								Plantae	Dicotyledon			Apocynaceae	Minaria		decussata				T.U.P.Konno & Rapini							
