"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
154,"MBM","MBM","417886","Minaria decussata",NA,"A Rapini",-14.759167,-42.576111
156,"MBM","MBM","383846","Minaria decussata",NA,"TUP Konno",-18.124778,-43.04
243,"Instituto de Botânica","SP","367551","Minaria grazielae",NA,"A Rapini",-18.295278,-45.842778
246,"Instituto de Botânica","SP","359043","Minaria diamantinensis",NA,"A Rapini",-18.308889,-43.889444
247,"Instituto de Botânica","SP","359002","Minaria cordata",NA,"A Rapini",-13.5225,-41.959167
248,"Instituto de Botânica","SP","359041","Minaria magisteriana",NA,"A Rapini",-19.237222,-43.553611
249,"Instituto de Botânica","SP","359046","Minaria ditassoides",NA,"A Rapini",-18.615,-43.986667
250,"Instituto de Botânica","SP","359058","Minaria grazielae",NA,"A Rapini",-18.106667,-43.601389
254,"Instituto de Botânica","SP","359055","Minaria ditassoides",NA,"A Rapini",-18.156667,-43.601389
255,"Instituto de Botânica","SP","359056","Minaria decussata",NA,"A Rapini",-18.173889,-43.616667
256,"Instituto de Botânica","SP","359042","Minaria decussata",NA,"A Rapini",-19.260833,-43.550278
257,"Instituto de Botânica","SP","351721","Minaria micromeria",NA,"A Rapini",-19.273889,-43.555556
259,"Instituto de Botânica","SP","349576","Minaria ditassoides",NA,"A Rapini",-18.337222,-43.546389
261,"Instituto de Botânica","SP","349575","Minaria diamantinensis",NA,"A Rapini",-18.308889,-43.889444
264,"Instituto de Botânica","SP","349577","Minaria polygaloides",NA,"A Rapini",-19.254722,-43.539444
268,"Instituto de Botânica","SP","321676","Minaria micromeria",NA,"A Rapini",-19.3,-43.583333
271,"Instituto de Botânica","SP","292364","Minaria cordata",NA,"A Rapini",-13.5,-41.983333
296,"Instituto de Botânica","SP","180032","Minaria acerosa",NA,"A Rapini",-18.916667,-43.9
297,"Instituto de Botânica","SP","180037","Minaria parva",NA,"A Rapini",-18.916667,-43.9
298,"Instituto de Botânica","SP","180036","Minaria ditassoides",NA,"A Rapini",-18.916667,-43.9
302,"Instituto de Botânica","SP","180041","Minaria ditassoides",NA,"A Rapini",-18.916667,-43.9
360,"ASU","Plants","ASU0013370","Minaria decussata",NA,"J Fontella-Pereira",-17.8,-44.2
361,"UFG","UFG","62885","Minaria decussata",NA,"TUP Konno",-18.124778,-43.04
362,"UFG","UFG","62879","Minaria micromeria",NA,"TUP Konno",-13.311861,-46.106111
374,"JBRJ","RB","RB00493203","Minaria cordata",NA,"PL Ribeiro",-13.00556,-41.43417
463,"MN","R","208741","Minaria ditassoides",NA,"J Fontella-Pereira",-17.885083,-44.334667
469,"MN","R","198667","Minaria decussata",NA,"J Fontella-Pereira",-18.883333,-43.716667
470,"MN","R","198694","Minaria acerosa",NA,"J Fontella-Pereira",-17.752778,-44.182222
479,"MN","R","196714","Minaria cordata",NA,"J Fontella-Pereira",-13.25,-41.9
502,"MN","R","85605","Minaria micromeria",NA,"J Fontella-Pereira",-19.666667,-43.95
531,"Cenargen","CEN","104971","Minaria cordata",NA,"A Rapini",-15.778055,-47.975833
537,"NY","NY","971653","Minaria ditassoides",NA,"A Rapini",-18.2531772779915,-43.6004898201051
538,"NY","NY","971863","Minaria decussata",NA,"S Liede-Schumann",-19.5174009248309,-43.7449009914025
539,"NY","NY","971827","Minaria cordata",NA,"S Liede-Schumann",-14.5,-47.5
540,"NY","NY","971840","Minaria ditassoides",NA,"S Liede-Schumann",-18.64165,-43.93412
541,"NY","NY","971816","Minaria acerosa",NA,"S Liede-Schumann",-17.57,-44.13
543,"NY","NY","1104873","Minaria bifurcata",NA,"S Liede-Schumann",-18.2531772779915,-43.6004898201051
544,"NY","NY","971828","Minaria cordata",NA,"S Liede-Schumann",-14.1361863978701,-47.5101417129434
546,"NY","NY","971700","Minaria polygaloides",NA,"A Rapini",-19.1729945899495,-43.7143985170281
547,"NY","NY","476631","Minaria cordata",NA,"DJ Goyder",-13.3,-41.87
548,"NY","NY","00982502","Minaria cordata",NA,"S Liede-Schumann",-15.5,-55.75
549,"NY","NY","476634","Minaria harleyi",NA,"C Bitencourt",-13.28,-41.8
553,"NY","NY","971826","Minaria cordata",NA,"S Liede-Schumann",-14.5,-47.5
557,"NY","NY","971864","Minaria decussata",NA,"S Liede-Schumann",-19.5174009248309,-43.7449009914025
560,"NY","NY","971818","Minaria acerosa",NA,"S Liede-Schumann",-16.4288,-43.2679
562,"NY","NY","971658","Minaria decussata",NA,"A Rapini",-18.92,-43.68
563,"NY","NY","821847","Minaria acerosa",NA,"S Liede-Schumann",-12.975,-41.471389
564,"NY","NY","971702","Minaria parva",NA,"A Rapini",-18.2531772779915,-43.6004898201051
565,"NY","NY","971814","Minaria acerosa",NA,"S Liede-Schumann",-16.83155,-43.44586
566,"NY","NY","971839","Minaria ditassoides",NA,"S Liede-Schumann",-18.92,-43.9
567,"NY","NY","971822","Minaria cordata",NA,"S Liede-Schumann",-15.7834208090807,-47.9298726661488
568,"NY","NY","971819","Minaria acerosa",NA,"S Liede-Schumann",-19.391589,-43.567497
569,"NY","NY","971834","Minaria cordata",NA,"S Liede-Schumann",-15.8,-47.95
571,"NY","NY","971845","Minaria ditassoides",NA,"S Liede-Schumann",-18.87,-43.4
572,"NY","NY","00982218","Minaria decussata",NA,"S Liede-Schumann",-20.2,-43.8
573,"NY","NY","971850","Minaria micromeria",NA,"S Liede-Schumann",-14.05,-47.5
576,"NY","NY","821849","Minaria acerosa",NA,"S Liede-Schumann",-12.366949404312,-44.973373918493
579,"NY","NY","971892","Minaria refractifolia",NA,"S Liede-Schumann",-18.44535,-43.6556
581,"NY","NY","971664","Minaria cordata",NA,"MA Farinaccio",-20.2494098380551,-46.3659792666644
582,"NY","NY","971655","Minaria ditassoides",NA,"A Rapini",-18.2531772779915,-43.6004898201051
583,"NY","NY","00982242","Minaria decussata",NA,"S Liede-Schumann",-20.3874,-43.5057
587,"NY","NY","572267","Minaria acerosa",NA,"C Bitencourt",-13.38,-41.77
588,"NY","NY","971815","Minaria acerosa",NA,"S Liede-Schumann",-17.7588,-44.170833
589,"NY","NY","821837","Minaria acerosa",NA,"S Liede-Schumann",-13.58,-41.8
591,"NY","NY","971855","Minaria micromeria",NA,"S Liede-Schumann",-15.7833,-47.9167
593,"NY","NY","476633","Minaria harleyi",NA,"C Bitencourt",-13.3,-41.85
594,"NY","NY","971844","Minaria ditassoides",NA,"S Liede-Schumann",-18.0833,-43.7833
596,"NY","NY","971857","Minaria micromeria",NA,"S Liede-Schumann",-20.2,-43.8
598,"NY","NY","01081473","Minaria acerosa",NA,"S Liede-Schumann",-12.21875,-41.77805
599,"NY","NY","1014286","Minaria acerosa",NA,"C Bitencourt",-20.309647,-46.523696
600,"NY","NY","971867","Minaria decussata",NA,"S Liede-Schumann",-20.12,-43.45
601,"NY","NY","572250","Minaria cordata",NA,"DJ Goyder",-13.75,-42.42
602,"NY","NY","01132008","Minaria acerosa",NA,"C Bitencourt",-21.6842,-43.8836
604,"NY","NY","971835","Minaria cordata",NA,"S Liede-Schumann",-17.35,-51.77
605,"NY","NY","971854","Minaria micromeria",NA,"S Liede-Schumann",-16.823742555015,-47.6704580401791
606,"NY","NY","00982214","Minaria cordata",NA,"S Liede-Schumann",-15.65,-47.82
608,"NY","NY","971711","Minaria micromeria",NA,"A Rapini",-17.0684541688631,-43.309069193446
609,"NY","NY","821855","Minaria cordata",NA,"S Liede-Schumann",-13.6,-41.83
610,"NY","NY","971639","Minaria acerosa",NA,"C Bitencourt",-20.2494098380551,-46.3659792666644
611,"NY","NY","821853","Minaria cordata",NA,"S Liede-Schumann",-21.130985,-44.295049
612,"NY","NY","971821","Minaria cordata",NA,"S Liede-Schumann",-15.7834208090807,-47.9298726661488
613,"NY","NY","971636","Minaria acerosa",NA,"C Bitencourt",-17.0684541688631,-43.309069193446
614,"NY","NY","971825","Minaria cordata",NA,"S Liede-Schumann",-16,-48.13
615,"NY","NY","971634","Minaria acerosa",NA,"C Bitencourt",-16.8759505022351,-43.0107491887908
616,"NY","NY","971865","Minaria decussata",NA,"S Liede-Schumann",-20.08,-43.45
617,"NY","NY","971853","Minaria micromeria",NA,"S Liede-Schumann",-18.03476,-43.3833
618,"NY","NY","971831","Minaria cordata",NA,"S Liede-Schumann",-15.842,-47.983
619,"NY","NY","971812","Minaria acerosa",NA,"S Liede-Schumann",-18.4581810723501,-43.7407994499746
620,"NY","NY","821860","Minaria micromeria",NA,"S Liede-Schumann",-12.15,-44.99
621,"NY","NY","971843","Minaria ditassoides",NA,"S Liede-Schumann",-16.65775,-42.9909
622,"NY","NY","971660","Minaria decussata",NA,"A Rapini",-17.0684541688631,-43.309069193446
623,"NY","NY","971859","Minaria micromeria",NA,"S Liede-Schumann",-18.9439,-46.9925
629,"NY","NY","00982220","Minaria grazielae",NA,"S Liede-Schumann",-18.57,-43.68
631,"NY","NY","971682","Minaria grazielae",NA,"A Rapini",-18.2531772779915,-43.6004898201051
632,"NY","NY","971683","Minaria grazielae",NA,"A Rapini",-18.2531772779915,-43.6004898201051
633,"NY","NY","572259","Minaria harleyi",NA,"C Bitencourt",-13.18,-41.95
634,"NY","NY","821836","Minaria acerosa",NA,"S Liede-Schumann",-10.4,-41.28
635,"NY","NY","971836","Minaria cordata",NA,"S Liede-Schumann",-15.817,-47.908
636,"NY","NY","971635","Minaria acerosa",NA,"C Bitencourt",-18.1822,-43.705
638,"NY","NY","572263","Minaria cordata",NA,"DJ Goyder",-13.1,-41.92
641,"NY","NY","971659","Minaria decussata",NA,"A Rapini",-20.2916151948885,-43.5082859302814
642,"NY","NY","971833","Minaria cordata",NA,"S Liede-Schumann",-16.75,-47.57186
643,"NY","NY","971869","Minaria decussata",NA,"S Liede-Schumann",-17.7588,-44.170833
644,"NY","NY","971838","Minaria cordata",NA,"S Liede-Schumann",-13.93593,-47.5167
645,"NY","NY","971870","Minaria decussata",NA,"S Liede-Schumann",-18.0833,-43.7833
646,"NY","NY","971830","Minaria cordata",NA,"S Liede-Schumann",-13.9376,-47.5167
647,"NY","NY","971832","Minaria cordata",NA,"S Liede-Schumann",-14.1167,-47.65562
648,"NY","NY","971809","Minaria acerosa",NA,"S Liede-Schumann",-19.9896094009387,-43.8469084844571
649,"NY","NY","00982245","Minaria acerosa",NA,"S Liede-Schumann",-19.83305,-43.726389
651,"NY","NY","572258","Minaria cordata",NA,"DJ Goyder",-13.25,-41.9
652,"NY","NY","00982246","Minaria decussata",NA,"S Liede-Schumann",-19.83305,-43.726389
653,"NY","NY","00982249","Minaria ditassoides",NA,"S Liede-Schumann",-17.07,-43.33
654,"NY","NY","821856","Minaria cordata",NA,"S Liede-Schumann",-13.47,-41.83
655,"NY","NY","971858","Minaria micromeria",NA,"S Liede-Schumann",-14.13,-46.37
658,"NY","NY","971654","Minaria ditassoides",NA,"A Rapini",-16.0098325787408,-43.0493510841405
660,"NY","NY","971810","Minaria acerosa",NA,"S Liede-Schumann",-21.145111,-44.302262
662,"NY","NY","821838","Minaria acerosa",NA,"S Liede-Schumann",-13.08,-41.933056
665,"NY","NY","971861","Minaria decussata",NA,"S Liede-Schumann",-19.1729945899495,-43.7143985170281
666,"NY","NY","971817","Minaria acerosa",NA,"S Liede-Schumann",-18.1838,-43.536667
667,"NY","NY","476635","Minaria harleyi",NA,"C Bitencourt",-13.37,-41.83
668,"NY","NY","971891","Minaria refractifolia",NA,"S Liede-Schumann",-18.4,-43.72
669,"NY","NY","971820","Minaria cordata",NA,"S Liede-Schumann",-14.3,-48.38
670,"NY","NY","00982247","Minaria cordata",NA,"S Liede-Schumann",-13.93593,-47.5167
671,"NY","NY","476636","Minaria harleyi",NA,"C Bitencourt",-13.25,-41.66
672,"NY","NY","971657","Minaria decussata",NA,"MA Farinaccio",-18.2531772779915,-43.6004898201051
673,"NY","NY","439830","Minaria cordata",NA,"A Rapini",-12.3205498692956,-42.8959386714243
674,"NY","NY","971846","Minaria ditassoides",NA,"S Liede-Schumann",-18.18,-43.55
678,"NY","NY","971868","Minaria decussata",NA,"S Liede-Schumann",-18.4234,-43.70265
680,"NY","NY","971856","Minaria micromeria",NA,"S Liede-Schumann",-16.75,-47.74068
681,"NY","NY","971638","Minaria acerosa",NA,"C Bitencourt",-18.92,-43.9
682,"NY","NY","971851","Minaria micromeria",NA,"S Liede-Schumann",-19.1729945899495,-43.7143985170281
750,"UEFS","HUEFS","236530","Minaria acerosa",NA,"J Fontella-Pereira",-16.341667,-43.025278
751,"UEFS","HUEFS","236528","Minaria micromeria",NA,"J Fontella-Pereira",-15.441944,-42.481111
755,"JBRJ","RB","RB01380368","Minaria decussata",NA,"A Rapini",-14.553889,-42.5575
847,"UFMT","UFMT","31896","Minaria acerosa",NA,"C Bitencourt",-11.600722,-51.082361
848,"UFMT","UFMT","1585","Minaria cordata",NA,"A Rapini",-15,-60
851,"UFMT","UFMT","1586","Minaria cordata",NA,"A Rapini",-15,-60
857,"UEFS","HUEFS","228879","Minaria refractifolia",NA,"A Rapini",-18.254722,-43.511667
870,"UEFS","HUEFS","226306","Minaria refractifolia",NA,"A Rapini",-18.432778,-43.475278
871,"UEFS","HUEFS","226564","Minaria micromeria",NA,"A Rapini",-18.271389,-43.606944
884,"JBRJ","RB","RB00842245","Minaria ditassoides",NA,"A Rapini",-18.181111,-43.619722
909,"JBRJ","RB","RB00551777","Minaria acerosa",NA,"J Fontella-Pereira",-21.683333,-43.883333
910,"JBRJ","RB","RB00551544","Minaria acerosa",NA,"J Fontella-Pereira",-21.704444,-43.906389
915,"JBRJ","RB","RB00534443","Minaria harleyi",NA,"J Fontella-Pereira",-13,-41.383333
922,"JBRJ","RB","RB00534414","Minaria magisteriana",NA,"A Rapini",-19.066667,-43.7
924,"JBRJ","RB","RB00533581","Minaria decussata",NA,"A Rapini",-19.006111,-43.755556
1007,"JBRJ","RB","RB00049754","Minaria parva",NA,"PL Ribeiro",-18.916667,-43.9
1100,"JBRJ","RB","RB00493208","Minaria decussata",NA,"A Rapini",-20.094167,-43.478333
1128,"JBRJ","RB","RB00423102","Minaria cordata",NA,"PL Ribeiro",-15.931389,-47.915833
1132,"JBRJ","RB","RB00420593","Minaria cordata",NA,"PL Ribeiro",-13.5,-41.983333
1134,"JBRJ","RB","RB00420470","Minaria cordata",NA,"TUP Konno",-13.5,-41.983333
1136,"JBRJ","RB","RB00408164","Minaria cordata",NA,"A Rapini",-14.155833,-47.478889
1138,"JBRJ","RB","RB01117776","Minaria acerosa",NA,"J Fontella-Pereira",-13.5925,-41.798611
1142,"JBRJ","RB","RB01109328","Minaria micromeria",NA,"J Fontella-Pereira",-15,-60
1144,"JBRJ","RB","RB01074940","Minaria refractifolia",NA,"J Fontella-Pereira",-18.432778,-43.475278
1151,"Universidade Tecnológica Federal do Paraná","HCF","20907","Minaria micromeria",NA,"TUP Konno",-13.311861,-46.106333
1158,"MPEG","HERBMG","MG120826","Minaria cordata",NA,"A Rapini",-15.5,-55.75
1160,"MPEG","HERBMG","MG056211","Minaria micromeria",NA,"A Rapini",-17,-48
1171,"UEFS","HUEFS","222246","Minaria grazielae",NA,"A Rapini",-18.299722,-43.834167
1179,"Jardim Botânico de Brasília","HEPH","21590","Minaria cordata",NA,"J Fontella-Pereira",-15.192222,-47.588056
1181,"Jardim Botânico de Brasília","HEPH","20507","Minaria cordata",NA,"J Fontella-Pereira",-15.866667,-47.85
1182,"Jardim Botânico de Brasília","HEPH","20679","Minaria cordata",NA,"J Fontella-Pereira",-15.866667,-47.85
1183,"Jardim Botânico de Brasília","HEPH","19425","Minaria cordata",NA,"J Fontella-Pereira",-15.866667,-47.85
1185,"Jardim Botânico de Brasília","HEPH","14333","Minaria cordata",NA,"J Fontella-Pereira",-14.0725,-47.509167
1186,"Jardim Botânico de Brasília","HEPH","14054","Minaria cordata",NA,"J Fontella-Pereira",-14.091111,-47.509167
1187,"Jardim Botânico de Brasília","HEPH","13622","Minaria cordata",NA,"J Fontella-Pereira",-14.151944,-47.636111
1193,"UEFS","HUEFS","230024","Minaria ditassoides",NA,"A Rapini",-17.042778,-43.346944
1194,"UEFS","HUEFS","230004","Minaria micromeria",NA,"A Rapini",-17.919722,-43.798889
1195,"UEFS","HUEFS","230005","Minaria ditassoides",NA,"A Rapini",-17.919722,-43.798889
1196,"UEFS","HUEFS","230023","Minaria decussata",NA,"A Rapini",-17.042778,-43.346944
