"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
154,"MBM","MBM","417886","Minaria_decussata",NA,"A Rapini",-14.759167,-42.576111,470
156,"MBM","MBM","383846","Minaria_decussata",NA,"TUP Konno",-18.124778,-43.04,669
246,"Instituto de Botânica","SP","359043","Minaria_diamantinensis",NA,"A Rapini",-18.308889,-43.889444,708
247,"Instituto de Botânica","SP","359002","Minaria_cordata",NA,"A Rapini",-13.5225,-41.959167,391
248,"Instituto de Botânica","SP","359041","Minaria_magisteriana",NA,"A Rapini",-19.237222,-43.553611,748
250,"Instituto de Botânica","SP","359058","Minaria_grazielae",NA,"A Rapini",-18.106667,-43.601389,668
254,"Instituto de Botânica","SP","359055","Minaria_ditassoides",NA,"A Rapini",-18.156667,-43.601389,668
255,"Instituto de Botânica","SP","359056","Minaria_decussata",NA,"A Rapini",-18.173889,-43.616667,668
256,"Instituto de Botânica","SP","359042","Minaria_decussata",NA,"A Rapini",-19.260833,-43.550278,748
257,"Instituto de Botânica","SP","351721","Minaria_micromeria",NA,"A Rapini",-19.273889,-43.555556,748
259,"Instituto de Botânica","SP","349576","Minaria_ditassoides",NA,"A Rapini",-18.337222,-43.546389,708
261,"Instituto de Botânica","SP","349575","Minaria_diamantinensis",NA,"A Rapini",-18.308889,-43.889444,708
264,"Instituto de Botânica","SP","349577","Minaria_polygaloides",NA,"A Rapini",-19.254722,-43.539444,748
268,"Instituto de Botânica","SP","321676","Minaria_micromeria",NA,"A Rapini",-19.3,-43.583333,748
271,"Instituto de Botânica","SP","292364","Minaria_cordata",NA,"A Rapini",-13.5,-41.983333,391
360,"ASU","Plants","ASU0013370","Minaria_decussata",NA,"J Fontella-Pereira",-17.8,-44.2,667
361,"UFG","UFG","62885","Minaria_decussata",NA,"TUP Konno",-18.124778,-43.04,669
374,"JBRJ","RB","RB00493203","Minaria_cordata",NA,"PL Ribeiro",-13.00556,-41.43417,352
463,"MN","R","208741","Minaria_ditassoides",NA,"J Fontella-Pereira",-17.885083,-44.334667,667
469,"MN","R","198667","Minaria_decussata",NA,"J Fontella-Pereira",-18.883333,-43.716667,708
470,"MN","R","198694","Minaria_acerosa",NA,"J Fontella-Pereira",-17.752778,-44.182222,667
479,"MN","R","196714","Minaria_cordata",NA,"J Fontella-Pereira",-13.25,-41.9,351
537,"NY","NY","971653","Minaria_ditassoides",NA,"A Rapini",-18.2531772779915,-43.6004898201051,668
540,"NY","NY","971840","Minaria_ditassoides",NA,"S Liede-Schumann",-18.64165,-43.93412,708
543,"NY","NY","1104873","Minaria_bifurcata",NA,"S Liede-Schumann",-18.2531772779915,-43.6004898201051,668
547,"NY","NY","476631","Minaria_cordata",NA,"DJ Goyder",-13.3,-41.87,351
549,"NY","NY","476634","Minaria_harleyi",NA,"C Bitencourt",-13.28,-41.8,351
562,"NY","NY","971658","Minaria_decussata",NA,"A Rapini",-18.92,-43.68,748
563,"NY","NY","821847","Minaria_acerosa",NA,"S Liede-Schumann",-12.975,-41.471389,352
564,"NY","NY","971702","Minaria_parva",NA,"A Rapini",-18.2531772779915,-43.6004898201051,668
565,"NY","NY","971814","Minaria_acerosa",NA,"S Liede-Schumann",-16.83155,-43.44586,588
567,"NY","NY","971822","Minaria_cordata",NA,"S Liede-Schumann",-15.7834208090807,-47.9298726661488,501
568,"NY","NY","971819","Minaria_acerosa",NA,"S Liede-Schumann",-19.391589,-43.567497,748
573,"NY","NY","971850","Minaria_micromeria",NA,"S Liede-Schumann",-14.05,-47.5,382
579,"NY","NY","971892","Minaria_refractifolia",NA,"S Liede-Schumann",-18.44535,-43.6556,708
582,"NY","NY","971655","Minaria_ditassoides",NA,"A Rapini",-18.2531772779915,-43.6004898201051,668
583,"NY","NY","00982242","Minaria_decussata",NA,"S Liede-Schumann",-20.3874,-43.5057,828
589,"NY","NY","821837","Minaria_acerosa",NA,"S Liede-Schumann",-13.58,-41.8,391
591,"NY","NY","971855","Minaria_micromeria",NA,"S Liede-Schumann",-15.7833,-47.9167,501
593,"NY","NY","476633","Minaria_harleyi",NA,"C Bitencourt",-13.3,-41.85,351
594,"NY","NY","971844","Minaria_ditassoides",NA,"S Liede-Schumann",-18.0833,-43.7833,668
598,"NY","NY","01081473","Minaria_acerosa",NA,"S Liede-Schumann",-12.21875,-41.77805,271
599,"NY","NY","1014286","Minaria_acerosa",NA,"C Bitencourt",-20.309647,-46.523696,823
600,"NY","NY","971867","Minaria_decussata",NA,"S Liede-Schumann",-20.12,-43.45,828
602,"NY","NY","01132008","Minaria_acerosa",NA,"C Bitencourt",-21.6842,-43.8836,908
605,"NY","NY","971854","Minaria_micromeria",NA,"S Liede-Schumann",-16.823742555015,-47.6704580401791,581
608,"NY","NY","971711","Minaria_micromeria",NA,"A Rapini",-17.0684541688631,-43.309069193446,589
609,"NY","NY","821855","Minaria_cordata",NA,"S Liede-Schumann",-13.6,-41.83,391
611,"NY","NY","821853","Minaria_cordata",NA,"S Liede-Schumann",-21.130985,-44.295049,867
612,"NY","NY","971821","Minaria_cordata",NA,"S Liede-Schumann",-15.7834208090807,-47.9298726661488,501
613,"NY","NY","971636","Minaria_acerosa",NA,"C Bitencourt",-17.0684541688631,-43.309069193446,589
616,"NY","NY","971865","Minaria_decussata",NA,"S Liede-Schumann",-20.08,-43.45,788
619,"NY","NY","971812","Minaria_acerosa",NA,"S Liede-Schumann",-18.4581810723501,-43.7407994499746,708
622,"NY","NY","971660","Minaria_decussata",NA,"A Rapini",-17.0684541688631,-43.309069193446,589
629,"NY","NY","00982220","Minaria_grazielae",NA,"S Liede-Schumann",-18.57,-43.68,708
631,"NY","NY","971682","Minaria_grazielae",NA,"A Rapini",-18.2531772779915,-43.6004898201051,668
632,"NY","NY","971683","Minaria_grazielae",NA,"A Rapini",-18.2531772779915,-43.6004898201051,668
633,"NY","NY","572259","Minaria_harleyi",NA,"C Bitencourt",-13.18,-41.95,351
636,"NY","NY","971635","Minaria_acerosa",NA,"C Bitencourt",-18.1822,-43.705,668
638,"NY","NY","572263","Minaria_cordata",NA,"DJ Goyder",-13.1,-41.92,351
641,"NY","NY","971659","Minaria_decussata",NA,"A Rapini",-20.2916151948885,-43.5082859302814,828
642,"NY","NY","971833","Minaria_cordata",NA,"S Liede-Schumann",-16.75,-47.57186,581
644,"NY","NY","971838","Minaria_cordata",NA,"S Liede-Schumann",-13.93593,-47.5167,382
645,"NY","NY","971870","Minaria_decussata",NA,"S Liede-Schumann",-18.0833,-43.7833,668
646,"NY","NY","971830","Minaria_cordata",NA,"S Liede-Schumann",-13.9376,-47.5167,382
