datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:56:47-03"	G	G	G00177138	"Minaria cordata"	S	Plantae				Asclepiadaceae	Minaria	cordata		"(Turcz.) T. U. P. Konno & Rapini"	?				"ISOTYPUS of Metastelma cordatum Turcz."	3642		"Blanchet, J. S."						"AMERIQUE DU SUD"	Brazil	Bahia	Jacobina		-40.51166667	-11.18111111															"Coordinate uncertainty: Precision undefined Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179563&base=img&lang=en"	G00177138
"2014-09-23 10:56:47-03"	G	G	G00177139	"Minaria cordata"	S	Plantae				Asclepiadaceae	Minaria	cordata		"(Turcz.) T. U. P. Konno & Rapini"	?				"ISOTYPUS of Metastelma cordatum Turcz."	3642		"Blanchet, J. S."						"AMERIQUE DU SUD"	Brazil	Bahia	Jacobina		-40.51166667	-11.18111111															"Coordinate uncertainty: Precision undefined Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179564&base=img&lang=en"	G00177139
"2014-09-23 10:56:47-03"	G	G	G00177140	"Minaria cordata"	S	Plantae				Asclepiadaceae	Minaria	cordata		"(Turcz.) T. U. P. Konno & Rapini"	?				"TYPUS of Ditassa virgata E. Fourn."	359		"Clausen, P. C. D."						"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179576&base=img&lang=en"	G00177140
"2014-09-23 10:56:47-03"	G	G	G00177141	"Minaria micromeria"	S	Plantae				Asclepiadaceae	Minaria	micromeria		"(Decne.) T. U. P. Konno & Rapini"	?				"ISOTYPUS of Ditassa micromeria Decne."			"Clausen, P. C. D."						"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179589&base=img&lang=en"	G00177141
"2014-09-23 10:56:47-03"	G	G	G00176999	"Minaria refractifolia"	S	Plantae				Asclepiadaceae	Minaria	refractifolia		"(K. Schum.) T. U. P. Konno & Rapini"	"Rapini, A."	2002	01	01	"ISOLECTOTYPUS of Ditassa refractifolia K. Schum."	19638		"Glaziou, A. F. M."	1892		00			"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179031&base=img&lang=en"	G00176999
"2014-09-23 10:56:47-03"	G	G	G00177000	"Minaria refractifolia"	S	Plantae				Asclepiadaceae	Minaria	refractifolia		"(K. Schum.) T. U. P. Konno & Rapini"	"Rapini, A."	2002	01	01	"ISOSYNTYPUS of Ditassa refractifolia K. Schum."	19639		"Glaziou, A. F. M."	1892	03	23			"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179032&base=img&lang=en"	G00177000
"2014-09-23 10:56:47-03"	G	G	G00177001	"Minaria refractifolia"	S	Plantae				Asclepiadaceae	Minaria	refractifolia		"(K. Schum.) T. U. P. Konno & Rapini"	"Fontella Pereira, J."	1966	01	01	"ISOSYNTYPUS of Ditassa refractifolia K. Schum."	19639		"Glaziou, A. F. M."	1892	03	23			"AMERIQUE DU SUD"	Brazil				-53.08972222	-10.77305556															"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=179033&base=img&lang=en"	G00177001
"2015-07-02 14:41:53-03"	JBP	HPL	1633	"Minaria acerosa"	S	Plantae				Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P. Konno & Rapini"	"V.C. Souza"	2013	07	04		4215		"H. Lorenzi"	2003	12	09				Brasil	SP	Itararé	"Parque Ecológico, Gruta da Barreira, em campo-cerrado."	0	0	-49.34	-24.11	27729													
"2015-07-02 14:41:53-03"	JBP	HPL	9849	"Minaria cf. ditassoides"	S	Plantae				Apocynaceae	Minaria	"cf. ditassoides"		"(Silveira) T.U.P. Konno & Rapini"	"V.C. Souza"	2013	07	04		4760		"Paula-Souza, J., Tsuji, R., et al."	2005	01	26				Brasil	TO	Taguatinga	"Coletado na Serra Gera de Goiás ca. 9,5km de Taguatinga (a partir do trevo para Palmas) em direção ao distrito de Luís Eduardo Magalhães-BA; cerrado pedregoso com afloramentos rochosos . S 12° 20' 50\"; W 46° 20' 17\" (815m.s.m.)"	0	0	-46.4361	-12.4039	53768													
"2014-04-04 18:26:08-03"	PNFM	IRAI	2636	"Minaria acerosa"	S	Plantae	Magnoliophyta			Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P.Konno & Rapini"	"Cordeiro, J."	2010	01	01		3672		"Cordeiro, J."	2009	11	24				Brasil	Paraná	"Ponta Grossa"	"Fendas de Itaiacoca"	0	0															"Volúvel, flor creme. Afloramentos rochosos"	IRAI00002636
"2018-12-04 20:28:58-02"	UNIR	RON	15903	"Minaria acerosa"	S	Plantae	Angiosperma		Gentianales	Apocynaceae	Minaria	acerosa		"(Mart.) T.U.P.Konno & Rapini"	"Fontella, J"	1978	12	14		4518		"Occhioni, P"	1971	11	09			"Southern America"	Brasil	Paraná		"Estrada Ponta Grossa."	0	0															"Prostrada, flor creme escuro."	RON00015903
"2019-06-10 10:10:07-03"	FZB-BH	BHZB	8933	"Minaria decussata"	S	Plantae				Apocynaceae	Minaria	decussata			"Fernandes, M.G.C. confirmada por Rapini,A."					1891		"Ordones, J. et al."	2012	04	18				Brasil	MG	"Santana do Riacho"	"RPPN Brumas do Espinhaço e Ermo dos Gerais"	-43.728611	-19.0425					1530	1530									"Cespitoso. .Ponto 92, 633790 7893998 1530 m, Duplicata doada para Herb. HUEFS"	
