gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2625883769	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3714ee754-7aa9-42f0-95ed-addd941c25a7		03844821.tif	Barcode 03844821	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2625883041	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m38a1aa324-c360-496b-a788-456e2e868c28		03844841.tif	Barcode 03844841	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2625879302	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3542cc6cd-04d4-42b0-b8a3-b497538a9eea		03844835.tif	Barcode 03844835	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2625871881	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m338eb6806-13a6-4fd9-ab22-da4a3f0a182c		03844664.tif	Barcode 03844664	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2625844497	StillImage	tiff, jpeg, jpeg, jpeg, jpeg, jpeg	http://n2t.net/ark:/65665/m3d22e8904-9fa5-414e-a70b-a44909e581a9		03844787.tif	Barcode 03844787	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	Usage Conditions Apply	
2595811677	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=33654e98-1547-4596-8f57-8b85a64fcf17	https://images.ala.org.au/image/33654e98-1547-4596-8f57-8b85a64fcf17	Paepalanthus Mart.				2020-03-14T05:09:44Z	DI|questagame.com				
2575940744	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/75/28/01427528.JPG											
2575940411	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/75/29/01427529.JPG											
2575939844	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/75/32/01427532.JPG											
2575939819	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/75/31/01427531.JPG											
2573149839	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116683_lg.jpg											
2573149525	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116690_lg.jpg											
2573138688	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116684_lg.jpg											
2573137373	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116687_lg.jpg											
2573137118	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116680_lg.jpg											
2573136326	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT116/UVMVT116685_lg.jpg											
2573048123	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT289/UVMVT289194_lg.jpg											
2565880966	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/70/54/01427054.JPG											
2565879695	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/62/78/01426278.JPG											
2565879435	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/58/79/01425879.JPG											
2549197284	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/50/52/01425052.JPG											
2549197282	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/50/49/01425049.JPG											
2549197217	StillImage	image/jpeg	http://imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/1/42/50/51/01425051.JPG											
2517881575	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1931012/format/large			WAG.1931012_324683252							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517726647	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1931055/format/large			WAG.1931055_543247317							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517699588	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1931060/format/large			WAG.1931060_283624955							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517594162	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001807_MLN/format/large			U  0001807_0780062147							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517586200	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001801_MLN/format/large			U  0001801_907404675							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517582160	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001789_MLN/format/large			U  0001789_0531223004							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517578894	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/WAG.1931061/format/large			WAG.1931061_0221933670							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517568163	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001785_MLN/format/large			U  0001785_0837900888							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517559281	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0008294_MLN/format/large			U  0008294_01456690186							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517437600	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278473/format/large			U.1278473_01562497223							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517437598	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278253/format/large			U.1278253_738434809							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517437481	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270671/format/large			U.1270671_485975985							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517433630	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278259/format/large			U.1278259_2000050355							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517421525	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270681/format/large			U.1270681_1993527794							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517410572	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278443/format/large			U.1278443_01790185354							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517402516	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270655/format/large			U.1270655_0256394837							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517401565	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278417/format/large			U.1278417_254859311							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517401564	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278280/format/large			U.1278280_01812168481							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517400595	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278254/format/large			U.1278254_232876184							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517400478	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270687/format/large			U.1270687_01039823956							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517400477	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270650/format/large			U.1270650_02023569008							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517399582	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278327/format/large			U.1278327_02022021999							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517393555	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278438/format/large			U.1278438_01530562992							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517393554	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278401/format/large			U.1278401_1780659252							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517385505	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278418/format/large			U.1278418_0250699314							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517380560	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278338/format/large			U.1278338_01020028815							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517380559	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278323/format/large			U.1278323_212501							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517380558	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278239/format/large			U.1278239_01015053263							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517380557	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278224/format/large			U.1278224_5188053							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517373593	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278453/format/large			U.1278453_0282633545							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517373592	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278369/format/large			U.1278369_01297899309							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517373591	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278255/format/large			U.1278255_0272682441							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517373474	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270651/format/large			U.1270651_1765839663							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517367618	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278364/format/large			U.1278364_1229893816							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517360561	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278413/format/large			U.1278413_02017873485							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517360559	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278329/format/large			U.1278329_1261828047							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517360558	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278208/format/large			U.1278208_0737182769							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517358545	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278328/format/large			U.1278328_1767386672							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517342500	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1270661/format/large			U.1270661_01021575824							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517324287	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0008291_MLN/format/large			U  0008291_1534526873							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517320270	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001780_MLN/format/large			U  0001780_0147506419							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517283234	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U0001796_MLN/format/large			U  0001796_1615522184							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517187635	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278245/format/large			U.1278245_01780234250							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517187634	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278230/format/large			U.1278230_0759992934							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517175702	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278469/format/large			U.1278469_01808433486							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517175701	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278454/format/large			U.1278454_0788192170							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
2517175700	StillImage	image/jpeg	https://medialib.naturalis.nl/file/id/U.1278249/format/large			U.1278249_492498546							http://creativecommons.org/publicdomain/zero/1.0/	Naturalis Biodiversity Center
