"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
418,"Universidade Federal de Santa Catarina","FLOR","45830","Paepalanthus tortilis",NA,"E. B. Miranda",-11.4825,-41.083889
592,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","68962","Paepalanthus regalis",NA,"R. Ramos",-12.45,-41.416667
595,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","108099","Paepalanthus elongatulus",NA,"R. Ramos",-13.533333,-41.9
614,"USP","SPF","232550","Paepalanthus grao-mogolensis",NA,"C. O. Andrino",-15.782139,-42.772417
617,"USP","SPF","231448","Paepalanthus xanthopus",NA,"L. Echternacht",-17.957167,-43.783361
625,"USP","SPF","232757","Paepalanthus trichophyllus",NA,"L. J. Sauthier",-13.598889,-47.523889
629,"USP","SPF","231447","Paepalanthus xanthopus",NA,"L. Echternacht",-17.916222,-43.785
630,"USP","SPF","231646","Paepalanthus tortilis",NA,"M. L. O. Trovó",-9.577778,-42.05625
637,"USP","SPF","231480","Paepalanthus blepharophorus",NA,"F. N. Costa",-18.928028,-43.692222
646,"USP","SPF","232557","Paepalanthus albiceps",NA,"C. O. Andrino",-15.245175,-42.80825
647,"USP","SPF","231476","Paepalanthus bombacinus",NA,"F. N. Costa",-18.489056,-43.472083
649,"USP","SPF","231479","Paepalanthus bombacinus",NA,"F. N. Costa",-18.390583,-43.358556
1004,"Universidade Estadual de Londrina","FUEL","42310","Paepalanthus subtilis",NA,"A. M. Giulietti",-14.412778,-47.511389
1005,"Universidade Estadual de Londrina","FUEL","42207","Paepalanthus macer",NA,"M. L. O. Trovó",-14.219444,-47.888889
1008,"Universidade Estadual de Londrina","FUEL","32194","Paepalanthus acanthophyllus",NA,"M. L. O. Trovó",-14.078611,-47.517778
1019,"Universidade Estadual de Londrina","FUEL","24880","Paepalanthus caldensis",NA,"M. L. O. Trovó",-22.8,-45.916667
1034,"Universidade Federal de Sergipe","ASE","8913","Paepalanthus tortilis",NA,"P. T. Sano",-7.028611,-34.833611
1038,"Universidade Federal de Sergipe","ASE","8376","Paepalanthus tortilis",NA,"P. T. Sano",-8.334722,-35.8375
1046,"Universidade Federal de Sergipe","ASE","4229","Paepalanthus hydra",NA,"A. M. Giulietti",-20.287778,-43.508056
