"id","institutioncode","collectioncode","catalognumber","genus","species","subspecies","identifiedby","collectornumber","collector","stateprovince","county","locality","longitude","latitude","municipality_gbif","datsrc","gen_sp"
418,"Universidade Federal de Santa Catarina","FLOR","45830","Paepalanthus","tortilis",NA,"E. B. Miranda","2864","França, F.; Melo, E. & Silva, B.M.","Bahia",NA,"Rio da Barra. Ca. 11km N de Morro do Chapéu.",-41.083889,-11.4825,"Morro do Chapéu","gbif","Paepalanthus tortilis"
592,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","68962","Paepalanthus","regalis",NA,"R. Ramos","1323","E. Melo","Bahia",NA,"Serra da Chapadinha, Chapadinha, divisa com Brejões.",-41.416667,-12.45,"LENÇÓIS","gbif","Paepalanthus regalis"
595,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","108099","Paepalanthus","elongatus",NA,"R. Ramos","25740","R. M. Harley","Bahia",NA,"Pico das Almas. Vertente leste. Entre Junco-Faz. Brumadinho, 10Km ao N-O da cidade.",-41.9,-13.533333,"RIO DE CONTAS","gbif","Paepalanthus elongatulus"
614,"USP","SPF","232550","Paepalanthus","grao-mogolensis",NA,"C. O. Andrino","501","Gonella, PM","Minas Gerais",NA,"Trilha do canyon do Talhado, em campos rupestres na parte alta da cachoeira Sete Quedas.",-42.772417,-15.782139,"Serranópolis de Minas","gbif","Paepalanthus grao-mogolensis"
617,"USP","SPF","231448","Paepalanthus","xanthopus",NA,"L. Echternacht","1477","Costa, FN","Minas Gerais",NA,"Parque Nacional das Sempre-Vivas",-43.783361,-17.957167,"Diamantina","gbif","Paepalanthus xanthopus"
625,"USP","SPF","232757","Paepalanthus","trichophyllus",NA,"L. J. Sauthier","582","Sartin, RD","Goias",NA,"Chapada dos Veadeiros, GO 241, estrada de terra para o """"""""Vão do Moleque",-47.523889,-13.598889,"Cavalcante","gbif","Paepalanthus trichophyllus"
629,"USP","SPF","231447","Paepalanthus","xanthopus",NA,"L. Echternacht","1484","Costa, FN","Minas Gerais",NA,"Parque Nacional das Sempre-Vivas",-43.785,-17.916222,"Diamantina","gbif","Paepalanthus xanthopus"
630,"USP","SPF","231646","Paepalanthus","tortilis",NA,"M. L. O. Trovó","10068","Paula-Souza, J","Bahia",NA,"4 km da cidade em direção a Casa Nova.",-42.05625,-9.577778,"Remanso","gbif","Paepalanthus tortilis"
637,"USP","SPF","231480","Paepalanthus","blepharophorus",NA,"F. N. Costa","24","Amaral, AB","Minas Gerais",NA,"Serra Capão Grande.",-43.692222,-18.928028,"Congonhas do Norte","gbif","Paepalanthus blepharophorus"
646,"USP","SPF","232557","Paepalanthus","albiceps",NA,"C. O. Andrino","509","Gonella, PM","Minas Gerais",NA,"Estrada para Sucuruiu / Riacho Grande / Brejo Grande, saindo em Monte Azul.",-42.80825,-15.245175,"Monte Azul","gbif","Paepalanthus albiceps"
647,"USP","SPF","231476","Paepalanthus","bombacinus",NA,"F. N. Costa","7","Tannure, MP","Minas Gerais",NA,NA,-43.472083,-18.489056,"Serro","gbif","Paepalanthus bombacinus"
649,"USP","SPF","231479","Paepalanthus","bombacinus",NA,"F. N. Costa","1269","Costa, FN","Minas Gerais",NA,"Parque Estadual do Pico do Itambé",-43.358556,-18.390583,"Serro","gbif","Paepalanthus bombacinus"
1004,"Universidade Estadual de Londrina","FUEL","42310","Paepalanthus","subtilis",NA,"A. M. Giulietti","1795","Pastore, JFB; et al.","Goias",NA,"mais ou menos 3 Km de Alto Paraíso (sul)",-47.511389,-14.412778,"São João da Aliança","gbif","Paepalanthus subtilis"
1005,"Universidade Estadual de Londrina","FUEL","42207","Paepalanthus","macer",NA,"M. L. O. Trovó","1909","Pastore, JFB; Suganuma, E","Goias",NA,"estrada entre povoado de São Jorge (Alto Paraíso) e Colinas do Sul",-47.888889,-14.219444,"Alto Paraíso","gbif","Paepalanthus macer"
1008,"Universidade Estadual de Londrina","FUEL","32194","Paepalanthus","acanthophyllus",NA,"M. L. O. Trovó","993","Soares-Silva, LH; et al.","Goias",NA,"ao longo da estrada Alto Paraíso - Teresina de Goiás",-47.517778,-14.078611,"Alto Paraíso","gbif","Paepalanthus acanthophyllus"
1019,"Universidade Estadual de Londrina","FUEL","24880","Paepalanthus","caldensis",NA,"M. L. O. Trovó","s.n.","Windisch, PG","Minas Gerais",NA,"Vila Monte Verde, Serra da Mantiqueira, """"plateau rochoso""""",-45.916667,-22.8,"Camanduacaia","gbif","Paepalanthus caldensis"
1034,"Universidade Federal de Sergipe","ASE","8913","Paepalanthus","tortilis",NA,"P. T. Sano","1289","Prata, AP; Lemos, IC; Silva, AC; M.Ibrahim; Costa, SM","Paraiba",NA,"6m",-34.833611,-7.028611,"Cabedelo","gbif","Paepalanthus tortilis"
1038,"Universidade Federal de Sergipe","ASE","8376","Paepalanthus","tortilis",NA,"P. T. Sano","111","Gomes, P; M. Alves; Alves-Araújo, A; B.Maciel; Lucena, F; J; Oli","Pernambuco",NA,"Distrito de Sapucarana, Serra da Camaratuba, Pedra, alt.835m",-35.8375,-8.334722,"Bezerros","gbif","Paepalanthus tortilis"
1046,"Universidade Federal de Sergipe","ASE","4229","Paepalanthus","hydra",NA,"A. M. Giulietti","1366","Viana, G","Minas Gerais",NA,"Serra dos Lavros",-43.508056,-20.287778,"Ouro Preto","gbif","Paepalanthus hydra"
1108,"Universidade Federal de Sergipe","ASE","1927","Paepalanthus","bifidus",NA,"H. N. Moldenke","10469","S.Mori; L.A.Mattos; T.S.S","Bahia",NA,NA,-39.550833,-18.086667,"Mucuri","gbif","Paepalanthus bifidus"
1127,"Universidade Federal de Sergipe","ASE","10276","Paepalanthus","subtilis",NA,"P. T. Sano","897","Prata, AP; Amorim, A; M. Alves; G. Sousa","Bahia",NA,"estrada secundária saindo da BA-001 em direção ao, Em frente a entrada da praia para Itacarezinho.",-38.996389,-10.277778,"Itacaré","gbif","Paepalanthus subtilis"
1134,"Universidade de São Paulo","ESA","97789","Paepalanthus","augustus",NA,"L. Echternacht","32687","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha do João Carrinho (756-1080 m.s.m.). Campo rupestre.",-43.7387,-19.048,"Santana do Pirapama.","gbif","Paepalanthus augustus"
1136,"Universidade de São Paulo","ESA","97696","Paepalanthus","plumosus",NA,"M. L. O. Trovó","32594","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",-43.755556,-19.006111,"Santana do Pirapama.","gbif","Paepalanthus plumosus"
1138,"Universidade de São Paulo","ESA","97690","Paepalanthus","plantago",NA,"M. L. O. Trovó","32588","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",-43.755556,-19.006111,"Santana do Pirapama.","gbif","Leiothrix curvifolia"
1140,"Universidade de São Paulo","ESA","97842","Paepalanthus","calvulus",NA,"L. Echternacht","32740","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha. Campo rupestre.",-43.755556,-19.006111,"Santana do Pirapama.","gbif","Paepalanthus calvulus"
1141,"Universidade de São Paulo","ESA","97692","Paepalanthus","dasynema",NA,"L. Echternacht","32590","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","Minas Gerais",NA,"Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",-43.755556,-19.006111,"Santana do Pirapama.","gbif","Paepalanthus dasynema"
1142,"Universidade de São Paulo","ESA","95785","Paepalanthus","klotzschianus",NA,"L. Echternacht","6107","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","Bahia",NA,"Estrada para Barrolândia. Nativo com mata adjacente",-39.171667,-16.0275,"Belmonte","gbif","Paepalanthus klotzschianus"
