"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
595,"Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","108099","Paepalanthus_elongatulus",NA,"R. Ramos",-13.533333,-41.9,391
614,"USP","SPF","232550","Paepalanthus_grao-mogolensis",NA,"C. O. Andrino",-15.782139,-42.772417,509
617,"USP","SPF","231448","Paepalanthus_xanthopus",NA,"L. Echternacht",-17.957167,-43.783361,668
629,"USP","SPF","231447","Paepalanthus_xanthopus",NA,"L. Echternacht",-17.916222,-43.785,668
637,"USP","SPF","231480","Paepalanthus_blepharophorus",NA,"F. N. Costa",-18.928028,-43.692222,748
646,"USP","SPF","232557","Paepalanthus_albiceps",NA,"C. O. Andrino",-15.245175,-42.80825,469
647,"USP","SPF","231476","Paepalanthus_bombacinus",NA,"F. N. Costa",-18.489056,-43.472083,708
649,"USP","SPF","231479","Paepalanthus_bombacinus",NA,"F. N. Costa",-18.390583,-43.358556,708
1008,"Universidade Estadual de Londrina","FUEL","32194","Paepalanthus_acanthophyllus",NA,"M. L. O. Trovó",-14.078611,-47.517778,382
1046,"Universidade Federal de Sergipe","ASE","4229","Paepalanthus_hydra",NA,"A. M. Giulietti",-20.287778,-43.508056,828
1134,"Universidade de São Paulo","ESA","97789","Paepalanthus_augustus",NA,"L. Echternacht",-19.048,-43.7387,748
1136,"Universidade de São Paulo","ESA","97696","Paepalanthus_plumosus",NA,"M. L. O. Trovó",-19.006111,-43.755556,748
1138,"Universidade de São Paulo","ESA","97690","Leiothrix_curvifolia_var._plantago",NA,"M. L. O. Trovó",-19.006111,-43.755556,748
1140,"Universidade de São Paulo","ESA","97842","Paepalanthus_calvulus",NA,"L. Echternacht",-19.006111,-43.755556,748
1141,"Universidade de São Paulo","ESA","97692","Paepalanthus_dasynema",NA,"L. Echternacht",-19.006111,-43.755556,748
1180,"Universidade de São Paulo","ESA","82915","Paepalanthus_comans",NA,"L. Echternacht",-18.2228,-43.3255,669
1182,"Universidade de São Paulo","ESA","82281","Paepalanthus_polygonus",NA,"L. Echternacht",-18.181111,-43.522222,668
1185,"Universidade de São Paulo","ESA","82862","Paepalanthus_macrocephalus",NA,"L. Echternacht",-18.1836,-43.3324,669
1193,"Universidade de São Paulo","ESA","78055","Paepalanthus_argenteus",NA,"L. Echternacht",-19.271111,-43.547778,748
1194,"Universidade de São Paulo","ESA","78014","Paepalanthus_bifidus",NA,"L. Echternacht",-18.3426,-43.2842,709
1199,"Universidade de São Paulo","ESA","77867","Paepalanthus_comans",NA,"L. Echternacht",-18.1301,-43.3537,669
1201,"Universidade de São Paulo","ESA","78098","Paepalanthus_chlorocephalus",NA,"M. L. O. Trovó",-19.249444,-43.544722,748
1215,"Universidade de São Paulo","ESA","73460","Paepalanthus_chlorocephalus",NA,"L. Echternacht",-19.258333,-43.551111,748
1249,"Universidade de São Paulo","ESA","61503","Paepalanthus_trichophyllus",NA,"F. N. Costa",-13.0433,-41.5134,352
1262,"Universidade de São Paulo","ESA","61348","Paepalanthus_subtilis",NA,"L. Echternacht",-13.283,-41.511,352
1273,"Universidade de São Paulo","ESA","60992","Paepalanthus_xanthopus",NA,"L. Echternacht",-17.7081,-44.1919,667
1424,"Universidade de São Paulo","ESA","120834","Paepalanthus_crinitus",NA,"L. J. Sauthier",-18.26591,-43.70587,668
1742,"Instituto de Botânica","SP","161602","Paepalanthus_inopinatus",NA,"A. M. Giulietti",-13.6,-41.833333,391
