gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3014011938	StillImage	image/jpeg	https://static.inaturalist.org/photos/108503336/original.jpg?1609167865	https://www.inaturalist.org/photos/108503336					2020-11-25T15:03:00Z	Rubens Neto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rubens Neto
3014011938	StillImage	image/jpeg	https://static.inaturalist.org/photos/108503448/original.jpg?1609167972	https://www.inaturalist.org/photos/108503448					2020-11-25T15:03:00Z	Rubens Neto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rubens Neto
3005136316	StillImage	image/jpeg	https://static.inaturalist.org/photos/16203278/original.jpg?1524513326	https://www.inaturalist.org/photos/16203278					2015-11-01T18:04:54Z	Edson Guilherme		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Edson Guilherme
2999200504	StillImage	image/jpeg	https://static.inaturalist.org/photos/102062789/original.jpg?1603733666	https://www.inaturalist.org/photos/102062789					2020-10-25T13:03:05Z	m_angelica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	m_angelica
2999190553	StillImage	image/jpeg	https://static.inaturalist.org/photos/101981114/original.jpeg?1603672280	https://www.inaturalist.org/photos/101981114					2020-10-25T21:52:32Z	Gabriela Tasca		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gabriela Tasca
2999179549	StillImage	image/jpeg	https://static.inaturalist.org/photos/102199552/original.jpeg?1603828410	https://www.inaturalist.org/photos/102199552					2020-10-27T22:41:59Z	Maria Eduarda		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maria Eduarda
2999169527	StillImage	image/jpeg	https://static.inaturalist.org/photos/99644052/original.jpeg?1602348362	https://www.inaturalist.org/photos/99644052					2020-10-09T16:45:00Z	Décio Escobar de Oliveira Ladislau		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Décio Escobar de Oliveira Ladislau
2999161520	StillImage	image/jpeg	https://static.inaturalist.org/photos/99644038/original.jpeg?1602348356	https://www.inaturalist.org/photos/99644038					2020-10-09T16:45:00Z	Décio Escobar de Oliveira Ladislau		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Décio Escobar de Oliveira Ladislau
2999144475	StillImage	image/jpeg	https://static.inaturalist.org/photos/92943879/original.jpeg?1598953985	https://www.inaturalist.org/photos/92943879					2020-08-11T22:15:37Z	Júlia de Moraes Azanha		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Júlia de Moraes Azanha
2999133573	StillImage	image/jpeg	https://static.inaturalist.org/photos/105503734/original.jpeg?1606240144	https://www.inaturalist.org/photos/105503734					2019-10-20T19:48:30Z	anlufb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	anlufb
2999116488	StillImage	image/jpeg	https://static.inaturalist.org/photos/99402292/original.jpg?1602197016	https://www.inaturalist.org/photos/99402292					2020-10-08T14:12:00Z	rafaelabisacchi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rafaelabisacchi
2999116376	StillImage	image/jpeg	https://static.inaturalist.org/photos/73381150/original.jpeg?1589739427	https://www.inaturalist.org/photos/73381150					2019-12-30T14:23:13Z	nique		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nique
2999100524	StillImage	image/jpeg	https://static.inaturalist.org/photos/97856073/original.jpeg?1601342387	https://www.inaturalist.org/photos/97856073					2020-09-28T18:21:00Z	monicasouzabarreto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	monicasouzabarreto
2999098566	StillImage	image/jpeg	https://static.inaturalist.org/photos/103020321/original.jpeg?1604418615	https://www.inaturalist.org/photos/103020321					2020-11-03T14:46:11Z	Hudson Alves Pinto		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Hudson Alves Pinto
2992787575	StillImage	image/jpeg	https://static.inaturalist.org/photos/105554933/original.jpeg?1606276361	https://www.inaturalist.org/photos/105554933					2019-01-31T18:30:44Z	Marcio Santos Ferreira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcio Santos Ferreira
2981062035	StillImage	image/jpeg	https://static.inaturalist.org/photos/102976027/original.jpg?1604378560	https://www.inaturalist.org/photos/102976027					2020-11-01T16:23:42Z	luedemann_g		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	luedemann_g
2981062035	StillImage	image/jpeg	https://static.inaturalist.org/photos/102975984/original.jpg?1604378535	https://www.inaturalist.org/photos/102975984					2020-11-01T16:23:42Z	luedemann_g		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	luedemann_g
2981062035	StillImage	image/jpeg	https://static.inaturalist.org/photos/102976011/original.jpg?1604378552	https://www.inaturalist.org/photos/102976011					2020-11-01T16:23:42Z	luedemann_g		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	luedemann_g
2981062035	StillImage	image/jpeg	https://static.inaturalist.org/photos/102976001/original.jpg?1604378543	https://www.inaturalist.org/photos/102976001					2020-11-01T16:23:42Z	luedemann_g		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	luedemann_g
2974367801	StillImage	image/jpeg	https://bs.plantnet.org/image/o/c886dce89e52c92e36cf219d0df60113f46ebb90		Trimezia martinicensis (Jacq.) Herb.: bark	Trimezia martinicensis (Jacq.) Herb.: bark	https://identify.plantnet.org/observation/the-plant-list/1007488252		2020-06-27T16:22:59Z	Regia Vitória			Regia Vitória (cc-by-sa)	Regia Vitória
2974367801	StillImage	image/jpeg	https://bs.plantnet.org/image/o/891efd9f19334e29f03cf50a10e5545c9690b39a		Trimezia martinicensis (Jacq.) Herb.: flower	Trimezia martinicensis (Jacq.) Herb.: flower	https://identify.plantnet.org/observation/the-plant-list/1007488252		2020-06-27T16:22:59Z	Regia Vitória			Regia Vitória (cc-by-sa)	Regia Vitória
2963820009	StillImage	image/jpeg	https://static.inaturalist.org/photos/102173399/original.jpg?1603813704	https://www.inaturalist.org/photos/102173399					2020-10-27T15:16:34Z	laradesouza		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laradesouza
2963820009	StillImage	image/jpeg	https://static.inaturalist.org/photos/102173408/original.jpg?1603813709	https://www.inaturalist.org/photos/102173408					2020-10-27T15:16:34Z	laradesouza		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laradesouza
2883182388	StillImage	image/jpeg	https://static.inaturalist.org/photos/76141523/original.jpeg?1590942589	https://www.inaturalist.org/photos/76141523					2017-11-03T00:00:00Z	Danilo Portella		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Danilo Portella
2883140504	StillImage	image/jpeg	https://static.inaturalist.org/photos/94620845/original.jpg?1599840902	https://www.inaturalist.org/photos/94620845					2020-09-11T12:07:39Z	Helena M. Andrade Soares		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Helena M. Andrade Soares
