gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
3014895480																										BRA:IBT:SP:453829									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:453829	453829	1295	Francener, A																																	2013	02	20																Brasil		São Paulo		Pedregulho	Parque Estadual Furnas do Bom Jesus																																																																		Trimezia lutea								Plantae				Iridaceae	Trimezia		lutea				(Klatt) R.C.Foster							
3014892527																										BRA:IBT:SP:465760									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:465760	465760	571	Martins, SE																																	1999	10	20																Brasil		São Paulo		Bertioga																																																																			Neomarica imbricata								Plantae				Iridaceae	Neomarica		imbricata				(Hand.-Mazz.) Sprague							
3014890500																										BRA:IBT:SP:453814									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:453814	453814	119	Dantas Queiroz, MV																																	2013	01	19																Brasil		Distrito Federal		Brasília																																																																			Trimezia lutea								Plantae				Iridaceae	Trimezia		lutea				(Klatt) R.C.Foster							
3014889554																										BRA:IBT:SP:465759									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:465759	465759	141	Sampaio, PSP																																	1998	11	26																Brasil		São Paulo		Bertioga																																																																			Neomarica candida								Plantae				Iridaceae	Neomarica		candida				(Hassl.) Sprague							
3014888537																										BRA:IBT:SP:454749									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:454749	454749	2822	Wanderley, MGL																																	2009	04	26																Brasil		Minas Gerais			Serra do Cipó																																																																		Trimezia								Plantae				Iridaceae	Trimezia													
3014887490																										BRA:IBT:SP:453835									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:453835	453835	833	Chukr, NS																																																			Brasil		Minas Gerais		Passos																																																																			Trimezia speciosa								Plantae				Iridaceae	Trimezia		speciosa				(Chukr & A.Gil) Christenh. & Byng							
3014887489																										BRA:IBT:SP:453817									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:453817	453817	116	Dantas Queiroz, MV																																	2013	01	17																Brasil		Goiás		Alto Paraíso de Goiás																																																																			Trimezia spathata spectabilis								Plantae				Iridaceae	Trimezia		spathata	spectabilis			(Ravenna) Chukr							
3014883500																										BRA:IBT:SP:453834									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:453834	453834	120	Dantas Queiroz, MV																																	2013	10	03																Brasil		São Paulo		São Paulo	Instituto de Botânica																																																																		Trimezia martinicensis								Plantae				Iridaceae	Trimezia		martinicensis				(Jacq.) Herb.							
3014880528																										BRA:IBT:SP:465538									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2021-01-07 09:34:03-03								"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"							Collection					Instituto de Botânica	SP	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	Instituto de Botânica	PreservedSpecimen				BRA:IBT:SP:465538	465538	858	Rodrigues, E																																	2000	09	08																Brasil		Tocantins		Goiatins																																																																			Trimezia juncifolia								Plantae				Iridaceae	Trimezia		juncifolia				(Klatt) Benth. & Hook.							
3014011938																										67194656										http://creativecommons.org/licenses/by-nc/4.0/			2020-12-28T19:26:36Z			https://www.inaturalist.org/observations/67194656				© Rubens Neto some rights reserved	Rubens Neto												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/67194656	67194656		Rubens Neto								wild									Nome científico: Neomarica candida Nome popular: Íris-da-praia, Íris-caminhante, Planta-dos-apóstolos. Família botânica: Iridaceae Tipo: Bulbosa, flor perene, atingindo de 0.4 a 1 metro de altura. Origem: América do Sul, Brasil. Cultivo: Deve ser cultivada sob sol pleno, meia sombra ou sombra clara, em solo fértil, enriquecido com matéria orgânica e irrigado regularmente. Florescem melhor quando recebem luz solar direta ao menos algumas horas por dia. Curiosidades: As flores se abrem pela manhã e duram um dia, mas em grande quantidade. Fotografada na Fazenda da Fundação Parque Zoológico de São Paulo												2020-11-25T13:03:00-02:00	15:03:00Z						2020/11/25 1:03 PM -02																BR	São Paulo				fundação parque zoológico de são paulo salto de pirapora											-23.578721	-47.538767																																					148002158			Rubens Neto	2020-12-28T15:05:38Z				977763								Trimezia candida								Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Trimezia				species									
3013440425																										BRA:MBM:MBM:321195									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-21 16:29:55-03								MBM - Herbário do Museu Botânico Municipal							Collection					MBM	MBM	MBM - Herbário do Museu Botânico Municipal	Museu Botânico Municipal de Curitiba	PreservedSpecimen				BRA:MBM:MBM:321195	321195	s.n.	Tessmann, G.																	Erva. Flor amarela. Não raro.; Restinga. Só em determinados lugares.																1948	12	17												Southern America				Brazil		Paraná		Paranaguá	Alexandra, Ca. 10 km ao oeste de Paranaguá																																																					Smith, L.B.	1961-08-01												Trimezia martinicensis								Plantae				Iridaceae	Trimezia		martinicensis				(L.) Herb.							
3013438695																										BRA:MBM:MBM:429138									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-21 16:29:55-03								MBM - Herbário do Museu Botânico Municipal							Collection					MBM	MBM	MBM - Herbário do Museu Botânico Municipal	Museu Botânico Municipal de Curitiba	PreservedSpecimen				BRA:MBM:MBM:429138	429138	3484	Lozano, E.D.; Bonaldi, R.A.; Völtz, R.R.; Bonaldi, R.A.; Völtz, R.R.																	Herbácea, 40 cm, flor amarela, interior da mata, local ensolarado.; Floresta Ombrófila Densa de Terras Baixas.																2016	12	15												Southern America				Brazil		Paraná		Paranaguá	Tinguçú												-25.4351109999999991	-48.5262779999999978						-48.526278	-25.435111																																	Lozano, E.D.	2017												Trimezia martinicensis								Plantae				Iridaceae	Trimezia		martinicensis				(L.) Herb.							
3013437533																										BRA:MBM:MBM:425021									pt	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			2020-12-21 16:29:49-03								MBM - Herbário do Museu Botânico Municipal							Collection					MBM	MBM	MBM - Herbário do Museu Botânico Municipal	Museu Botânico Municipal de Curitiba	PreservedSpecimen				BRA:MBM:MBM:425021	425021	3219	Brotto, M.L.; Ribeiro, L.F.; Ribeiro, L.F.																	Erva; corola azul.; Refúgio Vegetacional Altomontano (Campo de altitude).																2018	12	12												Southern America				Brazil		Paraná		Guaraqueçaba	Serra Gigante, cume		1076	1076									-25.1563890000000008	-48.1677779999999984						-48.167778	-25.156389																																	Barboza, E.	2019-10-05												Neomarica candida								Plantae				Iridaceae	Neomarica		candida				(Hassl.) Sprague							
