datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-09-23 10:58:00-03"	G	G	G00098342	"Pseudotrimezia pumila"	S	Plantae				Iridaceae	Pseudotrimezia	pumila		Ravenna	?				"TYPUS of Pseudotrimezia pumila Ravenna"	49677		"Hatschbach, G. G. & R. Kummrow"	1985	09	14			"AMERIQUE DU SUD"	Brazil	"Minas Gerais"			-45.44222222	-18.78777778															"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=116062&base=img&lang=en"	G00098342
"2015-07-02 14:55:32-03"	JBP	HPL	11761	Neomarica	S	Plantae				Iridaceae	Neomarica									6539		"H. Lorenzi"	2008	11	14				Brasil	ES	"Vargem Alta"	"Coletado a mais ou menos 5 km da estrada Vargem Alta-Cachoeiro do Itapemirim, em mata atlântica de encosta sobre terreno de areia branca."	-40.936694	-20.513306					990	990										
"2015-07-02 14:02:24-03"	JBP	HPL	12422	Neomarica	S	Plantae				Iridaceae	Neomarica									7048		"H. Lorenzi"	2011	03	21				Brasil	RJ	"Cardoso Moreira"	"Coletado no subosque da floresta de transição entre a mata tropical úmida e a semidecídua."	0	0	-41.6156	-21.4883	24769													
"2015-07-02 14:02:24-03"	JBP	HPL	12539	Neomarica	S	Plantae				Iridaceae	Neomarica									7049		"H. Lorenzi & M. Peixoto"	2011	03	20				Brasil	ES	Jaguaré	"Coletado no subosque da mata de restinga e cultivada no Jardim Botânico Plantarum. Flores se abrem pela manhã durante poucas horas."	0	0	-40.0761	-18.9056	43085													
"2015-07-02 14:02:24-03"	JBP	HPL	12540	Neomarica	S	Plantae				Iridaceae	Neomarica									7050		"H. Lorenzi"	2011	03	20				Brasil	SP	"Nova Odessa"	"Coletado em cultivo no Jardim Botânico Plantarum; origem desconhecida. Flores se abrem apenas pela manhã por poucas horas e apenas um dia."	0	0	-47.29	-22.77	8440													
"2015-07-02 14:02:24-03"	JBP	HPL	12897	Neomarica	S	Plantae				Iridaceae	Neomarica									7130		"H. Lorenzi"	2011	11	04				Brasil	SP	"Nova Odessa"	"Coletado em cultivo no Jardim Botânico Plantarum; originário de Carangola - MG."	0	0	-47.29	-22.77	8440													
"2015-07-02 14:02:24-03"	JBP	HPL	3752	Neomarica	S	Plantae				Iridaceae	Neomarica									1662		"E.R. Salviani & H. Lorenzi"	2000	10	24				Brasil	RJ	"Rio de Janeiro"	"Coletada no Sítio R. Burle Marx."	0	0	-43.2075	-22.9028	57442													
"2015-07-02 14:02:24-03"	JBP	HPL	3759	"Neomarica bicolor"	S	Plantae				Iridaceae	Neomarica	bicolor			"H. Lorenzi"	1995	01	08		1906		"H. Lorenzi"	1995	01	08				Brasil	SP	Guarujá	"Coletada nas proximidades da cidade."	0	0	-46.25	-23.99	18989													
"2015-07-02 14:02:24-03"	JBP	HPL	6276	"Neomarica caerulea"	S	Plantae				Iridaceae	Neomarica	caerulea		Sprague	"H. Lorenzi"	2005	09	06		5572		"H. Lorenzi"	2005	09	06				Brasil	SP	"Nova Odessa"	"Coletado no Instituto Plantarum, próximo a casa do Edgar."	0	0	-47.29	-22.77	8440													
"2015-07-02 14:02:24-03"	JBP	HPL	11867	"Trimezia juncifolia"	S	Plantae				Iridaceae	Trimezia	juncifolia								6807		"H. Lorenzi & R. Campos"	2010	01	21				Brasil	MG	Gouveia	"A cerca de 1.000 metros de altitude em campo rupestre comum localmente"	0	0	-43.7408	-18.4544	37970													
