"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
594,"Universidade de São Paulo","ESA","120675","Pseudotrimezia_juncifolia",NA,"PN Oliveira",-19.24995,-43.54437,748
772,"MPEG","HERBMG","MG218520","Pseudiris_speciosa",NA,"H Huaylla",-12.983333,-41.333333,352
801,"MO","MO","101026311","Pseudotrimezia_striata",NA,"J Lovo",-18.31,-43.918611,708
806,"JBRJ","RB","RB00722060","Pseudiris_speciosa",NA,"ASB Gil",-12.560013,-41.512255,312
813,"JBRJ","RB","RB00576116","Trimezia_sincorana","sincorana","PN Oliveira",-12.945508,-41.53245,352
829,"USP","SPF","227462","Pseudiris_speciosa",NA,"J Lovo",-13.392528,-41.232972,352
830,"USP","SPF","227464","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.973889,-47.498611,382
832,"USP","SPF","227459","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.943889,-47.493333,382
833,"USP","SPF","227371","Pseudotrimezia_cathartica",NA,"NS Chukr",-18.159167,-43.543889,668
834,"USP","SPF","227458","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.973889,-47.499722,382
843,"USP","SPF","227384","Pseudotrimezia_striata",NA,"J Lovo",-18.284167,-43.762778,708
844,"USP","SPF","227373","Pseudotrimezia_cathartica",NA,"J Lovo",-15.823333,-48.698333,500
987,"USP","SPF","227747","Trimezia_exillima",NA,"J Lovo",-18.420222,-43.462556,708
991,"USP","SPF","227772","Pseudiris_speciosa",NA,"J Lovo",-13.392528,-41.232972,352
992,"USP","SPF","227572","Pseudotrimezia_juncifolia",NA,"J Lovo",-18.429889,-43.679306,708
993,"USP","SPF","227526","Pseudotrimezia_juncifolia",NA,"J Lovo",-20.279944,-46.521972,823
994,"USP","SPF","227750","Pseudotrimezia_pauloi",NA,"J Lovo",-18.294972,-43.847,708
995,"USP","SPF","227751","Pseudotrimezia_truncata",NA,"J Lovo",-18.256028,-43.808194,668
997,"USP","SPF","227577","Pseudotrimezia_cathartica",NA,"J Lovo",-18.156722,-43.729306,668
998,"USP","SPF","227746","Pseudotrimezia_sublateralis",NA,"J Lovo",-18.310028,-43.918528,708
999,"USP","SPF","227556","Pseudotrimezia_juncifolia",NA,"J Lovo",-20.267,-46.5475,823
1001,"USP","SPF","227585","Pseudotrimezia_synandra",NA,"J Lovo",-18.598278,-43.873361,708
1002,"USP","SPF","227576","Pseudotrimezia_cathartica",NA,"J Lovo",-18.127583,-43.730083,668
1004,"USP","SPF","227586","Pseudotrimezia_juncifolia",NA,"J Lovo",-18.58025,-43.878083,708
1005,"USP","SPF","227579","Pseudotrimezia_truncata",NA,"J Lovo",-18.156361,-43.726083,668
1007,"USP","SPF","227560","Pseudotrimezia_truncata",NA,"J Lovo",-18.429889,-43.679306,708
1040,"USP","SPF","224218","Pseudotrimezia_juncifolia",NA,"J Lovo",-19.006111,-43.755556,748
1054,"NY","NY","910599","Pseudotrimezia_juncifolia",NA,"NS Chukr",-15.650647,-47.7923,501
1063,"NY","NY","910624","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-20.1263,-43.492778,828
1066,"NY","NY","910601","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-15.7834208090807,-47.9298726661488,501
1069,"NY","NY","910451","Neomarica_glauca",NA,"NS Chukr",-18.53,-43.65,708
1070,"NY","NY","910616","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-13.93593,-47.5167,382
1077,"NY","NY","910645","Pseudotrimezia_truncata",NA,"NS Chukr",-19.391463,-43.567098,748
1078,"NY","NY","910623","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-18.24,-43.601,668
1081,"NY","NY","910608","Pseudotrimezia_juncifolia",NA,"NS Chukr",-16.01719,-48.0638,541
1085,"NY","NY","679977","Trimezia_martinicensis",NA,"NS Chukr",-15.7834208090807,-47.9298726661488,501
1091,"NY","NY","910646","Pseudotrimezia_truncata",NA,"NS Chukr",-18.43185,-43.392,708
1097,"NY","NY","910596","Pseudotrimezia_juncifolia",NA,"NS Chukr",-13.9376,-47.5167,382
1099,"NY","NY","910629","Pseudotrimezia_juncifolia",NA,"JE Henrich",-18.2531772779915,-43.6004898201051,668
1104,"NY","NY","1145594","Trimezia_lutea",NA,"J Lovo",-18.84258,-43.75892,708
1112,"NY","NY","910464","Pseudotrimezia_cathartica",NA,"NS Chukr",-18.18,-43.55,668
1120,"NY","NY","910466","Pseudotrimezia_cathartica",NA,"NS Chukr",-16.75,-47.62814,581
1137,"NY","NY","910462","Pseudotrimezia_cathartica",NA,"NS Chukr",-18.2531772779915,-43.6004898201051,668
1147,"NY","NY","910461","Trimezia_exillima",NA,"NS Chukr",-18.2,-43.7,668
1151,"NY","NY","910658","Trimezia_martinicensis",NA,"NS Chukr",-15.948311,-47.988069,541
1159,"NY","NY","910459","Trimezia_exillima",NA,"PF Ravenna",-18.1838,-43.536667,668
1170,"NY","NY","910593","Pseudotrimezia_juncifolia",NA,"NS Chukr",-13.98077,-47.5,382
1173,"NY","NY","910598","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-16.7723416525899,-47.6137541731285,581
1174,"NY","NY","910580","Pseudotrimezia_juncifolia",NA,"J Lovo",-15.7834208090807,-47.9298726661488,501
1181,"NY","NY","910458","Trimezia_exillima",NA,"JE Henrich",-18.2531772779915,-43.6004898201051,668
1184,"NY","NY","910437","Pseudotrimezia_recurvata",NA,"NS Chukr",-18.2531772779915,-43.6004898201051,668
1206,"NY","NY","679984","Neomarica_imbricata",NA,"L Capellari Júnior",-18.43185,-43.391944,708
1209,"NY","NY","910463","Pseudotrimezia_cathartica",NA,"NS Chukr",-18.0833,-43.7833,668
1215,"NY","NY","679985","Trimezia_martinicensis",NA,"NS Chukr",-16.5631441886376,-42.889540899897,589
1233,"NY","NY","910592","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-16.84036,-47.6,581
1235,"NY","NY","910440","Pseudotrimezia_planifolia",NA,"NS Chukr",-18.2531772779915,-43.6004898201051,668
1265,"NY","NY","910595","Pseudotrimezia_juncifolia",NA,"PF Ravenna",-16.7837417996846,-47.6504566236416,581
1287,"NY","NY","910450","Neomarica_glauca",NA,"NS Chukr",-19.82237,-43.67613,788
1305,"UFRGS","ICN","198436","Pseudotrimezia_truncata",NA,"J Lovo",-18.398611,-43.340556,709
1375,"Jardim Botânico de Brasília","HEPH","19563","Pseudotrimezia_juncifolia",NA,"EBA Dias",-15.926389,-47.897778,541
1393,"Jardim Botânico de Brasília","HEPH","877","Pseudotrimezia_cathartica",NA,"EBA Dias",-15.568581,-47.590003,501
1396,"Jardim Botânico de Brasília","HEPH","870","Pseudotrimezia_cathartica",NA,"EBA Dias",-15.568581,-47.590003,501
1418,"USP","SPF","219476","Trimezia_lutea",NA,"NS Chukr",-20.391833,-46.482917,823
1419,"USP","SPF","219475","Pseudotrimezia_speciosa",NA,"NS Chukr",-20.391833,-46.482917,823
1457,"W","Herbarium W","2003-0003032","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.25,-41.9,351
1461,"JBRJ","RB","RB01371840","Pseudotrimezia_fulva",NA,"J Lovo",-18.455278,-43.448889,708
1542,"USP","SPF","216295","Trimezia_lutea",NA,"J Lovo",-18.484972,-43.486417,708
1642,"JBRJ","RB","RB00914338","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.937778,-47.445833,382
1649,"JBRJ","RB","RB00855684","Pseudotrimezia_truncata",NA,"J Lovo",-18.156111,-43.725833,668
1650,"JBRJ","RB","RB00855678","Pseudotrimezia_juncifolia",NA,"J Lovo",-18.429722,-43.679167,708
1652,"JBRJ","RB","RB00855661","Pseudotrimezia_pauloi",NA,"J Lovo",-18.165278,-43.700833,668
1659,"JBRJ","RB","RB00810656","Pseudotrimezia_planifolia",NA,"J Lovo",-18.15,-43.716667,668
1660,"JBRJ","RB","RB00810663","Pseudotrimezia_fulva",NA,"J Lovo",-18.15,-43.716667,668
1663,"JBRJ","RB","RB00793424","Pseudotrimezia_cathartica",NA,"J Lovo",-18.156667,-43.729167,668
1664,"JBRJ","RB","RB00793418","Pseudotrimezia_truncata",NA,"J Lovo",-18.156111,-43.725833,668
1665,"JBRJ","RB","RB00793414","Pseudotrimezia_juncifolia",NA,"J Lovo",-20.279722,-46.521944,823
1666,"JBRJ","RB","RB00793416","Pseudotrimezia_cathartica",NA,"J Lovo",-18.1275,-43.73,668
1671,"JBRJ","RB","RB00785326","Pseudotrimezia_truncata",NA,"J Lovo",-18.398611,-43.340555,709
1675,"JBRJ","RB","RB00785330","Pseudotrimezia_juncifolia",NA,"J Lovo",-13.937778,-47.445833,382
1676,"JBRJ","RB","RB00785333","Pseudotrimezia_cathartica",NA,"PN Oliveira",-13.5325,-41.878889,391
1686,"JBRJ","RB","RB00730399","Pseudotrimezia_cathartica",NA,"MV Dantas-Queiroz",-15.823333,-48.698333,500
1693,"JBRJ","RB","RB00721624","Pseudotrimezia_juncifolia",NA,"ASB Gil",-18.3525,-43.542778,708
1695,"JBRJ","RB","RB00721658","Trimezia_spathata",NA,"ASB Gil",-14.173889,-47.504722,422
1696,"JBRJ","RB","RB00721601","Pseudotrimezia_truncata",NA,"ASB Gil",-16.857222,-43.026667,589
1719,"JBRJ","RB","RB00720309","Pseudotrimezia_fulva",NA,"J Lovo",-18.180556,-43.618889,668
1720,"JBRJ","RB","RB00720314","Pseudotrimezia_fulva",NA,"J Lovo",-18.268333,-43.703611,668
1724,"JBRJ","RB","RB00706644","Pseudotrimezia_pauloi",NA,"J Lovo",-18.183333,-43.617778,668
1726,"JBRJ","RB","RB00703135","Pseudotrimezia_cipoana",NA,"J Lovo",-18.258889,-43.712222,668
1727,"JBRJ","RB","RB00703153","Pseudotrimezia_diamantinensis",NA,"J Lovo",-18.571944,-43.5925,708
1728,"JBRJ","RB","RB00703141","Pseudotrimezia_cipoana",NA,"J Lovo",-18.425,-43.681667,708
1729,"JBRJ","RB","RB00703165","Pseudotrimezia_juncifolia",NA,"J Lovo",-19.285555,-43.571667,748
1731,"JBRJ","RB","RB00703104","Pseudotrimezia_juncifolia",NA,"J Lovo",-19.257778,-43.5575,748
1733,"JBRJ","RB","RB00703161","Pseudotrimezia_cathartica","cristallicola","J Lovo",-19.257778,-43.5575,748
1734,"JBRJ","RB","RB00703126","Pseudotrimezia_cipoana",NA,"J Lovo",-18.306111,-43.866667,708
1736,"JBRJ","RB","RB00703114","Pseudotrimezia_cipoana",NA,"J Lovo",-18.294167,-43.734722,708
1738,"JBRJ","RB","RB00703132","Pseudotrimezia_cipoana",NA,"J Lovo",-16.853611,-43.032778,589
1739,"JBRJ","RB","RB00703100","Pseudotrimezia_fulva",NA,"J Lovo",-18.192222,-43.626944,668
1740,"JBRJ","RB","RB00696384","Pseudotrimezia_elegans",NA,"J Lovo",-18.401111,-43.320278,709
1741,"JBRJ","RB","RB00696402","Pseudotrimezia_cipoana",NA,"J Lovo",-19.295278,-43.571667,748
1742,"JBRJ","RB","RB00696363","Pseudotrimezia_sublateralis",NA,"J Lovo",-18.269167,-43.704444,668
1743,"JBRJ","RB","RB00696395","Pseudotrimezia_synandra",NA,"J Lovo",-18.598889,-43.885,708
1745,"JBRJ","RB","RB00696380","Pseudotrimezia_recurvata",NA,"J Lovo",-18.266389,-43.7,668
