"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude"
122,"US","Botany","3741360","Vellozia teres",NA,"R Mello-Silva",-18.2322,-43.3125
123,"US","Botany","3741317","Vellozia caespitosa",NA,"R Mello-Silva",-18.2322,-43.3125
124,"US","Botany","3741359","Vellozia caespitosa",NA,"R Mello-Silva",-18.2322,-43.3125
126,"US","Botany","3741322","Vellozia metzgerae",NA,"R Mello-Silva",-18.2322,-43.3125
127,"US","Botany","3741311","Vellozia teres",NA,"R Mello-Silva",-18.2322,-43.3125
145,"MN","R","233902","Vellozia kolbekii",NA,"RJV Alves",-21.230278,-44.499167
151,"MN","R","233903","Vellozia kolbekii",NA,"RJV Alves",-21.175833,-44.329167
194,"MN","R","85779","Vellozia compacta",NA,"LB Smith",-19.666667,-43.95
195,"MN","R","85778","Vellozia caruncularis",NA,"LB Smith",-19.166667,-43.583333
220,"MN","R","227356","Vellozia albiflora",NA,"RJV Alves",-21.230278,-44.499167
347,"MN","R","233900","Barbacenia tomentosa",NA,"RJV Alves",-21.2475,-44.506389
788,"Universidade de São Paulo","ESA","90090","Vellozia tubiflora",NA,"R Mello-Silva",-14.163611,-47.616667
790,"Universidade de São Paulo","ESA","89894","Vellozia semirii",NA,"R Mello-Silva",-14.225833,-47.491111
842,"Universidade de São Paulo","ESA","78115","Vellozia declinans",NA,"R Mello-Silva",-19.249444,-43.544722
846,"Universidade de São Paulo","ESA","77817","Vellozia hatschbachii",NA,"R Mello-Silva",-18.0838,-43.3014
865,"Universidade de São Paulo","ESA","73455","Barbacenia flava",NA,"R Mello-Silva",-19.258333,-43.551111
868,"Universidade de São Paulo","ESA","73486","Barbacenia pulverulenta",NA,"R Mello-Silva",-19.380278,-43.576944
883,"Universidade de São Paulo","ESA","60926","Vellozia stenocarpa",NA,"R Mello-Silva",-17.4229,-44.1131
895,"Universidade de São Paulo","ESA","60033","Vellozia stenocarpa",NA,"R Mello-Silva",-17.7081,-44.1917
937,"Universidade de São Paulo","ESA","31453","Vellozia compacta",NA,"R Mello-Silva",-19.4907,-43.4044
938,"Universidade de São Paulo","ESA","31011","Vellozia sellowii",NA,"R Mello-Silva",-19.82375,-43.671861
1042,"Instituto de Botânica","SP","473910","Barbacenia serracabralea",NA,"R Mello-Silva",-17.748056,-44.261389
1054,"Instituto de Botânica","SP","274985","Vellozia campanuloides",NA,"R Mello-Silva",-13.5,-41.983333
