"id","institutioncode","collectioncode","catalognumber","gen_sp","subspecies","identifiedby","latitude","longitude","id_grid"
122,"US","Botany","3741360","Vellozia_teres",NA,"R Mello-Silva",-18.2322,-43.3125,669
123,"US","Botany","3741317","Vellozia_caespitosa",NA,"R Mello-Silva",-18.2322,-43.3125,669
124,"US","Botany","3741359","Vellozia_caespitosa",NA,"R Mello-Silva",-18.2322,-43.3125,669
126,"US","Botany","3741322","Vellozia_metzgerae",NA,"R Mello-Silva",-18.2322,-43.3125,669
127,"US","Botany","3741311","Vellozia_teres",NA,"R Mello-Silva",-18.2322,-43.3125,669
195,"MN","R","85778","Vellozia_caruncularis",NA,"LB Smith",-19.166667,-43.583333,748
842,"Universidade de São Paulo","ESA","78115","Vellozia_declinans",NA,"R Mello-Silva",-19.249444,-43.544722,748
846,"Universidade de São Paulo","ESA","77817","Vellozia_hatschbachii",NA,"R Mello-Silva",-18.0838,-43.3014,669
865,"Universidade de São Paulo","ESA","73455","Barbacenia_flava",NA,"R Mello-Silva",-19.258333,-43.551111,748
868,"Universidade de São Paulo","ESA","73486","Barbacenia_pulverulenta",NA,"R Mello-Silva",-19.380278,-43.576944,748
895,"Universidade de São Paulo","ESA","60033","Vellozia_stenocarpa",NA,"R Mello-Silva",-17.7081,-44.1917,667
937,"Universidade de São Paulo","ESA","31453","Vellozia_compacta",NA,"R Mello-Silva",-19.4907,-43.4044,788
938,"Universidade de São Paulo","ESA","31011","Vellozia_sellowii",NA,"R Mello-Silva",-19.82375,-43.671861,788
1042,"Instituto de Botânica","SP","473910","Barbacenia_serracabralea",NA,"R Mello-Silva",-17.748056,-44.261389,667
1054,"Instituto de Botânica","SP","274985","Vellozia_campanuloides",NA,"R Mello-Silva",-13.5,-41.983333,391
1055,"Instituto de Botânica","SP","274987","Vellozia_canelinha",NA,"R Mello-Silva",-13.533333,-41.966667,391
1056,"Instituto de Botânica","SP","274986","Vellozia_caudata",NA,"R Mello-Silva",-13.533333,-41.95,391
1057,"Instituto de Botânica","SP","274988","Vellozia_caudata",NA,"R Mello-Silva",-13.533333,-41.95,391
1427,"MBM","MBM","410118","Vellozia_metzgerae",NA,"R Mello-Silva",-18.232222,-43.3125,669
1429,"MBM","MBM","410129","Vellozia_teres",NA,"R Mello-Silva",-18.232222,-43.3125,669
1430,"MBM","MBM","409626","Barbacenia_serracabralea",NA,"R Mello-Silva",-17.748056,-44.261389,667
1432,"MBM","MBM","410128","Vellozia_caespitosa",NA,"R Mello-Silva",-18.232222,-43.3125,669
1512,"ASU","Plants","ASU0014863","Vellozia_harleyi",NA,"R Mello-Silva",-12.996334,-41.369808,352
1519,"ASU","Plants","ASU0014869","Vellozia_tubiflora",NA,"R Mello-Silva",-14.105037,-47.546935,422
1528,"ASU","Plants","ASU0014804","Nanuza_plicata",NA,"R Mello-Silva",-13.4167,-41.2167,352
1537,"USP","SPF","228803","Vellozia_alutacea",NA,"L Montserrat",-21.708075,-43.893633,908
1538,"USP","SPF","228820","Barbacenia_ignea",NA,"R Mello-Silva",-18.181111,-43.619722,668
1540,"USP","SPF","228938","Barbacenia_vellozioides",NA,"R Mello-Silva",-13.35,-41.833333,351
