id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
18188,Calliandra dysantha Benth. var. dysantha,NA,Fabaceae,variety,accepted,Calliandra dysantha var. dysantha,NA,replaced synonym,Calliandra abbreviata,Subarbusto,Terrícola,Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu),Caatinga|Cerrado,Calliandra dysantha
18171,Calliandra aeschynomenoides Benth.,NA,Fabaceae,species,accepted,Calliandra aeschynomenoides,NA,,Calliandra aeschynomenoides,Arbusto,Terrícola,Caatinga (stricto sensu),Caatinga,Calliandra aeschynomenoides
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra angusta,NA,NA,NA,NA,Calliandra calycina
18172,Calliandra asplenioides (Nees) Renvoize,NA,Fabaceae,species,accepted,Calliandra asplenioides,NA,,Calliandra asplenioides,Arbusto,Terrícola,Campo rupestre,Caatinga|Cerrado,Calliandra asplenioides
82724,Calliandra sessilis Benth.,NA,Fabaceae,species,accepted,Calliandra sessilis,NA,replaced synonym,Calliandra axillaris,Arbusto|Subarbusto,Terrícola,Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu),Amazônia|Caatinga|Cerrado,Calliandra sessilis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra bahiana bahiana,NA,NA,NA,NA,Calliandra bahiana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra bahiana erythematosa,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra bahiana erythomatosa,NA,NA,NA,NA,NA
18173,Calliandra bahiana Renvoize,NA,Fabaceae,species,accepted,Calliandra bahiana,NA,,Calliandra bahiana,NA,NA,NA,NA,Calliandra bahiana
18176,Calliandra bella Benth.,NA,Fabaceae,species,accepted,Calliandra bella,NA,,Calliandra bella,Arbusto,Terrícola,Campo Limpo|Floresta Estacional Semidecidual|Restinga,Caatinga|Mata Atlântica,Calliandra bella
18177,Calliandra blanchetii Benth.,NA,Fabaceae,species,accepted,Calliandra blanchetii,NA,,Calliandra blanchetii,Arbusto|Subarbusto,Terrícola,Campo rupestre,Caatinga,Calliandra blanchetii
30941,Calliandra fasciculata var. bracteosa (Benth.) Barneby,NA,Fabaceae,variety,accepted,Calliandra fasciculata var. bracteosa,NA,replaced synonym,Calliandra bracteosa,Arbusto,Terrícola,Campo rupestre|Floresta Ciliar ou Galeria,Cerrado,Calliandra fasciculata var. bracteosa
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra brevicaulis brevicaulis,NA,NA,NA,NA,Calliandra brevicaulis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra brevicaulis,NA,NA,NA,NA,Calliandra brevicaulis
82710,Calliandra brevipes Benth.,NA,Fabaceae,species,accepted,Calliandra brevipes,NA,,Calliandra brevipes,Arbusto,Terrícola,Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa,Calliandra brevipes
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra bromelioides,NA,NA,NA,NA,Calliandra bromelioides
18179,Calliandra calycina Benth.,NA,Fabaceae,species,accepted,Calliandra calycina,NA,,Calliandra calycina,Arbusto,Terrícola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga,Calliandra calycina
30924,Calliandra carrascana Barneby,NA,Fabaceae,species,accepted,Calliandra carrascana,EN,,Calliandra carrascana,Arbusto|Árvore,Terrícola,Carrasco,Cerrado,Calliandra carrascana
78851,Calliandra spinosa Ducke,NA,Fabaceae,species,accepted,Calliandra spinosa,NA,,Calliandra cf. spinosa,Arbusto|Árvore,Terrícola,Caatinga (stricto sensu),Caatinga,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra coccinea coccinea,NA,NA,NA,NA,Calliandra coccinea
18180,Calliandra coccinea Renvoize,NA,Fabaceae,species,accepted,Calliandra coccinea,NA,,Calliandra coccinea,NA,NA,NA,NA,Calliandra coccinea
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra coccinea trimera,NA,NA,NA,NA,NA
78847,Calliandra concinna Barneby,NA,Fabaceae,species,accepted,Calliandra concinna,NA,,Calliandra concinna,Arbusto,Terrícola,Campo rupestre,Cerrado,Calliandra concinna
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra coriacea,NA,NA,NA,NA,Calliandra coriacea
18183,Calliandra crassipes Benth.,NA,Fabaceae,species,accepted,Calliandra crassipes,NA,,Calliandra crassipes,Arbusto,Terrícola,Campo rupestre,Caatinga,Calliandra crassipes
30929,Calliandra cumbucana Renvoize,NA,Fabaceae,species,accepted,Calliandra cumbucana,NA,,Calliandra cumbucana,Arbusto,Terrícola,Campo rupestre,Caatinga,Calliandra cumbucana
18184,Calliandra debilis Renvoize,NA,Fabaceae,species,accepted,Calliandra debilis,NA,,Calliandra debilis,Arbusto,Terrícola,Campo rupestre,Caatinga,Calliandra debilis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Calliandra dendroidea,NA,NA,NA,NA,Calliandra dendroidea
18185,Calliandra depauperata Benth.,NA,Fabaceae,species,accepted,Calliandra depauperata,NA,,Calliandra depauperata,Arbusto,Terrícola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga,Calliandra depauperata
