"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
18188,"Calliandra dysantha Benth. var. dysantha",NA,"Fabaceae","variety","accepted","Calliandra dysantha var. dysantha",NA,"replaced synonym","Calliandra abbreviata","Subarbusto","Terrícola","Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)","Caatinga|Cerrado"
18171,"Calliandra aeschynomenoides Benth.",NA,"Fabaceae","species","accepted","Calliandra aeschynomenoides",NA,"","Calliandra aeschynomenoides","Arbusto","Terrícola","Caatinga (stricto sensu)","Caatinga"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra angusta",NA,NA,NA,NA
18172,"Calliandra asplenioides (Nees) Renvoize",NA,"Fabaceae","species","accepted","Calliandra asplenioides",NA,"","Calliandra asplenioides","Arbusto","Terrícola","Campo rupestre","Caatinga|Cerrado"
82724,"Calliandra sessilis Benth.",NA,"Fabaceae","species","accepted","Calliandra sessilis",NA,"replaced synonym","Calliandra axillaris","Arbusto|Subarbusto","Terrícola","Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)","Amazônia|Caatinga|Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra bahiana bahiana",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra bahiana erythematosa",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra bahiana erythomatosa",NA,NA,NA,NA
18173,"Calliandra bahiana Renvoize",NA,"Fabaceae","species","accepted","Calliandra bahiana",NA,"","Calliandra bahiana",NA,NA,NA,NA
18176,"Calliandra bella Benth.",NA,"Fabaceae","species","accepted","Calliandra bella",NA,"","Calliandra bella","Arbusto","Terrícola","Campo Limpo|Floresta Estacional Semidecidual|Restinga","Caatinga|Mata Atlântica"
18177,"Calliandra blanchetii Benth.",NA,"Fabaceae","species","accepted","Calliandra blanchetii",NA,"","Calliandra blanchetii","Arbusto|Subarbusto","Terrícola","Campo rupestre","Caatinga"
30941,"Calliandra fasciculata var. bracteosa (Benth.) Barneby",NA,"Fabaceae","variety","accepted","Calliandra fasciculata var. bracteosa",NA,"replaced synonym","Calliandra bracteosa","Arbusto","Terrícola","Campo rupestre|Floresta Ciliar ou Galeria","Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra brevicaulis brevicaulis",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Calliandra brevicaulis",NA,NA,NA,NA
