id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya acklandae robusta,NA,NA,NA,NA,NA
20007,Cattleya aclandiae Lindl.,NA,Orchidaceae,species,accepted,Cattleya aclandiae,VU,,Cattleya aclandiae,Erva,Epífita,Caatinga (stricto sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual,Caatinga|Mata Atlântica,Cattleya aclandiae
65034,Cattleya alaorii (Brieger & Bicalho) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya alaorii,CR,,Cattleya alaorii,NA,Epífita,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya alaorii
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya albanensis,NA,NA,NA,NA,Cattleya albanensis
582461,Cattleya alvarenguensis (Campacci) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya alvarenguensis,NA,,Cattleya alvarenguensis,Erva,Rupícola,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,Cerrado,Cattleya alvarenguensis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya amethystoglossa alba,NA,NA,NA,NA,Cattleya amethystoglossa 
11331,Cattleya amethystoglossa Linden & Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya amethystoglossa,NT,,Cattleya amethystoglossa,Erva,Epífita|Rupícola,Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),Caatinga|Mata Atlântica,Cattleya amethystoglossa
31787,Cattleya araguaiensis Pabst,NA,Orchidaceae,species,accepted,Cattleya araguaiensis,NA,,Cattleya araguaiensis,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Amazônia,Cattleya araguaiensis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya bahiensis,NA,NA,NA,NA,NA
65054,Cattleya bicalhoi Van den Berg,NA,Orchidaceae,species,accepted,Cattleya bicalhoi,NA,,Cattleya bicalhoi,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya bicalhoi
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya bicolor measuresiana,NA,NA,NA,NA,Cattleya bicolor
11332,Cattleya bicolor Lindl.,NA,Orchidaceae,species,accepted,Cattleya bicolor,NT,,Cattleya bicolor,Erva,Epífita,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),Cerrado|Mata Atlântica,Cattleya bicolor
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya bifoliata-group,NA,NA,NA,NA,NA
65062,Cattleya blumenscheinii (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya blumenscheinii,NA,,Cattleya blumenscheinii,Erva,Rupícola,Campo rupestre,Mata Atlântica,Cattleya blumenscheinii
65063,Cattleya bradei (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya bradei,NA,,Cattleya bradei,NA,NA,NA,NA,Cattleya bradei
65065,Cattleya brevipedunculata (Cogn.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya brevipedunculata,VU,was misspelled,Cattleya brevipedanculata,Erva,Epífita|Rupícola,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial),Cerrado|Mata Atlântica,Cattleya brevipedunculata
65065,Cattleya brevipedunculata (Cogn.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya brevipedunculata,VU,,Cattleya brevipedunculata,Erva,Epífita|Rupícola,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial),Cerrado|Mata Atlântica,Cattleya brevipedunculata
65066,Cattleya briegeri (Blumensch. ex Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya briegeri,EN,,Cattleya briegeri,Erva,Rupícola,Campo rupestre,Cerrado|Mata Atlântica,Cattleya briegeri
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya calimanorum,NA,NA,NA,NA,NA
65072,Cattleya caulescens (Lindl.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya caulescens,EN,,Cattleya caulescens,Erva,Rupícola,Campo rupestre,Mata Atlântica,Cattleya caulescens
582439,Cattleya cernua (Lindl.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya cernua,LC,,Cattleya cernua,Erva,Epífita,Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos,Caatinga|Cerrado|Mata Atlântica,Cattleya cernua
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya cinnabarina crispilabia,NA,NA,NA,NA,NA
65075,Cattleya cinnabarina (Bateman ex Lindl.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya cinnabarina,LC,,Cattleya cinnabarina,Erva,Rupícola|Terrícola,Campo de Altitude|Campo rupestre,Mata Atlântica,Cattleya cinnabarina
65076,Cattleya coccinea Lindl.,NA,Orchidaceae,species,accepted,Cattleya coccinea,LC,,Cattleya coccinea,Erva,Epífita|Rupícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya coccinea
65078,Cattleya colnagoi (Chiron & V.P.Castro) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya colnagoi,NA,,Cattleya colnagoi,NA,Rupícola,Campo de Altitude,Mata Atlântica,Cattleya colnagoi
65083,Cattleya crispata (Thunb.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya crispata,NT,replaced synonym,Cattleya conceicionensis,NA,NA,NA,NA,Cattleya crispata
65081,Cattleya crispa Lindl.,NA,Orchidaceae,species,accepted,Cattleya crispa,VU,,Cattleya crispa,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya crispa
65083,Cattleya crispata (Thunb.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya crispata,NT,,Cattleya crispata,NA,NA,NA,NA,Cattleya crispata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya dayana,NA,NA,NA,NA,Cattleya dayana
11333,Cattleya dormaniana Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya dormaniana,EN,,Cattleya dormaniana,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya dormaniana
20008,Cattleya elongata Barb.Rodr.,NA,Orchidaceae,species,accepted,Cattleya elongata,NA,,Cattleya elongata,Erva,Rupícola,Vegetação Sobre Afloramentos Rochosos,Caatinga|Cerrado,Cattleya elongata
65098,Cattleya endsfeldzii (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya endsfeldzii,CR,,Cattleya endsfeldzii,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya endsfeldzii
65100,Cattleya esalqueana (Blumensch. ex Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya esalqueana,NA,,Cattleya esalqueana,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya esalqueana
65083,Cattleya crispata (Thunb.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya crispata,NT,replaced synonym,Cattleya flava,NA,NA,NA,NA,Cattleya crispata
65103,Cattleya flavasulina (F.E.L.Miranda & K.G.Lacerda) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya flavasulina,NA,,Cattleya flavasulina,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya flavasulina
11334,Cattleya forbesii Lindl.,NA,Orchidaceae,species,accepted,Cattleya forbesii,NA,,Cattleya forbesii,Erva,Epífita,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Cattleya forbesii
65106,Cattleya fournieri (Cogn.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya fournieri,NA,,Cattleya fournieri,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya fournieri
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya gaezeriana,NA,NA,NA,NA,Cattleya gaezeriana
65112,Cattleya ghillanyi (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya ghillanyi,EN,,Cattleya ghillanyi,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya ghillanyi
65117,Cattleya grandis (Lindl. & Paxton) A.A.Chadwick,NA,Orchidaceae,species,accepted,Cattleya grandis,NA,,Cattleya grandis,Erva,Epífita|Rupícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya grandis
11335,Cattleya granulosa Lindl.,NA,Orchidaceae,species,accepted,Cattleya granulosa,VU,,Cattleya granulosa,Erva,Epífita,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Cattleya granulosa
582465,Cattleya guanhanensis (Campacci) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya guanhanensis,NA,,Cattleya guanhanensis,Erva,Rupícola,Campo rupestre,NA,Cattleya guanhanensis
11336,Cattleya guttata Lindl.,NA,Orchidaceae,species,accepted,Cattleya guttata,VU,,Cattleya guttata,Erva,Epífita|Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Cattleya guttata
65137,Cattleya harpophylla (Rchb.f.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya harpophylla,VU,,Cattleya harpophylla,Erva,Epífita,NA,NA,Cattleya harpophylla
11337,Cattleya harrisoniana Batem. ex Lindl.,NA,Orchidaceae,species,accepted,Cattleya harrisoniana,VU,,Cattleya harrisoniana,Erva,Epífita,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya harrisoniana
583088,Cattleya hatae (V.P.Castro & K.G.Lacerda) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya hatae,NA,,Cattleya hatae,Erva,Rupícola,Vegetação Sobre Afloramentos Rochosos,Cerrado,Cattleya hatae
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya heitoriana,NA,NA,NA,NA,Cattleya heitoriana
11338,Cattleya intermedia Grah.,NA,Orchidaceae,species,accepted,Cattleya intermedia,VU,,Cattleya intermedia,Erva,Epífita|Rupícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya intermedia
65153,Cattleya itambana (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya itambana,NA,,Cattleya itambana,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya itambana
65154,Cattleya jongheana (Rchb.f.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya jongheana,EN,,Cattleya jongheana,Erva,Epífita|Rupícola,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial),Cerrado|Mata Atlântica,Cattleya jongheana
11339,Cattleya kerrii Brieger & Bicalho,NA,Orchidaceae,species,accepted,Cattleya kerrii,NA,,Cattleya kerrii,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya kerrii
65156,Cattleya kettieana (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya kettieana,NA,,Cattleya kettieana,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya kettieana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya labendziana,NA,NA,NA,NA,Cattleya labendziana
11340,Cattleya labiata Lindl.,NA,Orchidaceae,species,accepted,Cattleya labiata,VU,,Cattleya labiata,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Caatinga|Mata Atlântica,Cattleya labiata
37380,Cattleya lawrenceana Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya lawrenceana,NA,,Cattleya lawrenceana,Erva,Epífita,Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial),Amazônia,Cattleya lawrenceana
65189,Cattleya liliputana (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya liliputana,NA,,Cattleya liliputana,Erva,Rupícola|Terrícola,Campo rupestre,Cerrado,Cattleya liliputana
11341,Cattleya loddigesii Lindl.,NA,Orchidaceae,species,accepted,Cattleya loddigesii,NA,,Cattleya loddigesii,Erva,Epífita,Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),Cerrado|Mata Atlântica,Cattleya loddigesii
65195,Cattleya longipes (Rchb.f.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya longipes,NA,,Cattleya longipes,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya longipes
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya lucasiana,NA,NA,NA,NA,NA
65196,Cattleya luetzelburgii Van den Berg,NA,Orchidaceae,species,accepted,Cattleya luetzelburgii,NA,,Cattleya luetzelburgii,Erva,Rupícola,NA,NA,Cattleya luetzelburgii
65197,Cattleya lundii (Rchb.f. & Warm.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya lundii,NA,,Cattleya lundii,Erva,Epífita,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual,Cerrado|Mata Atlântica,Cattleya lundii
65204,Cattleya mantiqueirae (Fowlie) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya mantiqueirae,NA,,Cattleya mantiqueirae,NA,NA,NA,NA,Cattleya mantiqueirae
65205,Cattleya marcaliana (Campacci & Chiron) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya marcaliana,NA,,Cattleya marcaliana,Erva,Epífita,NA,NA,Cattleya marcaliana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya mesquitae,NA,NA,NA,NA,Cattleya mesquitae
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya mixta,NA,NA,NA,NA,Cattleya mixta
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya mossiae,NA,NA,NA,NA,Cattleya mossiae
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya mottei,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya nevesiana,NA,NA,NA,NA,NA
583083,Cattleya nevesii (Campacci) J.H.M.Shaw,NA,Orchidaceae,species,accepted,Cattleya nevesii,NA,,Cattleya nevesii,Erva,Rupícola,Campo rupestre,Mata Atlântica,Cattleya nevesii
20010,Cattleya nobilior Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya nobilior,NT,,Cattleya nobilior,Erva,Epífita|Rupícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),Amazônia|Cerrado,Cattleya nobilior
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya ostermayerii,NA,NA,NA,NA,NA
65229,Cattleya pabstii (F.E.L.Miranda & K.G.Lacerda) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya pabstii,NA,,Cattleya pabstii,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya pabstii
65235,Cattleya perrinii Lindl.,NA,Orchidaceae,species,accepted,Cattleya perrinii,VU,,Cattleya perrinii,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya perrinii
65236,Cattleya pfisteri (Pabst & Senghas) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya pfisteri,NA,,Cattleya pfisteri,Erva,Rupícola,Campo rupestre,Caatinga,Cattleya pfisteri
11342,Cattleya porphyroglossa Linden & Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya porphyroglossa,CR,,Cattleya porphyroglossa,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,Mata Atlântica,Cattleya porphyroglossa
65239,Cattleya praestans (Rchb.f.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya praestans,NA,,Cattleya praestans,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya praestans
65240,Cattleya presidentensis (Campacci) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya presidentensis,NA,,Cattleya presidentensis,Erva,Rupícola,Campo rupestre,Cerrado,Cattleya presidentensis
582439,Cattleya cernua (Lindl.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya cernua,LC,replaced synonym,Cattleya pterocarpa,Erva,Epífita,Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos,Caatinga|Cerrado|Mata Atlântica,Cattleya cernua
65243,Cattleya pumila Hook.,NA,Orchidaceae,species,accepted,Cattleya pumila,VU,,Cattleya pumila,Erva,Epífita,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,Cerrado|Mata Atlântica,Cattleya pumila
582441,Cattleya purpurata (Lindl. & Paxton) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya purpurata,VU,,Cattleya purpurata,Erva,Epífita|Rupícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Cattleya purpurata
65247,Cattleya pygmaea (Pabst) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya pygmaea,EN,,Cattleya pygmaea,NA,NA,NA,NA,Cattleya pygmaea
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya regentii,NA,NA,NA,NA,NA
65254,Cattleya rupestris (Lindl.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya rupestris,NA,,Cattleya rupestris,Erva,Rupícola,Campo rupestre,Caatinga|Cerrado,Cattleya rupestris
65255,Cattleya sanguiloba (Withner) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya sanguiloba,NA,,Cattleya sanguiloba,Erva,Rupícola,Campo rupestre,Cerrado|Mata Atlântica,Cattleya sanguiloba
11343,Cattleya schilleriana Rchb.f.,NA,Orchidaceae,species,accepted,Cattleya schilleriana,EN,,Cattleya schilleriana,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya schilleriana
11335,Cattleya granulosa Lindl.,NA,Orchidaceae,species,accepted,Cattleya granulosa,VU,replaced synonym,Cattleya schofieldiana,Erva,Epífita,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Cattleya granulosa
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya schofieldiana tedescoana,NA,NA,NA,NA,Cattleya schofieldiana
65261,Cattleya sincorana (Schltr.) Van den Berg,NA,Orchidaceae,species,accepted,Cattleya sincorana,EN,,Cattleya sincorana,Erva,Epífita|Rupícola,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,Caatinga,Cattleya sincorana
11329,Cattleya Lindl.,NA,Orchidaceae,genus,accepted,Cattleya sp.,NA,,Cattleya sp.,NA,NA,NA,NA,NA
65271,Cattleya tenebrosa (Rolfe) A.A.Chadwick,NA,Orchidaceae,species,accepted,Cattleya tenebrosa,EN,,Cattleya tenebrosa,Erva,Epífita,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Cattleya tenebrosa
NA,NA,NA,NA,NA,NA,NA,NA,not found,Cattleya tenuata,NA,NA,NA,NA,Cattleya tenuata
20011,Cattleya tenuis Campacci & Vedovello,NA,Orchidaceae,species,accepted,Cattleya tenuis,EN,,Cattleya tenuis,Erva,Epífita|Rupícola,Campo rupestre|Carrasco|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos,Caatinga|Cerrado,Cattleya tenuis
