"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya acklandae robusta",NA,NA,NA,NA
20007,"Cattleya aclandiae Lindl.",NA,"Orchidaceae","species","accepted","Cattleya aclandiae","VU","","Cattleya aclandiae","Erva","Epífita","Caatinga (stricto sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual","Caatinga|Mata Atlântica"
65034,"Cattleya alaorii (Brieger & Bicalho) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya alaorii","CR","","Cattleya alaorii",NA,"Epífita","Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya albanensis",NA,NA,NA,NA
582461,"Cattleya alvarenguensis (Campacci) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya alvarenguensis",NA,"","Cattleya alvarenguensis","Erva","Rupícola","Campo rupestre|Vegetação Sobre Afloramentos Rochosos","Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya amethystoglossa alba",NA,NA,NA,NA
11331,"Cattleya amethystoglossa Linden & Rchb.f.",NA,"Orchidaceae","species","accepted","Cattleya amethystoglossa","NT","","Cattleya amethystoglossa","Erva","Epífita|Rupícola","Caatinga (stricto sensu)|Carrasco|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","Caatinga|Mata Atlântica"
31787,"Cattleya araguaiensis Pabst",NA,"Orchidaceae","species","accepted","Cattleya araguaiensis",NA,"","Cattleya araguaiensis","Erva","Epífita","Floresta Ombrófila (= Floresta Pluvial)","Amazônia"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya bahiensis",NA,NA,NA,NA
65054,"Cattleya bicalhoi Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya bicalhoi",NA,"","Cattleya bicalhoi","Erva","Epífita","Floresta Ombrófila (= Floresta Pluvial)","Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya bicolor measuresiana",NA,NA,NA,NA
11332,"Cattleya bicolor Lindl.",NA,"Orchidaceae","species","accepted","Cattleya bicolor","NT","","Cattleya bicolor","Erva","Epífita","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)","Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya bifoliata-group",NA,NA,NA,NA
65062,"Cattleya blumenscheinii (Pabst) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya blumenscheinii",NA,"","Cattleya blumenscheinii","Erva","Rupícola","Campo rupestre","Mata Atlântica"
65063,"Cattleya bradei (Pabst) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya bradei",NA,"","Cattleya bradei",NA,NA,NA,NA
65065,"Cattleya brevipedunculata (Cogn.) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya brevipedunculata","VU","was misspelled","Cattleya brevipedanculata","Erva","Epífita|Rupícola","Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)","Cerrado|Mata Atlântica"
65065,"Cattleya brevipedunculata (Cogn.) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya brevipedunculata","VU","","Cattleya brevipedunculata","Erva","Epífita|Rupícola","Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)","Cerrado|Mata Atlântica"
65066,"Cattleya briegeri (Blumensch. ex Pabst) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya briegeri","EN","","Cattleya briegeri","Erva","Rupícola","Campo rupestre","Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya calimanorum",NA,NA,NA,NA
65072,"Cattleya caulescens (Lindl.) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya caulescens","EN","","Cattleya caulescens","Erva","Rupícola","Campo rupestre","Mata Atlântica"
582439,"Cattleya cernua (Lindl.) Van den Berg",NA,"Orchidaceae","species","accepted","Cattleya cernua","LC","","Cattleya cernua","Erva","Epífita","Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos","Caatinga|Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Cattleya cinnabarina crispilabia",NA,NA,NA,NA
