taxa,suggested,corrected,obs
Comanthera aciphylla,Comanthera aciphylla,Comanthera aciphylla,
Comanthera aciphyllus,Comanthera aciphylla,Comanthera aciphylla,
Comanthera angustifolius,Cybianthus angustifolius,Comanthera nivea,Syngonanthus angustifolius syn. of Comanthera nivea
Comanthera arthrotrichus,NA,Comanthera aciphylla,Syngonanthus arthrotrichus syn. of Comanthera aciphylla
Comanthera aurfibrata,Comanthera aurifibrata,Comanthera aurifibrata,
Comanthera aurifibrata,Comanthera aurifibrata,Comanthera aurifibrata,
Comanthera aurifibratus,Comanthera aurifibrata,Comanthera aurifibrata,Syngonanthus aurifibratus syn. of Comanthera aurifibrata
Comanthera bahiensis,Comanthera bahiensis,Comanthera bahiensis,
Comanthera barbatus,NA,Comanthera elegans,Syngonanthus barbatus syn. of Comanthera elegans
Comanthera bisulcata,Comanthera bisulcata,Comanthera bisulcata,
Comanthera bisulcatus,Comanthera bisulcata,Comanthera bisulcata,Syngonanthus bisulcatus syn. of Comanthera bisulcata
Comanthera brasiliana,Comanthera brasiliana,Comanthera brasiliana,
Comanthera brasilianus,Comanthera brasiliana,Comanthera brasiliana,
Comanthera brunnea,Comanthera brunnea,Comanthera brunnea,
Comanthera caespitosa,Comanthera caespitosa,Comanthera caespitosa,
Comanthera caespitosus,Comanthera caespitosa,Comanthera caespitosa,Syngonanthus caespitosus syn. of Comanthera caespitosa
Comanthera canastrensis,NA,Comanthera dealbata,Syngonanthus canastrensis syn. of Comanthera dealbata
Comanthera candidus bahiensis,NA,Comanthera giuliettiae,Syngonanthus candidus var. bahiensis syn. of Comanthera giuliettiae
Comanthera candidus,NA,Comanthera nivea,Syngonanthus candidus syn. of Comanthera nivea
Comanthera caracensis,Comanthera curralensis,Comanthera squarrosa,Syngonanthus caracensis syn. of Comanthera squarrosa
Comanthera centauroides,Comanthera centauroides,Comanthera centauroides,
Comanthera chrysolepis,Comanthera chrysolepis,Comanthera chrysolepis,
Comanthera ciliata,Comanthera ciliata,Comanthera ciliata,
Comanthera ciliolata,Comanthera ciliata,Comanthera ciliata,
Comanthera cipoensis,Comanthera cipoensis,Comanthera cipoensis,
Comanthera circinnata,Comanthera circinnata,Comanthera circinnata,
Comanthera circinnatus,Comanthera circinnata,Comanthera circinnata,Syngonanthus circinnatus syn. of. Comanthera circinnata
Comanthera comosus,Comanthera cipoensis,Comanthera nivea,Syngonanthus comosus syn. of Comanthera nivea
Comanthera crispus itacambirensis,NA,Comanthera bisulcata,Syngonanthus crispus var. itacambirensis syn. of Comanthera bisulcata
Comanthera crispus,NA,Comanthera bisulcata,Syngonanthus crispus syn. of Comanthera bisulcata
Comanthera curralensis harleyi,NA,Comanthera curralensis,Syngonanthus curralensis var. harleyi syn. of Comanthera curralensis
Comanthera curralensis,Comanthera curralensis,Comanthera curralensis,
Comanthera curralensis paucifolius,NA,Comanthera curralensis,Syngonanthus curralensis var. paucifolius syn. of Comanthera curralensis
Comanthera dealbata,Comanthera dealbata,Comanthera dealbata,
Comanthera dealbatus minor,NA,Comanthera dealbata,Syngonanthus dealbaltus var. minor syn. of Comanthera dealbata
Comanthera dealbatus,Comanthera dealbata,Comanthera dealbata,Syngonanthus dealbaltus syn. of Comanthera dealbata
Comanthera dealdata,Comanthera dealbata,Comanthera dealbata,
Comanthera eburneus,Comanthera euschemus,Comanthera imbricata,Syngonanthus eburneus syn. of Comanthera imbricata
Comanthera elegans canescens,NA,Comanthera elegantula,Syngonanthus elegans var. canescens syn. of Comanthera elegantula
Comanthera elegans elanatus,NA,Comanthera elegantula,Syngonanthus elegans var. elanatus syn. of Comanthera elegantula
Comanthera elegans,Comanthera elegans,Comanthera elegans,
Comanthera elegantula,Comanthera elegantula,Comanthera elegantula,
Comanthera elegantulus glaziovii,NA,Comanthera elegantula,Syngonanthus elegantulus var. glaziovii syn. of Comanthera elegantula
Comanthera elegantulus,Comanthera elegantula,Comanthera elegantula,Syngonanthus elegantulus syn. of Comanthera elegantula
Comanthera ensifolius,NA,Comanthera bisulcata,Syngonanthus ensifolius syn. of Comanthera bisulcata
Comanthera erectifolius,NA,Comanthera aciphylla,Syngonanthus erectifolius syn. of Comanthera aciphylla
Comanthera eriopus appressa,NA,Comanthera aciphylla,Syngonanthus eriopus var. appressa syn. of Comanthera aciphylla 
Comanthera eriopus,NA,Comanthera aciphylla,Syngonanthus eriopus syn. of Comanthera aciphylla 
Comanthera euschemus,Comanthera euschemus,Comanthera euschemus,
Comanthera flexuosa,Comanthera flexuosa,Comanthera flexuosa,
Comanthera floccosa,Comanthera floccosa,Comanthera floccosa,
Comanthera floccosus,Comanthera floccosa,Comanthera floccosa,Syngonanthus floccosus syn. of Comanthera floccosa
Comanthera giuliettiae,Comanthera giuliettiae,Comanthera giuliettiae,
Comanthera glaucus,Comanthera glabra,Comanthera nivea,Syngonanthus glaucus syn. of Comanthera nivea
Comanthera habrophyus,NA,Comanthera nivea,Syngonanthus habrophyus syn. of Comanthera nivea
Comanthera harleyi,Comanthera harleyi,Comanthera harleyi,
Comanthera harley,Comanthera harleyi,Comanthera harleyi,
Comanthera hatschbachii,Comanthera hatschbachii,Comanthera hatschbachii,
Comanthera heterophyllus,NA,Comanthera aciphylla,Syngonanthus heterophyllus syn. of Comanthera aciphylla
Comanthera imbricata,Comanthera imbricata,Comanthera imbricata,
Comanthera imbricatus,Comanthera imbricata,Comanthera imbricata,Syngonanthus imbricatus syn. of Comanthera imbricata
Comanthera kegeliana,Comanthera kegeliana,Comanthera kegeliana,
Comanthera lanosa,Comanthera lanosa,Comanthera lanosa,
Comanthera linearis,Comanthera linearis,Comanthera linearis,
Comanthera magnifica,Comanthera magnifica,Comanthera magnifica,
Comanthera magnificus,Comanthera magnifica,Comanthera magnifica,Syngonanthus magnificus syn. of Comanthera magnifica
