"taxa","suggested"
"Comanthera aciphylla","Comanthera aciphylla"
"Comanthera aciphyllus","Comanthera aciphylla"
"Comanthera angustifolius","Cybianthus angustifolius"
"Comanthera arthrotrichus",NA
"Comanthera aurfibrata","Comanthera aurifibrata"
"Comanthera aurifibrata","Comanthera aurifibrata"
"Comanthera aurifibratus","Comanthera aurifibrata"
"Comanthera bahiensis","Comanthera bahiensis"
"Comanthera barbatus",NA
"Comanthera bisulcata","Comanthera bisulcata"
"Comanthera bisulcatus","Comanthera bisulcata"
"Comanthera brasiliana","Comanthera brasiliana"
"Comanthera brasilianus","Comanthera brasiliana"
"Comanthera brunnea","Comanthera brunnea"
"Comanthera caespitosa","Comanthera caespitosa"
"Comanthera caespitosus","Comanthera caespitosa"
"Comanthera canastrensis",NA
"Comanthera candidus bahiensis",NA
"Comanthera candidus",NA
"Comanthera caracensis","Comanthera curralensis"
"Comanthera centauroides","Comanthera centauroides"
"Comanthera chrysolepis","Comanthera chrysolepis"
"Comanthera ciliata","Comanthera ciliata"
"Comanthera ciliolata","Comanthera ciliata"
"Comanthera cipoensis","Comanthera cipoensis"
"Comanthera circinnata","Comanthera circinnata"
"Comanthera circinnatus","Comanthera circinnata"
"Comanthera comosus","Comanthera cipoensis"
"Comanthera crispus itacambirensis",NA
"Comanthera crispus",NA
"Comanthera curralensis harleyi",NA
"Comanthera curralensis","Comanthera curralensis"
"Comanthera curralensis paucifolius",NA
"Comanthera dealbata","Comanthera dealbata"
"Comanthera dealbatus minor",NA
"Comanthera dealbatus","Comanthera dealbata"
"Comanthera dealdata","Comanthera dealbata"
"Comanthera eburneus","Comanthera euschemus"
"Comanthera elegans canescens",NA
"Comanthera elegans elanatus",NA
"Comanthera elegans","Comanthera elegans"
"Comanthera elegantula","Comanthera elegantula"
"Comanthera elegantulus glaziovii",NA
"Comanthera elegantulus","Comanthera elegantula"
"Comanthera ensifolius",NA
"Comanthera erectifolius",NA
"Comanthera eriopus appressa",NA
