taxa,suggested,corrected,obs
Diplusodon adpressipilus,Diplusodon adpressipilus,Diplusodon adpressipilus,
Diplusodon aggregatifolius,Diplusodon aggregatifolius,Diplusodon aggregatifolius,
Diplusodon alatus,Diplusodon alatus,Diplusodon alatus,
Diplusodon appendiculosos,Diplusodon appendiculosus,Diplusodon appendiculosus,
Diplusodon appendiculosus,Diplusodon appendiculosus,Diplusodon appendiculosus,
Diplusodon argenteus,Diplusodon argenteus,Diplusodon argenteus,
Diplusodon argyrophyllus,Diplusodon argyrophyllus,Diplusodon argyrophyllus,
Diplusodon astictus,Diplusodon astictus,Diplusodon astictus,
Diplusodon bahiensis,Diplusodon bahiensis,Diplusodon bahiensis,
Diplusodon bolivianus,Diplusodon bolivianus,Diplusodon bolivianus,
Diplusodon bradei,Diplusodon bradei,Diplusodon bradei,
Diplusodon burchellii,Diplusodon burchellii,Diplusodon burchellii,
Diplusodon burchellli,Diplusodon burchellii,Diplusodon burchellii,
Diplusodon buxifolius,Diplusodon buxifolius,Diplusodon buxifolius,
Diplusodon buxifolius naudini,Diplusodon buxifolius var. naudini,Diplusodon buxifolius var. naudini,
Diplusodon caesariatus,Diplusodon caesariatus,Diplusodon caesariatus,
Diplusodon canastrensis,Diplusodon canastrensis,Diplusodon canastrensis,
Diplusodon candollei,Diplusodon candollei,Diplusodon candollei,
Diplusodon capitalensis,Diplusodon capitalensis,Diplusodon capitalensis,
Diplusodon capitatus,Diplusodon capitatus,Diplusodon capitatus,
Diplusodon chapadensis,Diplusodon chapadensis,Diplusodon chapadensis,
Diplusodon ciliatiflorus,Diplusodon ciliatiflorus,Diplusodon ciliatiflorus,
Diplusodon ciliatus,Diplusodon capitatus,,no reference for Diplusodon ciliatus; check further
Diplusodon ciliiflorus,Diplusodon ciliiflorus,Diplusodon ciliiflorus,
Diplusodon cordifolius,Diplusodon cordifolius,Diplusodon cordifolius,
Diplusodon crulsianus,Diplusodon crulsianus,Diplusodon crulsianus,
Diplusodon cryptanthus,Diplusodon cryptanthus,Diplusodon cryptanthus,
Diplusodon decussatus,Diplusodon decussatus,Diplusodon decussatus,
Diplusodon divaricatus,Diplusodon divaricatus,Diplusodon divaricatus,
Diplusodon epilobioides,Diplusodon epilobioides,Diplusodon epilobioides,
Diplusodon ericoides,Diplusodon ericoides,Diplusodon ericoides,
Diplusodon fastigiatus,Diplusodon fastigiatus,Diplusodon fastigiatus,
Diplusodon floribundus,Diplusodon floribundus,Diplusodon floribundus,
Diplusodon foliosus,Diplusodon foliosus,Diplusodon foliosus,
Diplusodon glaucescens,Diplusodon glaucescens,Diplusodon glaucescens,
Diplusodon glaziovii,Diplusodon glaziovii,Diplusodon glaziovii,
Diplusodon glaziovii ovalifolius,NA,Diplusodon glaziovii,
Diplusodon glocimarii,Diplusodon glocimarii,Diplusodon glocimarii,
Diplusodon gracilis,Diplusodon gracilis,Diplusodon gracilis,
Diplusodon gracilis ulei,Diplusodon gracilis var. ulei,Diplusodon gracilis var. ulei,
Diplusodon gracilis var. ulei,Diplusodon gracilis var. ulei,Diplusodon gracilis var. ulei,
Diplusodon grahamae,Diplusodon grahamae,Diplusodon grahamae,
Diplusodon grahameae,Diplusodon grahamae,Diplusodon grahamae,
Diplusodon hatschbachii,Diplusodon hatschbachii,Diplusodon hatschbachii,
Diplusodon helianthemifolius helianthemifolius,Diplusodon helianthemifolius var. helianthemifolius,Diplusodon helianthemifolius var. helianthemifolius,
Diplusodon helianthemifolius,Diplusodon helianthemifolius,Diplusodon helianthemifolius,
Diplusodon helianthemifolius pemphoides,Diplusodon helianthemifolius var. pemphoides,Diplusodon helianthemifolius var. pemphoides,
Diplusodon helianthemifolius var pemphoides,Diplusodon helianthemifolius var. pemphoides,Diplusodon helianthemifolius var. pemphoides,
Diplusodon helianthenifolius,Diplusodon helianthemifolius,Diplusodon helianthemifolius,
Diplusodon heringerii,Diplusodon heringeri,Diplusodon heringeri,
Diplusodon heringeri,Diplusodon heringeri,Diplusodon heringeri,
Diplusodon hexander angustifolium,NA,Diplusodon hexander var. angustifolius,
Diplusodon hexander angustifolius,NA,Diplusodon hexander var. angustifolius,
Diplusodon hexander hexander,NA,Diplusodon hexander,
Diplusodon hexander,Diplusodon hexander,Diplusodon hexander,
Diplusodon hirsutus microphyllus,NA,,check further
Diplusodon hirsutus,Diplusodon hirsutus,Diplusodon hirsutus,
Diplusodon humilis,Diplusodon humilis,Diplusodon humilis,
Diplusodon imbricatus,Diplusodon imbricatus,Diplusodon imbricatus,
Diplusodon incanus hirtellus,Diplusodon incanus var. hirtellus,Diplusodon incanus var. hirtellus,
Diplusodon incanus incanus,NA,,check further;  Diplusodon incanus? 
Diplusodon incanus,Diplusodon incanus,Diplusodon incanus,
Diplusodon irwinii,Diplusodon irwinii,Diplusodon irwinii,
Diplusodon kielmeyeroides kielmeyeroides,Diplusodon kielmeyeroides var. kielmeyeroides,Diplusodon kielmeyeroides var. kielmeyeroides,
Diplusodon kielmeyeroides macrocalyx,Diplusodon kielmeyeroides var. macrocalyx,Diplusodon kielmeyeroides var. macrocalyx,
Diplusodon kielmeyeroides,Diplusodon kielmeyeroides,Diplusodon kielmeyeroides,
Diplusodon koehnei,Diplusodon koehnei,Diplusodon koehnei,
Diplusodon lanceolatus,Diplusodon lanceolatus,Diplusodon lanceolatus,
Diplusodon leucocalycinus,Diplusodon leucocalycinus,Diplusodon leucocalycinus,
Diplusodon longipes,Diplusodon longipes,Diplusodon longipes,
Diplusodon lythroides,Diplusodon lythroides,Diplusodon villosissimus,
Diplusodon macrodon,Diplusodon macrodon,Diplusodon macrodon,
Diplusodon marginatus,Diplusodon marginatus,Diplusodon marginatus,
Diplusodon mattogrossensis,Diplusodon mattogrossensis,Diplusodon mattogrossensis,
Diplusodon micromerus,Diplusodon micromerus,Diplusodon micromerus,
Diplusodon microphyllus,Diplusodon microphyllus,Diplusodon microphyllus,
Diplusodon minasensis,Diplusodon minasensis,Diplusodon minasensis,
Diplusodon mononeuros,Diplusodon mononeuros,Diplusodon mononeuros,
Diplusodon myrsinites,Diplusodon myrsinites,Diplusodon myrsinites,
Diplusodon myrsinitis,Diplusodon myrsinites,Diplusodon myrsinites,
Diplusodon nigricans,Diplusodon nigricans,Diplusodon nigricans,
Diplusodon nitidus,Diplusodon nitidus,Diplusodon nitidus,
Diplusodon oblongus angustifolius,Diplusodon oblongus var. angustifolius,Diplusodon oblongus var. angustifolius,
Diplusodon oblongus,Diplusodon oblongus,Diplusodon oblongus,
Diplusodon oblongus oblongus,Diplusodon oblongus var. oblongus,Diplusodon oblongus var. oblongus,
Diplusodon oblongus pemphoides,NA,,check further
Diplusodon orbicularis,Diplusodon orbicularis,Diplusodon orbicularis,
Diplusodon ovatus,Diplusodon ovatus,Diplusodon ovatus,
Diplusodon panniculatus,Diplusodon panniculatus,Diplusodon panniculatus,
Diplusodon paraisoensis,Diplusodon paraisoensis,Diplusodon paraisoensis,
Diplusodon parvifolius,Diplusodon parvifolius,Diplusodon parvifolius,
Diplusodon pemphoides,Diplusodon pemphoides,Diplusodon pemphoides,
Diplusodon petiolatus,Diplusodon petiolatus,Diplusodon petiolatus,
Diplusodon plumbeus,Diplusodon plumbeus,Diplusodon plumbeus,
Diplusodon psammophilus,Diplusodon psammophilus,Diplusodon psammophilus,
