id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
11640,Habenaria achalensis Kraenzl.,NA,Orchidaceae,species,accepted,Habenaria achalensis,VU,,Habenaria achalensis,Erva,Terrícola,Campo de Altitude|Campo Limpo,Cerrado|Mata Atlântica,Habenaria achalensis
NA,NA,NA,NA,NA,NA,NA,NA,not found,Habenaria achnantha gracilior,NA,NA,NA,NA,Habenaria achnantha
37648,Habenaria achnantha Rchb.f.,NA,Orchidaceae,species,accepted,Habenaria achnantha,NA,,Habenaria achnantha,Erva,Terrícola,Campo de Altitude|Campo Limpo,Cerrado|Mata Atlântica,Habenaria achnantha
11641,Habenaria alpestris Cogn.,NA,Orchidaceae,species,accepted,Habenaria alpestris,NA,,Habenaria alpestris,Erva,Terrícola,Campo Limpo|Campo rupestre,Amazônia|Cerrado|Mata Atlântica,Habenaria alpestris
37651,Habenaria amambayensis Schltr.,NA,Orchidaceae,species,accepted,Habenaria amambayensis,NA,was misspelled,Habenaria amambaiensis,Erva,Terrícola,Savana Amazônica,Amazônia|Cerrado,Habenaria amambayensis
37651,Habenaria amambayensis Schltr.,NA,Orchidaceae,species,accepted,Habenaria amambayensis,NA,,Habenaria amambayensis,Erva,Terrícola,Savana Amazônica,Amazônia|Cerrado,Habenaria amambayensis
11710,Habenaria schwackei Barb.Rodr.,NA,Orchidaceae,species,accepted,Habenaria schwackei,LC,replaced synonym,Habenaria amazonica,Erva,Terrícola,Campinarana|Campo Limpo|Cerrado (lato sensu)|Savana Amazônica,Amazônia|Cerrado|Mata Atlântica,Habenaria schwackei
11651,Habenaria cryptophila Barb.Rodr.,NA,Orchidaceae,species,accepted,Habenaria cryptophila,NA,replaced synonym,Habenaria anaplectron,Erva,Terrícola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos,Caatinga|Cerrado|Mata Atlântica,Habenaria cryptophila
NA,NA,NA,NA,NA,NA,NA,NA,not found,Habenaria anisitis,NA,NA,NA,NA,Habenaria anisitsii
31886,Habenaria anisitsii Kraenzl.,NA,Orchidaceae,species,accepted,Habenaria anisitsii,NA,,Habenaria anisitsii,Erva,Terrícola,Campo Limpo,Cerrado,Habenaria anisitsii
