"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
11640,"Habenaria achalensis Kraenzl.",NA,"Orchidaceae","species","accepted","Habenaria achalensis","VU","","Habenaria achalensis","Erva","Terrícola","Campo de Altitude|Campo Limpo","Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria achnantha gracilior",NA,NA,NA,NA
37648,"Habenaria achnantha Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria achnantha",NA,"","Habenaria achnantha","Erva","Terrícola","Campo de Altitude|Campo Limpo","Cerrado|Mata Atlântica"
11641,"Habenaria alpestris Cogn.",NA,"Orchidaceae","species","accepted","Habenaria alpestris",NA,"","Habenaria alpestris","Erva","Terrícola","Campo Limpo|Campo rupestre","Amazônia|Cerrado|Mata Atlântica"
37651,"Habenaria amambayensis Schltr.",NA,"Orchidaceae","species","accepted","Habenaria amambayensis",NA,"was misspelled","Habenaria amambaiensis","Erva","Terrícola","Savana Amazônica","Amazônia|Cerrado"
37651,"Habenaria amambayensis Schltr.",NA,"Orchidaceae","species","accepted","Habenaria amambayensis",NA,"","Habenaria amambayensis","Erva","Terrícola","Savana Amazônica","Amazônia|Cerrado"
11710,"Habenaria schwackei Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria schwackei","LC","replaced synonym","Habenaria amazonica","Erva","Terrícola","Campinarana|Campo Limpo|Cerrado (lato sensu)|Savana Amazônica","Amazônia|Cerrado|Mata Atlântica"
11651,"Habenaria cryptophila Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria cryptophila",NA,"replaced synonym","Habenaria anaplectron","Erva","Terrícola","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos","Caatinga|Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria anisitis",NA,NA,NA,NA
31886,"Habenaria anisitsii Kraenzl.",NA,"Orchidaceae","species","accepted","Habenaria anisitsii",NA,"","Habenaria anisitsii","Erva","Terrícola","Campo Limpo","Cerrado"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria anistis",NA,NA,NA,NA
11650,"Habenaria crucifera Rchb.f. & Warm.",NA,"Orchidaceae","species","accepted","Habenaria crucifera","DD","replaced synonym","Habenaria aphylla","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
31888,"Habenaria araneiflora Barb.Rodr.",NA,"Orchidaceae","species","accepted","Habenaria araneiflora",NA,"","Habenaria araneiflora","Erva","Terrícola","Campo Limpo|Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos","Cerrado|Mata Atlântica"
11702,"Habenaria repens Nutt.",NA,"Orchidaceae","species","accepted","Habenaria repens",NA,"replaced synonym","Habenaria aranifera","Erva","Terrícola","Campo de Várzea|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Aquática","Amazônia|Caatinga|Cerrado|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Habenaria arechavaletae elata",NA,NA,NA,NA
11689,"Habenaria montevidensis Spreng.",NA,"Orchidaceae","species","accepted","Habenaria montevidensis",NA,"replaced synonym","Habenaria arechavaletae","Erva","Terrícola","Campo de Altitude|Campo Limpo","Mata Atlântica"
31889,"Habenaria aricaensis Hoehne",NA,"Orchidaceae","species","accepted","Habenaria aricaensis",NA,"","Habenaria aricaensis","Erva","Terrícola","Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria","Amazônia|Cerrado"
11644,"Habenaria armata Rchb.f.",NA,"Orchidaceae","species","accepted","Habenaria armata","LC","","Habenaria armata","Erva","Terrícola","Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta de Terra Firme|Palmeiral","Amazônia|Cerrado|Mata Atlântica"
11680,"Habenaria leptoceras Hook.",NA,"Orchidaceae","species","accepted","Habenaria leptoceras",NA,"replaced synonym","Habenaria armondiana","Erva","Terrícola","Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)|Restinga","Amazônia|Mata Atlântica"
118440,"Habenaria avicula Schltr.",NA,"Orchidaceae","species","accepted","Habenaria avicula",NA,"","Habenaria avicula","Erva","Terrícola","Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)","Amazônia"
11645,"Habenaria ayangannensis Renz",NA,"Orchidaceae","species","accepted","Habenaria ayangannensis",NA,"","Habenaria ayangannensis","Erva","Terrícola","Campo Limpo|Campo rupestre","Cerrado|Mata Atlântica"
37652,"Habenaria bahiensis Schltr.",NA,"Orchidaceae","species","accepted","Habenaria bahiensis",NA,"","Habenaria bahiensis","Erva","Terrícola","Campo rupestre","Cerrado"
11646,"Habenaria balansae Cogn.",NA,"Orchidaceae","species","accepted","Habenaria balansae",NA,"","Habenaria balansae","Erva","Terrícola","Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria|Palmeiral","Cerrado|Mata Atlântica"
11646,"Habenaria balansae Cogn.",NA,"Orchidaceae","species","accepted","Habenaria balansae",NA,"replaced synonym","Habenaria balansaei","Erva","Terrícola","Campo Limpo|Campo rupestre|Floresta Ciliar ou Galeria|Palmeiral","Cerrado|Mata Atlântica"
