taxa,suggested,corrected,srcs
Albertinia brasiliensis,Albertinia brasiliensis,Albertinia brasiliensis,Flora do Brasil
Anteremanthus hatschbachii,Anteremanthus hatschbachii,Anteremanthus hatschbachii,Flora do Brasil
Anteremanthus piranii,Anteremanthus piranii,Anteremanthus piranii,Flora do Brasil
Blanchetia coronata,Blanchetia coronata,Blanchetia coronata,Flora do Brasil
Blanchetia heterosticha,Blanchetia heterotricha,Blanchetia heterotricha,Flora do Brasil
Blanchetia heterotricha,Blanchetia heterotricha,Blanchetia heterotricha,Flora do Brasil
Centratherum confertum,Centratherum confertum,Centratherum camporum,Flora do Brasil
Centratherum involucratum,NA,NA,
Centratherum muticum,Centratherum punctatum,Centratherum punctatum,The Plant List
Centratherum punctatum,Centratherum punctatum,Centratherum punctatum,The Plant List
Centratherum punctatum parviflorum,NA,Centratherum punctatum,The Plant List
Centratherum punctatum punctatum,NA,Centratherum punctatum,The Plant List
Centratherum repens,NA,Centratherum repens,Loueille & Pirani (Phytotaxa)
Chresta aff. exsucca,Chresta aff. exsucca,NA,
Chresta amplexifolia,Chresta amplexifolia,Chresta amplexifolia,The Plant List
Chresta angustifolia,Chresta angustifolia,Chresta angustifolia,The Plant List
Chresta angustifolium,Chresta angustifolia,Chresta angustifolia,The Plant List
Chresta angustifolius,Chresta angustifolia,Chresta angustifolia,The Plant List
Chresta cordata,Chresta cordata,Chresta sphaerocephala,The Plant List
Chresta curumbensis,Chresta curumbensis,Chresta curumbensis,The Plant List
Chresta exsucca,Chresta exsucca,Chresta exsucca,The Plant List
Chresta exsuccus,Chresta exsucca,Chresta exsucca,The Plant List
Chresta filicifolia,Chresta filicifolia,Chresta filicifolia,Flora do Brasil
Chresta harleyi,Chresta harleyi,Chresta harleyi,The Plant List
Chresta harmsianus,NA,NA,
Chresta hatschbachii,Chresta hatschbachii,Chresta hatschbachii,Flora do Brasil
Chresta imbricatus,NA,NA,
Chresta martii,Chresta martii,Chresta martii,The Plant List
Chresta pacourinoides capitata,NA,NA,
Chresta pacourinoides,Chresta pacourinoides,Chresta pacourinoides,Flora do Brasil
Chresta pinnatifida,Chresta pinnatifida,Chresta pinnatifida,The Plant List
Chresta pinnatifidum,Chresta pinnatifida,Chresta pinnatifida,The Plant List
Chresta plantaginifolia,Chresta plantaginifolia,Chresta plantaginifolia,The Plant List
Chresta plantaginifolium,Chresta plantaginifolia,Chresta plantaginifolia,The Plant List
Chresta plantaginifolius,Chresta plantaginifolia,Chresta plantaginifolia,The Plant List
Chresta purpureus,NA,NA,
Chresta pycnocephala,Chresta pycnocephala,Chresta pycnocephala,The Plant List
Chresta pycnocephalus,Chresta pycnocephala,Chresta pycnocephala,The Plant List
Chresta rivularis,Cypella rivularis,NA,
Chresta scapigera,Chresta scapigera,Chresta scapigera,The Plant List
Chresta scapigerus,Chresta scapigera,Chresta scapigera,The Plant List
Chresta souzae,Chresta souzae,Chresta souzae,The Plant List
Chresta speciosa,Chresta speciosa,Chresta speciosa,The Plant List
Chresta speciosus,Chresta speciosa,Chresta speciosa,The Plant List
Chresta sphaeocephala,Chresta sphaerocephala,Chresta sphaerocephala,The Plant List
Chresta sphaerocephala,Chresta sphaerocephala,Chresta sphaerocephala,The Plant List
Chresta sphaerocephalus,Chresta sphaerocephala,Chresta sphaerocephala,The Plant List
Chresta spherocephala,Chresta sphaerocephala,Chresta sphaerocephala,The Plant List
Chresta spherochepala,Chresta sphaerocephala,Chresta sphaerocephala,The Plant List
Chresta subverticillata,NA,Chresta subverticillata,Flora do Brasil
Chronopappus bifrons,Chronopappus bifrons,Chronopappus bifrons,The Plant List
Chronopappus lanatus,NA,Chronopappus lanatus,Flora do Brasil
Elephantopus angustifolius,Elephantopus angustifolius,Orthopappus angustifolius,The Plant List
Elephantopus biflorus,Elephantopus biflorus,Elephantopus biflorus,The Plant List
Elephantopus cf. mollis,Elephantopus cf. mollis,NA,
Elephantopus curtiflora,Elephantopus hirtiflorus,NA,
Elephantopus elongatus,Elephantopus elongatus,Elephantopus elongatus,The Plant List
Elephantopus erectus,Elephantopus erectus,Elephantopus erectus,The Plant List
Elephantopus hintifloris,Elephantopus hirtiflorus,Elephantopus hirtiflorus,The Plant List
Elephantopus hirtiflorus,Elephantopus hirtiflorus,Elephantopus hirtiflorus,The Plant List
Elephantopus hirtifolius,Elephantopus hirtiflorus,Elephantopus hirtiflorus,The Plant List
Elephantopus micropappus,Elephantopus micropappus,Elephantopus micropappus,The Plant List
Elephantopus mollis,Elephantopus mollis,Elephantopus mollis,The Plant List
Elephantopus palustris,Elephantopus palustris,Elephantopus palustris,The Plant List
Elephantopus racemosus,Elephantopus racemosus,Elephantopus palustris,The Plant List
Elephantopus riparius,Elephantopus riparius,Elephantopus palustris,The Plant List
Eremanthus aff. incanus,Eremanthus aff. incanus,NA,
Eremanthus angustifolius,Eremanthus angustifolius,Chresta angustifolia,The Plant List
Eremanthus arborea,Eremanthus arboreus,Eremanthus arboreus,The Plant List
Eremanthus arboreus,Eremanthus arboreus,Eremanthus arboreus,The Plant List
Eremanthus argenteus,Eremanthus argenteus,Eremanthus argenteus,The Plant List
Eremanthus atkinsiae,NA,NA,
Eremanthus auriculatus,Eremanthus auriculatus,Eremanthus auriculatus,The Plant List
Eremanthus bicolor,Eremanthus bicolor,Eremanthus bicolor,The Plant List
Eremanthus brasiliensis,Eremanthus brasiliensis,Eremanthus brasiliensis,The Plant List
Eremanthus brevifolius,Eremanthus brevifolius,Eremanthus brevifolius,Flora do Brasil
Eremanthus capitatus,Eremanthus capitatus,Eremanthus capitatus,The Plant List
Eremanthus cinctus,Eremanthus cinctus,Eremanthus cinctus,The Plant List
Eremanthus crotonoides,Eremanthus crotonoides,Eremanthus crotonoides,The Plant List
Eremanthus discolor,Eremanthus bicolor,NA,
Eremanthus elaeagnus,Eremanthus elaeagnus,Eremanthus elaeagnus,The Plant List
Eremanthus elaeagnus x glomeratus,NA,NA,
Eremanthus elaegnus,Eremanthus elaeagnus,Eremanthus elaeagnus,The Plant List
Eremanthus eleagnus,Eremanthus elaeagnus,Eremanthus elaeagnus,The Plant List
Eremanthus eriopus,Eremanthus speciosus,Prestelia eriopus,The Plant List
Eremanthus erythopappus,Eremanthus erythropappus,Eremanthus erythropappus,The Plant List
Eremanthus erythropappa,Eremanthus erythropappus,Eremanthus erythropappus,The Plant List
Eremanthus erythropappus,Eremanthus erythropappus,Eremanthus erythropappus,The Plant List
Eremanthus glaziouana,NA,NA,
Eremanthus glomeratus,Eremanthus glomerulatus,Eremanthus glomeratus,The Plant List
Eremanthus glomerulatus,Eremanthus glomerulatus,Eremanthus glomerulatus,The Plant List
Eremanthus goyazensis,Eremanthus goyazensis,Eremanthus goyazensis,The Plant List
Eremanthus graciellae,Eremanthus graciellae,Eremanthus graciellae,The Plant List
Eremanthus harleyi,Eremanthus harleyi,Eremanthus harleyi,The Plant List
Eremanthus hatschbachii,Eremanthus hatschbachii,Eremanthus hatschbachii,The Plant List
Eremanthus incana,Eremanthus incanus,NA,
Eremanthus incanum,Eremanthus incanus,Eremanthus incanus,The Plant List
Eremanthus incanus,Eremanthus incanus,Eremanthus incanus,The Plant List
Eremanthus leucodendron,Eremanthus leucodendron,Eremanthus leucodendron,The Plant List
Eremanthus martii,Eremanthus pabstii,NA,
Eremanthus mattogrossensis,Eremanthus mattogrossensis,Eremanthus mattogrossensis,The Plant List
