"taxa","suggested"
"Albertinia brasiliensis","Albertinia brasiliensis"
"Anteremanthus hatschbachii","Anteremanthus hatschbachii"
"Anteremanthus piranii","Anteremanthus piranii"
"Blanchetia coronata","Blanchetia coronata"
"Blanchetia heterosticha","Blanchetia heterotricha"
"Blanchetia heterotricha","Blanchetia heterotricha"
"Centratherum confertum","Centratherum confertum"
"Centratherum involucratum",NA
"Centratherum muticum","Centratherum punctatum"
"Centratherum punctatum","Centratherum punctatum"
"Centratherum punctatum parviflorum",NA
"Centratherum punctatum punctatum",NA
"Centratherum repens",NA
"Chresta aff. exsucca","Chresta aff. exsucca"
"Chresta amplexifolia","Chresta amplexifolia"
"Chresta angustifolia","Chresta angustifolia"
"Chresta angustifolium","Chresta angustifolia"
"Chresta angustifolius","Chresta angustifolia"
"Chresta cordata","Chresta cordata"
"Chresta curumbensis","Chresta curumbensis"
"Chresta exsucca","Chresta exsucca"
"Chresta exsuccus","Chresta exsucca"
"Chresta filicifolia","Chresta filicifolia"
"Chresta harleyi","Chresta harleyi"
"Chresta harmsianus",NA
"Chresta hatschbachii","Chresta hatschbachii"
"Chresta imbricatus",NA
"Chresta martii","Chresta martii"
"Chresta pacourinoides capitata",NA
"Chresta pacourinoides","Chresta pacourinoides"
"Chresta pinnatifida","Chresta pinnatifida"
"Chresta pinnatifidum","Chresta pinnatifida"
"Chresta plantaginifolia","Chresta plantaginifolia"
"Chresta plantaginifolium","Chresta plantaginifolia"
"Chresta plantaginifolius","Chresta plantaginifolia"
"Chresta purpureus",NA
"Chresta pycnocephala","Chresta pycnocephala"
"Chresta pycnocephalus","Chresta pycnocephala"
"Chresta rivularis","Cypella rivularis"
"Chresta scapigera","Chresta scapigera"
"Chresta scapigerus","Chresta scapigera"
"Chresta souzae","Chresta souzae"
"Chresta speciosa","Chresta speciosa"
"Chresta speciosus","Chresta speciosa"
"Chresta sphaeocephala","Chresta sphaerocephala"
"Chresta sphaerocephala","Chresta sphaerocephala"
"Chresta sphaerocephalus","Chresta sphaerocephala"
"Chresta spherocephala","Chresta sphaerocephala"
"Chresta spherochepala","Chresta sphaerocephala"
"Chresta subverticillata",NA
"Chronopappus bifrons","Chronopappus bifrons"
"Chronopappus lanatus",NA
"Elephantopus angustifolius","Elephantopus angustifolius"
"Elephantopus biflorus","Elephantopus biflorus"
"Elephantopus cf. mollis","Elephantopus cf. mollis"
"Elephantopus curtiflora","Elephantopus hirtiflorus"
"Elephantopus elongatus","Elephantopus elongatus"
"Elephantopus erectus","Elephantopus erectus"
"Elephantopus hintifloris","Elephantopus hirtiflorus"
"Elephantopus hirtiflorus","Elephantopus hirtiflorus"
"Elephantopus hirtifolius","Elephantopus hirtiflorus"
"Elephantopus micropappus","Elephantopus micropappus"
"Elephantopus mollis","Elephantopus mollis"
"Elephantopus palustris","Elephantopus palustris"
"Elephantopus racemosus","Elephantopus racemosus"
"Elephantopus riparius","Elephantopus riparius"
"Eremanthus aff. incanus","Eremanthus aff. incanus"
"Eremanthus angustifolius","Eremanthus angustifolius"
"Eremanthus arborea","Eremanthus arboreus"
"Eremanthus arboreus","Eremanthus arboreus"
"Eremanthus argenteus","Eremanthus argenteus"
"Eremanthus atkinsiae",NA
"Eremanthus auriculatus","Eremanthus auriculatus"
"Eremanthus bicolor","Eremanthus bicolor"
"Eremanthus brasiliensis","Eremanthus brasiliensis"
"Eremanthus brevifolius","Eremanthus brevifolius"
"Eremanthus capitatus","Eremanthus capitatus"
"Eremanthus cinctus","Eremanthus cinctus"
"Eremanthus crotonoides","Eremanthus crotonoides"
"Eremanthus discolor","Eremanthus bicolor"
"Eremanthus elaeagnus","Eremanthus elaeagnus"
"Eremanthus elaeagnus x glomeratus",NA
"Eremanthus elaegnus","Eremanthus elaeagnus"
"Eremanthus eleagnus","Eremanthus elaeagnus"
"Eremanthus eriopus","Eremanthus speciosus"
"Eremanthus erythopappus","Eremanthus erythropappus"
"Eremanthus erythropappa","Eremanthus erythropappus"
"Eremanthus erythropappus","Eremanthus erythropappus"
"Eremanthus glaziouana",NA
"Eremanthus glomeratus","Eremanthus glomerulatus"
"Eremanthus glomerulatus","Eremanthus glomerulatus"
"Eremanthus goyazensis","Eremanthus goyazensis"
"Eremanthus graciellae","Eremanthus graciellae"
"Eremanthus harleyi","Eremanthus harleyi"
"Eremanthus hatschbachii","Eremanthus hatschbachii"
"Eremanthus incana","Eremanthus incanus"
"Eremanthus incanum","Eremanthus incanus"
"Eremanthus incanus","Eremanthus incanus"
"Eremanthus leucodendron","Eremanthus leucodendron"
"Eremanthus martii","Eremanthus pabstii"
"Eremanthus mattogrossensis","Eremanthus mattogrossensis"
"Eremanthus mollis","Eremanthus mollis"
"Eremanthus ovatifolius","Eremanthus ovatifolius"
"Eremanthus pabstii","Eremanthus pabstii"
"Eremanthus panduraefolius","Eremanthus pandurifolius"
"Eremanthus pandurifolius","Eremanthus pandurifolius"
"Eremanthus pannosa","Eremanthus pannosus"
"Eremanthus pannosus","Eremanthus pannosus"
"Eremanthus patriciana",NA
"Eremanthus plantaginifolius","Eremanthus plantaginifolius"
"Eremanthus pohlii","Eremanthus pohlii"
"Eremanthus polycephalus","Eremanthus polycephalus"
"Eremanthus pycnocephalus","Eremanthus pycnocephalus"
