"id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","original.search","life.form","habitat","vegetation.type","domain"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Aciotis acuminata",NA,NA,NA,NA
19603,"Aciotis acuminifolia (Mart. ex DC.) Triana",NA,"Melastomataceae","species","accepted","Aciotis acuminifolia",NA,"","Aciotis acuminifolia","Erva","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)|Savana Amazônica","Amazônia|Cerrado|Mata Atlântica"
9390,"Aciotis indecora (Bonpl.) Triana",NA,"Melastomataceae","species","accepted","Aciotis indecora",NA,"replaced synonym","Aciotis acutiflora","Erva|Subarbusto","Terrícola","Campinarana|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Aciotis amazonica radicans",NA,NA,NA,NA
19604,"Aciotis annua (Mart. ex DC.) Triana",NA,"Melastomataceae","species","accepted","Aciotis annua",NA,"","Aciotis annua","Erva|Subarbusto","Terrícola","Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta de Igapó|Floresta de Terra Firme","Amazônia|Cerrado"
9392,"Aciotis paludosa (Mart. ex DC.) Triana",NA,"Melastomataceae","species","accepted","Aciotis paludosa",NA,"replaced synonym","Aciotis brachybotrya","Erva","Terrícola","Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista","Cerrado|Mata Atlântica"
9393,"Aciotis rubricaulis (Mart. ex DC.) Triana",NA,"Melastomataceae","species","accepted","Aciotis rubricaulis",NA,"replaced synonym","Aciotis caulialata","Arbusto|Erva|Subarbusto","Terrícola","Área Antrópica|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Mata Atlântica"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Aciotis circaeifolia major",NA,NA,NA,NA
85166,"Aciotis circaeifolia (Bonpl.) Triana",NA,"Melastomataceae","species","accepted","Aciotis circaeifolia",NA,"","Aciotis circaeifolia","Erva|Subarbusto","Terrícola","Campo de Várzea|Floresta de Terra Firme|Floresta de Várzea","Amazônia"
NA,NA,NA,NA,NA,NA,NA,NA,"not found","Aciotis dichotoma longifolia",NA,NA,NA,NA
19603,"Aciotis acuminifolia (Mart. ex DC.) Triana",NA,"Melastomataceae","species","accepted","Aciotis acuminifolia",NA,"replaced synonym","Aciotis dichotoma","Erva","Terrícola","Área Antrópica|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)|Savana Amazônica","Amazônia|Cerrado|Mata Atlântica"
85169,"Aciotis ferreirana Brade",NA,"Melastomataceae","species","accepted","Aciotis ferreirana",NA,"","Aciotis ferreirana","Erva","Terrícola","Floresta de Várzea","Amazônia"
9390,"Aciotis indecora (Bonpl.) Triana",NA,"Melastomataceae","species","accepted","Aciotis indecora",NA,"","Aciotis indecora","Erva|Subarbusto","Terrícola","Campinarana|Floresta de Terra Firme|Floresta de Várzea|Floresta Ombrófila (= Floresta Pluvial)","Amazônia|Mata Atlântica"
