taxa,suggested,corrected,obs
Mimosa 0debilis 00,Mimosa debilis,Mimosa debilis,
Mimosa 0hapaloclada 00,Mimosa hapaloclada,Mimosa hapaloclada,
Mimosa 0subsericea 00,Mimosa subsericea,Mimosa subsericea,
Mimosa accedens,Mimosa accedens,Mimosa accedens,
Mimosa acroconica,Mimosa acroconica,Mimosa acroconica,
Mimosa acustipula,Mimosa acutistipula,Mimosa acutistipula,
Mimosa acutistipula acustitipula,Mimosa acutistipula var. acutistipula,Mimosa acutistipula var. acutistipula,
Mimosa acutistipula acutistipula,Mimosa acutistipula var. acutistipula,Mimosa acutistipula var. acutistipula,
Mimosa acutistipula ferrea,Mimosa acutistipula var. ferrea,Mimosa acutistipula var. ferrea,
Mimosa acutistipula,Mimosa acutistipula,Mimosa acutistipula,
Mimosa adamantina adamantina,Mimosa adamantina var. adamantina,Mimosa adamantina var. adamantina,
Mimosa adamantina hebecarpa,Mimosa adamantina var. hebecarpa,Mimosa adamantina var. hebecarpa,
Mimosa adamantina,Mimosa adamantina,Mimosa adamantina,
Mimosa adamantina var. adamantina,Mimosa adamantina var. adamantina,Mimosa adamantina var. adamantina,
Mimosa adamantina var. hebecarpa,Mimosa adamantina var. hebecarpa,Mimosa adamantina var. hebecarpa,
Mimosa adenocarpa,Mimosa adenocarpa,Mimosa adenocarpa,
Mimosa adenophylla adenophylla,Mimosa adenophylla var. adenophylla,Mimosa adenophylla var. adenophylla,
Mimosa adenophylla armandiana,Mimosa adenophylla var. armandiana,Mimosa adenophylla var. armandiana,
Mimosa adenophylla mitis,Mimosa adenophylla var. mitis,Mimosa adenophylla var. mitis,
Mimosa adenophylla,Mimosa adenophylla,Mimosa adenophylla,
Mimosa adenotricha,Mimosa adenotricha,Mimosa adenotricha,
Mimosa adpressa,Mimosa adpressa,Mimosa adpressa,
Mimosa aff.claussenii,Mimosa aff. claussenii,Mimosa aff. claussenii,
Mimosa aff. setosa,Mimosa aff. setosa,Mimosa aff. setosa,
Mimosa aguapeia,Mimosa aguapeia,Mimosa aguapeia,
Mimosa albida albida,NA,Mimosa albida,synonym of Mimosa albida
Mimosa albida,Mimosa rigida,Mimosa albida,incorrect suggestion; accepted name
Mimosa albolanata albolanata,Mimosa albolanata var. albolanata,Mimosa albolanata var. albolanata,
Mimosa albolanata brasiliana,Mimosa albolanata var. brasiliana,Mimosa albolanata var. brasiliana,
Mimosa albolanata grossiceps,Mimosa albolanata var. grossiceps,Mimosa albolanata var. grossiceps,
Mimosa albolanata,Mimosa albolanata,Mimosa albolanata,
Mimosa albolanata paucipinna,Mimosa albolanata var. paucipinna,Mimosa albolanata var. paucipinna,
Mimosa albolanata var. brasiliana,Mimosa albolanata var. brasiliana,Mimosa albolanata var. brasiliana,
Mimosa albolanata var. grossiceps,Mimosa albolanata var. grossiceps,Mimosa albolanata var. grossiceps,
Mimosa alleniana,Mimosa alleniana,Mimosa alleniana,
Mimosa amnis-astri,Mimosa amnis-atri,Mimosa amnis-atri,
Mimosa amnis-atri,Mimosa amnis-atri,Mimosa amnis-atri,
Mimosa antrorsa,Mimosa antrorsa,Mimosa antrorsa,
Mimosa apodocarpa,Mimosa apodocarpa,Mimosa apodocarpa,
Mimosa arachnoides,Mimosa ursinoides,Mimosa ursinoides,
Mimosa arenosa arenosa,Mimosa arenosa var. arenosa,Mimosa arenosa var. arenosa,
Mimosa arenosa leiocarpa,NA,Mimosa arenosa var. leiocarpa,check this further
Mimosa arenosa lysagica,Mimosa arenosa var. lysalgica,Mimosa arenosa var. lysalgica,
Mimosa arenosa lysalgica,Mimosa arenosa var. lysalgica,Mimosa arenosa var. lysalgica,
Mimosa arenosa,Mimosa arenosa,Mimosa arenosa,
Mimosa arenosa var. arenosa,Mimosa arenosa var. arenosa,Mimosa arenosa var. arenosa,
Mimosa artemisiana,Mimosa artemisiana,Mimosa artemisiana,
Mimosa artrorsa,Mimosa antrorsa,Mimosa antrorsa,
Mimosa atlantica,Mimosa atlantica,Mimosa atlantica,
Mimosa auriberbis,Mimosa auriberbis,Mimosa auriberbis,
Mimosa aurivilla sordescens,Mimosa aurivillus var. sordescens,Mimosa aurivillus var. sordescens,
Mimosa aurivillus aurivillus,Mimosa aurivillus var. aurivillus,Mimosa aurivillus var. aurivillus,
Mimosa aurivillus calothamnoides,Mimosa aurivillus var. calothamnoides,Mimosa aurivillus var. calothamnoides,
Mimosa aurivillus calothamnos,Mimosa aurivillus var. calothamnos,Mimosa aurivillus var. calothamnos,
Mimosa aurivillus,Mimosa aurivillus,Mimosa aurivillus,
Mimosa aurivillus sordescens,Mimosa aurivillus var. sordescens,Mimosa aurivillus var. sordescens,
Mimosa aurivillus var. calothamnoides,Mimosa aurivillus var. calothamnoides,Mimosa aurivillus var. calothamnoides,
Mimosa balduinii,Mimosa balduinii,Mimosa balduinii,
Mimosa barbigera,Mimosa barbigera,Mimosa barbigera,
Mimosa barnebiana,Mimosa barnebiana,Mimosa barnebiana,
Mimosa barretoi,Mimosa barretoi,Mimosa barretoi,
Mimosa bathyrrhena,Mimosa bathyrrhena,Mimosa bathyrrhena,
Mimosa bifurca desmanthoides,Mimosa bifurca var. desmantioides,Mimosa bifurca var. desmantioides,
Mimosa bimucronata bimucronata,Mimosa bimucronata var. bimucronata,Mimosa bimucronata var. bimucronata,
Mimosa bimucronata bimucronota,Mimosa bimucronata var. bimucronata,Mimosa bimucronata var. bimucronata,
Mimosa bimucronata,Mimosa bimucronata,Mimosa bimucronata,
Mimosa bimucrunata,Mimosa bimucronata,Mimosa bimucronata,
Mimosa bipennatula,Mimosa bipennatula,Mimosa bipennatula,
Mimosa bispiculata,Mimosa bispiculata,Mimosa bispiculata,
Mimosa blanchetiana,Mimosa blanchetii,Mimosa blanchetii,check this further
Mimosa blanchetii,Mimosa blanchetii,Mimosa blanchetii,
Mimosa bombycina bombycina,Mimosa bombycina var. bombycina,Mimosa bombycina var. bombycina,
Mimosa bombycina,Mimosa bombycina,Mimosa bombycina,
Mimosa bombycina pluriceps,Mimosa bombycina var. pluriceps,Mimosa bombycina var. pluriceps,
Mimosa bonplandii,Mimosa bonplandii,Mimosa bonplandii,
Mimosa borboremae,Mimosa borboremae,Mimosa borboremae,
Mimosa brachycarpa,Mimosa brachycarpa,Mimosa brachycarpa,
Mimosa brachystachya,Mimosa brachystachya,Mimosa brachystachya,
Mimosa bracteolaris,Mimosa bracteolaris,Mimosa bracteolaris,
Mimosa brevipes,Mimosa brevipes,Mimosa brevipes,
Mimosa brevipinna,Mimosa brevipinna,Mimosa brevipinna,
Mimosa burchellii,Mimosa burchellii,Mimosa burchellii,
Mimosa caccavariana,NA,,Santos-Silva et al. (2015); Mimosa gemmulata var. occidentalis?
Mimosa caesalpiniaefolia,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
Mimosa caesalpinifolia,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
Mimosa caliciadenia,Mimosa caliciadenia,Mimosa caliciadenia,
Mimosa calliandroides,Mimosa calliandroides,Mimosa calliandroides,
Mimosa calliandroides paucipinna,NA,,no reference for this name; check this further
Mimosa callithrix,Mimosa callithrix,Mimosa callithrix,
Mimosa calocephala,Mimosa calocephala,Mimosa calocephala,
Mimosa calodendron,Mimosa calodendron,Mimosa calodendron,
Mimosa calodendron unijuga,Mimosa calodendron var. unijuga,Mimosa calodendron var. unijuga,
Mimosa calothamnos calothamnoides,NA,,Savassi-Coutinho (2009); Mimosa aurivillus var. calothamnoides?
Mimosa calothamnos calothamnos,NA,,Savassi-Coutinho (2009); Mimosa aurivillus var. calothamnos?
Mimosa calothamnos,Mimosa calothamnos,Mimosa calothamnos,
Mimosa calothamnus,Mimosa calothamnos,Mimosa calothamnos,
Mimosa campicola campicola,Mimosa campicola var. campicola,Mimosa campicola var. campicola,
Mimosa campicola,Mimosa campicola,Mimosa campicola,
Mimosa campicola planipes,Mimosa campicola var. planipes,Mimosa campicola var. planipes,
Mimosa campicola var. planipes,Mimosa campicola var. planipes,Mimosa campicola var. planipes,
Mimosa camporum,Mimosa camporum,Mimosa camporum,
Mimosa candollei,Mimosa candollei,Mimosa candollei,
Mimosa capillipes brevifolia benth.,NA,,synonym of Mimosa gracilis subsp. capillipes var. capillipes?; check this further
Mimosa capito,Mimosa capito,Mimosa capito,
Mimosa caracenii,Mimosa claussenii,,no reference for this name; check this further
Mimosa caracensis,Mimosa maracasensis,,Savassi-Coutinho (2009); Mimosa leprosa var. parviceps?
Mimosa carvalhoi,Mimosa carvalhoi,Mimosa carvalhoi,
Mimosa carvalloi,Mimosa carvalhoi,Mimosa carvalhoi,
Mimosa cataractae,Mimosa cataractae,Mimosa cataractae,
Mimosa ceratonia interior,Mimosa ceratonia var. interior,Mimosa ceratonia var. interior,
Mimosa ceratonia,Mimosa ceratonia,Mimosa ceratonia,
Mimosa ceratonia pseudo-clavata,Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,
Mimosa ceratonia pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,
Mimosa ceratonia pseudo-ovata,Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,
Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,Mimosa ceratonia var. pseudo-obovata,
Mimosa chaetosphaera,Mimosa chaetosphaera,Mimosa chaetosphaera,
Mimosa chartostegia,Mimosa chartostegia,Mimosa chartostegia,
Mimosa chiliomera,Mimosa chiliomera,Mimosa chiliomera,
Mimosa chodatii,NA,Mimosa chodatii,accepted name
Mimosa chrysastra chrysastra,Mimosa chrysastra var. chrysastra,Mimosa chrysastra var. chrysastra,
Mimosa chrysastra,Mimosa chrysastra,Mimosa chrysastra,
Mimosa cisparanensis,Mimosa cisparanensis,Mimosa cisparanensis,
Mimosa claussenii claussenii,Mimosa claussenii var. claussenii,Mimosa claussenii var. claussenii,
Mimosa claussenii claviceps,Mimosa claussenii var. claviceps,Mimosa claussenii var. claviceps,
Mimosa claussenii corneiseta,Mimosa claussenii var. corneiseta,Mimosa claussenii var. corneiseta,
Mimosa claussenii dolichopoda,Mimosa claussenii var. dolichopoda,Mimosa claussenii var. dolichopoda,
Mimosa claussenii megistophylla,Mimosa claussenii var. megistophylla,Mimosa claussenii var. megistophylla,
Mimosa claussenii microphyllidia,Mimosa claussenii var. microphyllidia,Mimosa claussenii var. microphyllidia,
Mimosa claussenii,Mimosa claussenii,Mimosa claussenii,
Mimosa claussenii prarsiseta,Mimosa claussenii var. prorsiseta,Mimosa claussenii var. prorsiseta,
