,tip_labels,std_labels,corrected_labels,var_supressed
1,M._pithecolobioides_VFD317,Mimosa pithecolobioides,Mimosa pithecolobioides,Mimosa pithecolobioides
2,M._irrigua_MFS694,Mimosa irrigua,Mimosa irrigua,Mimosa irrigua
3,M._watsonii_MFS857,Mimosa watsonii,Mimosa watsonii,Mimosa watsonii
4,M._rufescens_rufescens_GCF596,Mimosa rufescens rufescens,Mimosa rufescens ,Mimosa rufescens 
5,M._guilandinae_guilandinae_MFP3958,Mimosa guilandinae guilandinae,Mimosa guilandinae guilandinae,Mimosa guilandinae 
6,M._colombiana_AMT21343,Mimosa colombiana,Mimosa colombiana,Mimosa colombiana
7,M._myriadenia_punctulata_PAR7483,Mimosa myriadenia punctulata,Mimosa myriadenia punctulata,Mimosa myriadenia
8,M._lepidophora_DC1747,Mimosa lepidophora,Mimosa lepidophora,Mimosa lepidophora
9,M._revoluta_CEH2278,Mimosa revoluta,Mimosa revoluta,Mimosa revoluta
10,M._nothacacia_GPL2353,Mimosa nothacacia,Mimosa nothacacia,Mimosa nothacacia
11,M._townsendii_GPL3025,Mimosa townsendii,Mimosa townsendii,Mimosa townsendii
12,M._torresiae_RTC10040,Mimosa torresiae,Mimosa torresiae,Mimosa torresiae
13,M._calcicola_MFS846,Mimosa calcicola,Mimosa calcicola,Mimosa calcicola
14,M._aspera_MFS817,Mimosa aspera,Mimosa aspera,Mimosa aspera
15,M._mollis_MFS850,Mimosa mollis,Mimosa mollis,Mimosa mollis
16,M._guatemalensis_MFS831,Mimosa guatemalensis,Mimosa guatemalensis,Mimosa guatemalensis
17,M._distachya_oligacantha_FK365,Mimosa distachya oligacantha,Mimosa distachya oligacantha,Mimosa distachya 
18,M._polyantha_MFS829,Mimosa polyantha,Mimosa polyantha,Mimosa polyantha
19,M._similis_MFS807,Mimosa similis,Mimosa similis,Mimosa similis
20,M._dominguensis_RCB18276,Mimosa dominguensis,Mimosa dominguensis,Mimosa dominguensis
21,M._spirocarpa_MFS825,Mimosa spirocarpa,Mimosa spirocarpa,Mimosa spirocarpa
22,M._monancistra_MFS809,Mimosa monancistra,Mimosa monancistra,Mimosa monancistra
23,M._tejupilcana_SAMA16,Mimosa tejupilcana,Mimosa tejupilcana,Mimosa tejupilcana
24,M._minutifolia_MFS810,Mimosa minutifolia,Mimosa minutifolia,Mimosa minutifolia
25,M._nanchititlana_RG2938,Mimosa nanchititlana,Mimosa nanchititlana,Mimosa nanchititlana
26,M._rhodocarpa_CEH2161,Mimosa rhodocarpa,Mimosa rhodocarpa,Mimosa rhodocarpa
27,M._adenantheroides_AMB945,Mimosa adenantheroides,Mimosa adenantheroides,Mimosa adenantheroides
28,M._texana_filipes_MFS845,Mimosa texana filipes,Mimosa texana filipes,Mimosa texana 
29,M._galleotti_MFS840,Mimosa galleotti,Mimosa galleotti,Mimosa galleotti
30,M._aculeaticarpa_MFS808,Mimosa aculeaticarpa,Mimosa aculeaticarpa,Mimosa aculeaticarpa
31,M._texana_texana_MFS803,Mimosa texana texana,Mimosa texana ,Mimosa texana 
32,M._palmeri_MFS823,Mimosa palmeri,Mimosa palmeri,Mimosa palmeri
33,M._costenya_MFS833,Mimosa costenya,Mimosa costenya,Mimosa costenya
34,M._benthami_MFS848,Mimosa benthami,Mimosa benthami,Mimosa benthami
35,M._adenantheroides_hystricosa_PT21201,Mimosa adenantheroides hystricosa,Mimosa adenantheroides hystricosa,Mimosa adenantheroides 
36,M._luisana_MFS844,Mimosa luisana,Mimosa luisana,Mimosa luisana
37,M._emoryana_RG2842,Mimosa emoryana,Mimosa emoryana,Mimosa emoryana
38,M._biuncifera_MFS805,Mimosa biuncifera,Mimosa biuncifera,Mimosa biuncifera
39,M._depauperata_MFS801,Mimosa depauperata,Mimosa depauperata,Mimosa depauperata
40,M._dysocarpa_MN296,Mimosa dysocarpa,Mimosa dysocarpa,Mimosa dysocarpa
41,M._lacerata_CEH2057,Mimosa lacerata,Mimosa lacerata,Mimosa lacerata
42,M._acantholoba_eurycarpa_SAMA28,Mimosa acantholoba eurycarpa,Mimosa acantholoba eurycarpa,Mimosa acantholoba
43,M._platycarpa_platycarpa_MFS859,Mimosa platycarpa platycarpa,Mimosa platycarpa ,Mimosa platycarpa 
44,M._acantholoba_acantholoba_RJE118,Mimosa acantholoba acantholoba,Mimosa acantholoba ,Mimosa acantholoba 
45,M._hondurana_MFS858,Mimosa hondurana,Mimosa hondurana,Mimosa hondurana
46,M._ervendbergii_EM35132,Mimosa ervendbergii,Mimosa ervendbergii,Mimosa ervendbergii
47,M._leptocarpa_LR1014,Mimosa leptocarpa,Mimosa leptocarpa,Mimosa leptocarpa
48,M._leucaenoides_SAMA8,Mimosa leucaenoides,Mimosa leucaenoides,Mimosa leucaenoides
49,M._martindelcampoi_SLCR527,Mimosa martindelcampoi,Mimosa martindelcampoi,Mimosa martindelcampoi
50,M._malacophylla_SLCR530,Mimosa malacophylla,Mimosa malacophylla,Mimosa malacophylla
51,M._purpusii_MFS841,Mimosa purpusii,Mimosa purpusii,Mimosa purpusii
52,M._zygophylla_SLCR525,Mimosa zygophylla,Mimosa zygophylla,Mimosa zygophylla
53,M._borealis_MFS873,Mimosa borealis,Mimosa borealis,Mimosa borealis
54,M._unipinnata_MAC2355,Mimosa unipinnata,Mimosa unipinnata,Mimosa unipinnata
55,M._caduca_GPL3006,Mimosa caduca,Mimosa caduca,Mimosa caduca
56,M._detinens_SANCHEZ46,Mimosa detinens,Mimosa detinens,Mimosa detinens
57,M._cf._weberbaueri_TS3070,Mimosa cf. weberbaueri,Mimosa cf. weberbaueri,Mimosa cf. weberbaueri
58,M._weberbaueri_CEH2043,Mimosa weberbaueri,Mimosa weberbaueri,Mimosa weberbaueri
59,M._montana_montana_CEH2225,Mimosa montana montana,Mimosa montana,Mimosa montana
60,M._aff._weberbauerii_TDP17903,Mimosa aff. weberbauerii,Mimosa aff. weberbauerii,Mimosa aff. weberbauerii
61,M._montana_sandemanii_RJE125,Mimosa montana sandemanii,Mimosa montana sandemanii,Mimosa montana 
62,M._quitensis_GPL2856,Mimosa quitensis,Mimosa quitensis,Mimosa quitensis
63,M._andina_GPL2271,Mimosa andina,Mimosa andina,Mimosa andina
64,M._hexandra_MFS711,Mimosa hexandra,Mimosa hexandra,Mimosa hexandra
65,M._hexandra_KFM128,Mimosa hexandra,Mimosa hexandra KFM128,Mimosa hexandra 
66,M._bahamensis_MJW132,Mimosa bahamensis,Mimosa bahamensis,Mimosa bahamensis
67,M._candollei_CEH2394,Mimosa candollei,Mimosa candollei,Mimosa candollei
68,M._quadrivalvis_quadrivalvis_SLCR532,Mimosa quadrivalvis quadrivalvis,Mimosa quadrivalvis ,Mimosa quadrivalvis 
69,M._nuttallii_MFS875,Mimosa nuttallii,Mimosa nuttallii,Mimosa nuttallii
70,M._robusta_MFS818,Mimosa robusta,Mimosa robusta,Mimosa robusta
71,M._sinaloensis_MFS828,Mimosa sinaloensis,Mimosa sinaloensis,Mimosa sinaloensis
72,M._rupertiana_RB12884,Mimosa rupertiana,Mimosa rupertiana,Mimosa rupertiana
73,M._antioquensis_isthmensis_MFS860,Mimosa antioquensis isthmensis,Mimosa antioquensis isthmensis,Mimosa antioquensis 
74,M._invisa_invisa_MFS715,Mimosa invisa invisa,Mimosa invisa,Mimosa invisa
75,M._diplotricha_diplotricha_MFS600,Mimosa diplotricha diplotricha,Mimosa diplotricha,Mimosa diplotricha
76,M._diplotricha_diplotricha_MFS877,Mimosa diplotricha diplotricha,Mimosa diplotricha  MFS877,Mimosa diplotricha
77,M._paucifolia_VFD450,Mimosa paucifolia,Mimosa paucifolia,Mimosa paucifolia
78,M._echinocaula_MFS679,Mimosa echinocaula,Mimosa echinocaula,Mimosa echinocaula
79,M._gracilis_invisiformis_MFS762,Mimosa gracilis invisiformis,Mimosa gracilis invisiformis,Mimosa gracilis 
80,M._gracilis_stipitata_MFS745,Mimosa gracilis stipitata,Mimosa gracilis stipitata,Mimosa gracilis 
81,M._gatesiae_MFS741,Mimosa gatesiae,Mimosa gatesiae,Mimosa gatesiae
82,M._campicola_planipes_MFS692,Mimosa campicola planipes,Mimosa campicola planipes,Mimosa campicola 
83,M._polydidyma_MFS719,Mimosa polydidyma,Mimosa polydidyma,Mimosa polydidyma
84,M._crumenarioides_MFS722,Mimosa crumenarioides,Mimosa crumenarioides,Mimosa crumenarioides
85,M._filipes_LPQ10058,Mimosa filipes,Mimosa filipes,Mimosa filipes
86,M._callithrix_MFS684,Mimosa callithrix,Mimosa callithrix,Mimosa callithrix
87,M._dicerastes_MFS448,Mimosa dicerastes,Mimosa dicerastes,Mimosa dicerastes
88,M._polycephala_polycephala_MFS400,Mimosa polycephala polycephala,Mimosa polycephala ,Mimosa polycephala 
89,M._vennatorum_MFS740,Mimosa vennatorum,Mimosa vennatorum,Mimosa vennatorum
90,M._vestita_MFS769,Mimosa vestita,Mimosa vestita,Mimosa vestita
91,M._skinneri_desmodioides_MFS746,Mimosa skinneri desmodioides,Mimosa skinneri desmodioides,Mimosa skinneri 
92,M._hirsutissima_grossa_LPQ12854,Mimosa hirsutissima grossa,Mimosa hirsutissima grossa,Mimosa hirsutissima 
93,M._hirsutissima_barbigera_MFS765,Mimosa hirsutissima barbigera,Mimosa hirsutissima barbigera,Mimosa hirsutissima 
94,M._pseudoradula_pseudoradula_MFS664,Mimosa pseudoradula pseudoradula,Mimosa pseudoradula ,Mimosa pseudoradula 
95,M._pyrenea_MFS678,Mimosa pyrenea,Mimosa pyrenea,Mimosa pyrenea
96,M._radula_imbricata_MFS731,Mimosa radula imbricata,Mimosa radula imbricata,Mimosa radula 
97,M._papposa_papposa_MFS601,Mimosa papposa papposa,Mimosa papposa,Mimosa papposa
98,M._virgula_MAS5134,Mimosa virgula,Mimosa virgula,Mimosa virgula
99,M._hypoglauca_hypoglauca_MFS723,Mimosa hypoglauca hypoglauca,Mimosa hypoglauca ,Mimosa hypoglauca 
100,M._cyclophyla_MFS757,Mimosa cyclophyla,Mimosa cyclophyla,Mimosa cyclophyla
101,M._lanuginosa_lanuginosa_MFS732,Mimosa lanuginosa lanuginosa,Mimosa lanuginosa,Mimosa lanuginosa
102,M._discobola_MFS744,Mimosa discobola,Mimosa discobola,Mimosa discobola
103,M._ursina_MFS704,Mimosa ursina,Mimosa ursina,Mimosa ursina
104,M._modesta_modesta_MFS708,Mimosa modesta modesta,Mimosa modesta,Mimosa modesta
105,M._honesta_MFS720,Mimosa honesta,Mimosa honesta,Mimosa honesta
106,M._pudica_MFS669,Mimosa pudica,Mimosa pudica,Mimosa pudica
107,M._affinis_MFS814,Mimosa affinis,Mimosa affinis,Mimosa affinis
108,M._polydactyla_LC8652,Mimosa polydactyla,Mimosa polydactyla,Mimosa polydactyla
109,M._aff._xanthocentra_LPQ10476,Mimosa aff. xanthocentra,Mimosa aff. xanthocentra,Mimosa aff. xanthocentra
110,M._jacobita_CEH2400,Mimosa jacobita,Mimosa jacobita,Mimosa jacobita
111,M._xanthocentra_subsericea_CEH2403,Mimosa xanthocentra subsericea,Mimosa xanthocentra subsericea,Mimosa xanthocentra 
112,M._verecunda_MFS749,Mimosa verecunda,Mimosa verecunda,Mimosa verecunda
113,M._sensitiva_sensitiva_DA4,Mimosa sensitiva sensitiva,Mimosa sensitiva ,Mimosa sensitiva 
114,M._velloziana_velloziana_MFS721,Mimosa velloziana velloziana,Mimosa velloziana ,Mimosa velloziana 
115,M._casta_CDJ2189,Mimosa casta,Mimosa casta,Mimosa casta
