id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
4715,Minaria abortiva (E. Fourn.) Rapini,NA,Apocynaceae,species,accepted,Minaria abortiva,DD,,Minaria abortiva,Subarbusto,Terrícola,Campo rupestre,Cerrado|Mata Atlântica,Minaria abortiva
4716,Minaria acerosa (Mart.) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria acerosa,LC,,Minaria acerosa,Arbusto,Terrícola,Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Restinga,Caatinga|Cerrado|Mata Atlântica,Minaria acerosa
106000,Minaria bifurcata (Rapini) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria bifurcata,CR,,Minaria bifurcata,Arbusto,Rupícola,Campo rupestre,Cerrado,Minaria bifurcata
111787,Minaria campanuliflora Rapini,NA,Apocynaceae,species,accepted,Minaria campanuliflora,CR,,Minaria campanuliflora,Subarbusto,Rupícola,Campo rupestre,Cerrado,Minaria campanuliflora
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria cordata abortiva,NA,NA,NA,NA,Minaria cordata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria cordata cordata,NA,NA,NA,NA,Minaria cordata
4717,Minaria cordata (Turcz.) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria cordata,NA,,Minaria cordata,Subarbusto,Rupícola|Terrícola,Campo rupestre|Cerrado (lato sensu),Amazônia|Cerrado|Mata Atlântica,Minaria cordata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria cordata virgata,NA,NA,NA,NA,Minaria cordata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria cordatum,NA,NA,NA,NA,Minaria cordata
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria craterophora,NA,NA,NA,NA,NA
4718,Minaria decussata (Mart.) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria decussata,NA,,Minaria decussata,Arbusto|Subarbusto,Rupícola,Campo rupestre,Caatinga|Mata Atlântica,Minaria decussata
106006,Minaria diamantinensis (Fontella) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria diamantinensis,CR,,Minaria diamantinensis,Subarbusto,Rupícola|Terrícola,Campo rupestre,Cerrado,Minaria diamantinensis
106007,Minaria ditassoides (Silveira) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria ditassoides,NA,,Minaria ditassoides,Subarbusto,Rupícola|Terrícola,Campo rupestre,Cerrado,Minaria ditassoides
NA,NA,NA,NA,NA,NA,NA,NA,not found,Minaria ericoides,NA,NA,NA,NA,NA
106010,Minaria grazielae (Fontella & Marquete) T.U.P.Konno & Rapini,NA,Apocynaceae,species,accepted,Minaria grazielae,EN,,Minaria grazielae,Subarbusto,Rupícola,Campo rupestre,Cerrado,Minaria grazielae
127298,Minaria harleyi (Fontella & Marquete) Rapini & U.C.S.Silva,NA,Apocynaceae,species,accepted,Minaria harleyi,EN,,Minaria harleyi,Subarbusto,Rupícola,Campo rupestre,Caatinga,Minaria harleyi
