"taxa","suggested"
"Paepalanthus acantholimon","Paepalanthus acantholimon"
"Paepalanthus acanthophyllus","Paepalanthus acanthophyllus"
"Paepalanthus acantophyllus","Paepalanthus acanthophyllus"
"Paepalanthus actinocephaloides","Paepalanthus actinocephaloides"
"Paepalanthus aculeatus","Paepalanthus aculeatus"
"Paepalanthus acuminatus","Paepalanthus acuminatus"
"Paepalanthus acutalis","Paepalanthus acutalis"
"Paepalanthus acutipilus","Paepalanthus acutipilus"
"Paepalanthus aequalis","Paepalanthus aequalis"
"Paepalanthus aereus","Paepalanthus aereus"
"Paepalanthus albescens","Paepalanthus albescens"
"Paepalanthus albiceps","Paepalanthus albiceps"
"Paepalanthus albidum","Paepalanthus albidus"
"Paepalanthus albidus","Paepalanthus albidus"
"Paepalanthus albo-lanatus","Paepalanthus albo-vaginatus"
"Paepalanthus albo-tomentosus","Paepalanthus albo-tomentosus"
"Paepalanthus albotomentosus","Paepalanthus albo-tomentosus"
"Paepalanthus albovaginatus fuscobracteatus","Paepalanthus albo-vaginatus var. fuscobracteatus"
"Paepalanthus albovaginatus","Paepalanthus albovaginatus"
"Paepalanthus albo-villosus","Paepalanthus albo-villosus"
"Paepalanthus albovillosus","Paepalanthus albo-villosus"
"Paepalanthus aleurophyllus","Paepalanthus aleurophyllus"
"Paepalanthus allemanii","Paepalanthus allemanii"
"Paepalanthus almasensis","Paepalanthus almasensis"
"Paepalanthus almosensis","Paepalanthus almasensis"
"Paepalanthus altamirensis","Paepalanthus altamirensis"
"Paepalanthus amoenus curralensis","Paepalanthus amoenus var. curralensis"
"Paepalanthus amoenus","Paepalanthus amoenus"
"Paepalanthus amoenus prolifer","Paepalanthus amoenus var. prolifer"
"Paepalanthus amoenus var. curralensis","Paepalanthus amoenus var. curralensis"
"Paepalanthus anamariae","Paepalanthus anamariae"
"Paepalanthus angustifolius","Paepalanthus angustifolius"
"Paepalanthus applanatus","Paepalanthus applanatus"
"Paepalanthus appressus","Paepalanthus appressus"
"Paepalanthus archeri","Paepalanthus archeri"
"Paepalanthus aremicola","Paepalanthus arenicola"
"Paepalanthus arenicola","Paepalanthus arenicola"
"Paepalanthus aretioides","Paepalanthus aretioides"
"Paepalanthus argenteus argenteus","Paepalanthus argenteus var. argenteus"
"Paepalanthus argenteus elatus","Paepalanthus argenteus var. elatus"
"Paepalanthus argenteus","Paepalanthus argenteus"
"Paepalanthus argenteus viridis","Paepalanthus argenteus var. viridis"
"Paepalanthus argillicola","Paepalanthus argillicola"
"Paepalanthus argyrolinon","Paepalanthus argyrolinon"
"Paepalanthus argyropus","Paepalanthus argyropus"
"Paepalanthus argyrotrychus","Paepalanthus argyrotrychus"
"Paepalanthus armeria","Paepalanthus armeria"
"Paepalanthus ascendens","Paepalanthus ascendens"
"Paepalanthus ater","Paepalanthus ater"
"Paepalanthus atrovaginatus","Paepalanthus atrovaginatus"
"Paepalanthus augustus augustus","Paepalanthus augustus var. augustus"
"Paepalanthus augustus","Paepalanthus augustus"
"Paepalanthus augustus picensis","Paepalanthus augustus var. picensis"
"Paepalanthus aureus","Paepalanthus aureus"
"Paepalanthus balansae","Paepalanthus balansae"
"Paepalanthus barauensis","Paepalanthus baraunensis"
"Paepalanthus baraunensis","Paepalanthus baraunensis"
"Paepalanthus barbiger","Paepalanthus barbiger"
"Paepalanthus barbulatus","Paepalanthus barbulatus"
"Paepalanthus barreirensis","Paepalanthus barreirensis"
"Paepalanthus benedicti","Paepalanthus benedictii"
"Paepalanthus bifidus brevipes",NA
"Paepalanthus bifidus","Paepalanthus bifidus"
"Paepalanthus bifrons","Paepalanthus bifrons"
"Paepalanthus blepharocnemis","Paepalanthus blepharocnemis"
"Paepalanthus blepharophorus","Paepalanthus blepharophorus"
"Paepalanthus bombacinus","Paepalanthus bombacinus"
"Paepalanthus bongardii","Paepalanthus bongardii"
"Paepalanthus bonsai","Paepalanthus bonsai"
