id,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vegetation.type,domain,corrected.name
583309,Neomarica brachypus (Baker) Sprague,NA,Iridaceae,species,accepted,Neomarica brachypus,NA,,Neomarica brachypus,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica brachypus
17833,Neomarica caerulea (Ker Gawl.) Sprague,NA,Iridaceae,species,accepted,Neomarica caerulea,NA,,Neomarica caerulea,Erva,Rupícola|Terrícola,Área Antrópica|Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,Mata Atlântica,Neomarica caerulea
36349,Neomarica candida (Hassl.) Sprague,NA,Iridaceae,species,accepted,Neomarica candida,NA,,Neomarica candida,Erva,Terrícola,Floresta Ciliar ou Galeria|Restinga,Mata Atlântica,Neomarica candida
17839,Trimezia caulosa Ravenna,NA,Iridaceae,species,accepted,Trimezia caulosa,NA,replaced synonym,Neomarica caulosa,Erva,Terrícola,Área Antrópica|Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Trimezia caulosa
136557,Neomarica eburnea A. Gil & M.C.E.Amaral,NA,Iridaceae,species,accepted,Neomarica eburnea,NA,,Neomarica eburnea,Erva,Rupícola|Terrícola,Floresta Estacional Semidecidual|Vegetação Sobre Afloramentos Rochosos,Caatinga,Neomarica eburnea
136558,Neomarica floscella A. Gil & M.C.E.Amaral,NA,Iridaceae,species,accepted,Neomarica floscella,NA,,Neomarica floscella,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica floscella
8063,Neomarica sabinei (Lindl.) Chukr,NA,Iridaceae,species,accepted,Neomarica sabinei,LC,replaced synonym,Neomarica fluminensis,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,Mata Atlântica,Neomarica sabinei
8055,Neomarica glauca (Seub. ex Klatt) Sprague,NA,Iridaceae,species,accepted,Neomarica glauca,NT,,Neomarica glauca,Erva,Terrícola,Campo rupestre|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,Cerrado|Mata Atlântica,Neomarica glauca
8056,Neomarica gracilis (Herb.) Sprague,NA,Iridaceae,species,accepted,Neomarica gracilis,NA,,Neomarica gracilis,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica gracilis
8058,Neomarica humilis (Klatt) Capell.,NA,Iridaceae,species,accepted,Neomarica humilis,LC,,Neomarica humilis,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga,Mata Atlântica,Neomarica humilis
8059,Neomarica imbricata (Hand.-Mazz.) Sprague,NA,Iridaceae,species,accepted,Neomarica imbricata,NA,,Neomarica imbricata,Erva,Terrícola,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,Mata Atlântica,Neomarica imbricata
602962,Neomarica involuta A.Gil & M.C.E.Amaral,NA,Iridaceae,species,accepted,Neomarica involuta,NA,,Neomarica involuta,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica involuta
105567,Neomarica itatiaica (Ravenna) A. Gil,NA,Iridaceae,species,accepted,Neomarica itatiaica,NA,,Neomarica itatiaica,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica itatiaica
36352,Neomarica longifolia (Link & Otto) Sprague,NA,Iridaceae,species,accepted,Neomarica longifolia,NT,,Neomarica longifolia,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica longifolia
NA,NA,NA,NA,NA,NA,NA,NA,not found,Neomarica multibracteata,NA,NA,NA,NA,NA
8060,Neomarica northiana (Schneev.) Sprague,NA,Iridaceae,species,accepted,Neomarica northiana,NA,,Neomarica northiana,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial)|Restinga|Vegetação Sobre Afloramentos Rochosos,Mata Atlântica,Neomarica northiana
NA,NA,NA,NA,NA,NA,NA,NA,not found,Neomarica paludosa warmingii,NA,NA,NA,NA,NA
58162,Trimezia paradoxa Ravenna,NA,Iridaceae,species,accepted,Trimezia paradoxa,NA,replaced synonym,Neomarica paradoxa,Erva,Terrícola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga|Cerrado,Trimezia paradoxa
105569,Neomarica pardina (Ravenna) A. Gil,NA,Iridaceae,species,accepted,Neomarica pardina,NA,,Neomarica pardina,Erva,Terrícola,Floresta Ombrófila (= Floresta Pluvial),Mata Atlântica,Neomarica pardina
