taxa,suggested,corrected,srcs
Aylthonia blanchetii,Angelonia blanchetii,?,
Aylthonia cyananthera,NA,?,
Aylthonia damaziana,Aylthonia damaziana,Barbacenia damaziana,The Plant List
Aylthonia gentianoides,Aylthonia gentianoides,Barbacenia gentianoides,The Plant List
Aylthonia longiflora,NA,?,
Aylthonia luzulaefolia,Aylthonia luzulifolia,Barbacenia luzulifolia,The Plant List
Aylthonia macrantha,Aylthonia macrantha,Barbacenia macrantha,The Plant List
Aylthonia nuda,Aylthonia rubra,?,
Aylthonia tomentosa,Aylthonia tomentosa,Barbacenia tomentosa,The Plant List
Aylthonia tricolor,Aylthonia tricolor,Barbacenia tricolor,The Plant List
Ayltonia blackii,Aylthonia blackii,Barbacenia blackii,The Plant List
Ayltonia gardneri,Angelonia gardneri,?,
Ayltonia gentianoides gentianoides,NA,?,
Ayltonia gentianoides magalhasii,NA,?,
Ayltonia macrantha,Aylthonia macrantha,Barbacenia macrantha,The Plant List
Barbacenia albiflora,Barbacenia albiflora,Barbacenia markgrafii,The Plant List
Barbacenia andersonii,Barbacenia andersonii,Barbacenia andersonii,The Plant List
Barbacenia aurea,Barbacenia aurea,Barbacenia aurea,The Plant List
Barbacenia beauverdii,Barbacenia beauverdii,Barbacenia beauverdii,The Plant List
Barbacenia bibiriensis,Barbacenia bibiriensis,Barbacenia markgrafii,The Plant List
Barbacenia bishopii,Barbacenia bishopii,Barbacenia bishopii,The Plant List
Barbacenia blackii,Barbacenia blackii,Barbacenia blackii,The Plant List
Barbacenia blanchetii,Barbacenia blanchetii,Barbacenia blanchetii,The Plant List
Barbacenia brachycalyx,Barbacenia brachycalyx,Barbacenia brachycalyx,The Plant List
Barbacenia brasiliensis,Barbacenia brasiliensis,Barbacenia brasiliensis,The Plant List
Barbacenia brevifolia,Barbacenia brevifolia,Barbacenia brevifolia,The Plant List
Barbacenia brevifolia recurvata,Barbacenia brevifolia var. recurvata,Barbacenia longiscapa,Flora do brasil 2020
Barbacenia caricina,Barbacenia caricina,Barbacenia caricina,The Plant List
Barbacenia cf. goethartii,Barbacenia cf. goethartii,?,
Barbacenia conicostigma macrantha,NA,?,
Barbacenia conicostigma,Barbacenia conicostigma,Barbacenia conicostigma,The Plant List
Barbacenia contasana,Barbacenia contasana,Barbacenia contasana,The Plant List
Barbacenia coronata,Barbacenia coronata,Barbacenia coronata,The Plant List
Barbacenia curviflora,Barbacenia curviflora,Barbacenia curviflora,The Plant List
Barbacenia cyananthera,Barbacenia cyananthera,Barbacenia cyananthera,The Plant List
Barbacenia cylindrica,Barbacenia cylindrica,Barbacenia cylindrica,The Plant List
Barbacenia damaziana,Barbacenia damaziana,Barbacenia damaziana,The Plant List
Barbacenia delicatula,Barbacenia delicatula,Barbacenia delicatula,The Plant List
Barbacenia ensifolia,Barbacenia ensifolia,Barbacenia ensifolia,The Plant List
Barbacenia exscapa,Barbacenia exscapa,Barbacenia exscapa,The Plant List
Barbacenia filamentifera,Barbacenia filamentifera,Barbacenia filamentifera,The Plant List
Barbacenia flava flava,Barbacenia flava var. flava,Barbacenia flava,The Plant List
Barbacenia flava minor,Barbacenia flava var. minor,Barbacenia flava,Flora do Brasil 2020
Barbacenia flava,Barbacenia flava,Barbacenia flava,The Plant List
Barbacenia flavida,Barbacenia flavida,Barbacenia flavida,The Plant List
Barbacenia fragrans,Barbacenia fragrans,Barbacenia fragrans,The Plant List
Barbacenia fulva,Barbacenia fulva,Barbacenia fulva,The Plant List
