"taxa","suggested"
"Aylthonia blanchetii","Angelonia blanchetii"
"Aylthonia cyananthera",NA
"Aylthonia damaziana","Aylthonia damaziana"
"Aylthonia gentianoides","Aylthonia gentianoides"
"Aylthonia longiflora",NA
"Aylthonia luzulaefolia","Aylthonia luzulifolia"
"Aylthonia macrantha","Aylthonia macrantha"
"Aylthonia nuda","Aylthonia rubra"
"Aylthonia tomentosa","Aylthonia tomentosa"
"Aylthonia tricolor","Aylthonia tricolor"
"Ayltonia blackii","Aylthonia blackii"
"Ayltonia gardneri","Angelonia gardneri"
"Ayltonia gentianoides gentianoides",NA
"Ayltonia gentianoides magalhasii",NA
"Ayltonia macrantha","Aylthonia macrantha"
"Barbacenia albiflora","Barbacenia albiflora"
"Barbacenia andersonii","Barbacenia andersonii"
"Barbacenia aurea","Barbacenia aurea"
"Barbacenia beauverdii","Barbacenia beauverdii"
"Barbacenia bibiriensis","Barbacenia bibiriensis"
"Barbacenia bishopii","Barbacenia bishopii"
"Barbacenia blackii","Barbacenia blackii"
"Barbacenia blanchetii","Barbacenia blanchetii"
"Barbacenia brachycalyx","Barbacenia brachycalyx"
"Barbacenia brasiliensis","Barbacenia brasiliensis"
"Barbacenia brevifolia","Barbacenia brevifolia"
"Barbacenia brevifolia recurvata","Barbacenia brevifolia var. recurvata"
"Barbacenia caricina","Barbacenia caricina"
"Barbacenia cf. goethartii","Barbacenia cf. goethartii"
"Barbacenia conicostigma macrantha",NA
"Barbacenia conicostigma","Barbacenia conicostigma"
"Barbacenia contasana","Barbacenia contasana"
"Barbacenia coronata","Barbacenia coronata"
"Barbacenia curviflora","Barbacenia curviflora"
"Barbacenia cyananthera","Barbacenia cyananthera"
"Barbacenia cylindrica","Barbacenia cylindrica"
"Barbacenia damaziana","Barbacenia damaziana"
"Barbacenia delicatula","Barbacenia delicatula"
"Barbacenia ensifolia","Barbacenia ensifolia"
"Barbacenia exscapa","Barbacenia exscapa"
"Barbacenia filamentifera","Barbacenia filamentifera"
"Barbacenia flava flava","Barbacenia flava var. flava"
"Barbacenia flava minor","Barbacenia flava var. minor"
"Barbacenia flava","Barbacenia flava"
"Barbacenia flavida","Barbacenia flavida"
"Barbacenia fragrans","Barbacenia fragrans"
"Barbacenia fulva","Barbacenia fulva"
"Barbacenia gardneri","Barbacenia gardneri"
"Barbacenia gaveensis","Barbacenia gaveensis"
"Barbacenia gentianoides magalhaesii","Barbacenia gentianoides var. magalhaesii"
"Barbacenia gentianoides","Barbacenia gentianoides"
"Barbacenia glabra","Barbacenia glabra"
"Barbacenia glauca","Barbacenia glauca"
"Barbacenia glaziovii","Barbacenia glaziovii"
"Barbacenia globata","Barbacenia globata"
"Barbacenia glutinosa","Barbacenia glutinosa"
"Barbacenia goethartii","Barbacenia goethartii"
"Barbacenia gounelleana","Barbacenia gounelleana"
"Barbacenia graminifolia","Barbacenia graminifolia"
"Barbacenia grisea","Barbacenia grisea"
"Barbacenia hatschbachii","Barbacenia hatschbachii"
"Barbacenia hilairei","Barbacenia hilairei"
"Barbacenia hirtiflora","Barbacenia hirtiflora"
"Barbacenia ignea","Barbacenia ignea"
"Barbacenia inclinata","Barbacenia inclinata"
"Barbacenia involucrata","Barbacenia involucrata"
"Barbacenia ionantha","Barbacenia ionantha"
"Barbacenia irwiniana","Barbacenia irwiniana"
"Barbacenia itabirensis","Barbacenia itabirensis"
"Barbacenia latifolia","Barbacenia latifolia"
"Barbacenia leucopoda","Barbacenia leucopoda"
