"","Calliandra_dysantha","Calliandra_bahiana","Calliandra_viscidula","Calliandra_lintea","Calliandra_calycina","Calliandra_mucugeana","Calliandra_sessilis","Calliandra_asplenioides","Calliandra_coccinea","Calliandra_fasciculata","Calliandra_virgata","Calliandra_lanata","Calliandra_longipinna","Calliandra_semisepulta","Calliandra_erubescens","Calliandra_nebulosa","Calliandra_macrocalyx","Calliandra_luetzelburgii","Calliandra_hygrophila","Calliandra_crassipes","Calliandra_paganuccii","Calliandra_bella","Calliandra_silvicola","Calliandra_renvoizeana","Calliandra_iligna","Calliandra_paterna","Calliandra_cumbucana","Calliandra_hirtiflora","Calliandra_pittieri","Calliandra_depauperata","Calliandra_brevipes","Calliandra_longipes","Calliandra_pilgerana","Calliandra_riparia","Calliandra_parviflora","Calliandra_leptopoda","Calliandra_brevicaulis"
"501",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"351",0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"352",0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"312",0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"430",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"391",0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392",0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
