"","Cattleya_bradei","Cattleya_liliputana","Cattleya_brevipedunculata","Cattleya_rupestris","Cattleya_ghillanyi","Cattleya_briegeri","Cattleya_esalqueana","Cattleya_pumila","Cattleya_cinnabarina","Cattleya_longipes","Cattleya_luetzelburgii","Cattleya_pfisteri","Cattleya_fournieri","Cattleya_viridiflora","Cattleya_caulescens","Cattleya_sanguiloba","Cattleya_walkeriana","Cattleya_coccinea","Cattleya_cernua"
"708",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"828",1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
"589",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748",0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"668",1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"312",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"351",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"788",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
