"","Diplusodon_hexander","Diplusodon_virgatus","Diplusodon_orbicularis","Diplusodon_microphyllus","Diplusodon_uninervius","Diplusodon_parvifolius","Diplusodon_plumbeus","Diplusodon_helianthemifolius","Diplusodon_capitalensis","Diplusodon_lanceolatus","Diplusodon_minasensis","Diplusodon_ulei","Diplusodon_hirsutus","Diplusodon_rotundifolius","Diplusodon_rosmarinifolius","Diplusodon_glaziovii","Diplusodon_ramosissimus","Diplusodon_glaucescens","Diplusodon_puberulus","Diplusodon_sigillatus","Diplusodon_strigosus","Diplusodon_oblongus","Diplusodon_panniculatus","Diplusodon_sessiliflorus","Diplusodon_sordidus","Diplusodon_candollei","Diplusodon_villosus","Diplusodon_aggregatifolius","Diplusodon_heringeri","Diplusodon_incanus","Diplusodon_bradei","Diplusodon_marginatus","Diplusodon_quintuplinervius","Diplusodon_nitidus","Diplusodon_glocimarii","Diplusodon_mononeuros","Diplusodon_micromerus","Diplusodon_paraisoensis","Diplusodon_bahiensis","Diplusodon_hatschbachii","Diplusodon_epilobioides","Diplusodon_astictus","Diplusodon_thymifolius","Diplusodon_buxifolius","Diplusodon_argyrophyllus","Diplusodon_subsericeus","Diplusodon_burchellii","Diplusodon_vidalii","Diplusodon_ciliatiflorus","Diplusodon_cordifolius","Diplusodon_villosissimus","Diplusodon_ericoides","Diplusodon_fastigiatus","Diplusodon_bolivianus","Diplusodon_pygmaeus","Diplusodon_adpressipilus","Diplusodon_ovatus","Diplusodon_argenteus","Diplusodon_appendiculosus","Diplusodon_kielmeyeroides","Diplusodon_macrodon","Diplusodon_alatus","Diplusodon_chapadensis","Diplusodon_rupestris","Diplusodon_decussatus"
"708",1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"823",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"748",0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"828",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"391",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"502",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
