"","Lychnophora_passerina","Lychnophora_salicifolia","Lychnophora_triflora","Lychnophoriopsis_hatschbachii","Minasia_scapigera","Minasia_alpestris","Piptolepis_ericoides","Lychnophora_ericoides","Lychnophora_tomentosa","Lychnophora_diamantinana","Eremanthus_elaeagnus","Lychnophoriopsis_candelabrum","Lychnophora_sellowii","Lychnophora_villosissima","Paralychnophora_bicolor","Eremanthus_capitatus","Heterocoma_gracilis","Proteopsis_argentea","Minasia_ramosa","Albertinia_brasiliensis","Eremanthus_polycephalus","Eremanthus_mollis","Piptolepis_schultziana","Lychnophora_granmogolensis","Eremanthus_glomerulatus","Lychnophora_gardneri","Lychnophora_markgravii","Lychnophoriopsis_damazioi","Hololepis_pedunculata","Eremanthus_incanus","Heterocoma_erecta","Eremanthus_leucodendron","Eremanthus_goyazensis","Eremanthus_crotonoides","Eremanthus_erythropappus","Lychnophora_crispa","Heterocoma_lanuginosa","Lychnophora_regis","Anteremanthus_hatschbachii","Minasia_cabralensis","Lychnophora_mellobarretoi","Heterocoma_albida","Lychnophora_bishopii","Eremanthus_mattogrossensis","Eremanthus_pabstii","Eremanthus_veadeiroensis","Heterocoma_ekmaniana","Piptolepis_monticola","Piptolepis_oleaster","Eremanthus_auriculatus","Chresta_pacourinoides","Eremanthus_uniflorus","Lychnophora_humillima","Eremanthus_argenteus","Eremanthus_brevifolius","Lychnophora_ramosissima","Blanchetia_heterotricha","Eremanthus_arboreus","Paralychnophora_reflexoauriculata","Paralychnophora_harleyi","Chronopappus_bifrons","Paralychnophora_glaziouana","Paralychnophora_atkinsiae","Paralychnophora_patriciana","Heterocoma_robinsoniana","Prestelia_eriopus"
"867",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"667",0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1
"708",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"788",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"588",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"351",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
