"","Mimosa_gemmulata","Mimosa_filipes","Mimosa_albolanata","Mimosa_echinocaula","Mimosa_foliolosa","Mimosa_decorticans","Mimosa_claussenii","Mimosa_densa","Mimosa_cuiabensis","Mimosa_radula","Mimosa_blanchetii","Mimosa_misera","Mimosa_adenocarpa","Mimosa_polydidyma","Mimosa_pithecolobioides","Mimosa_hirsutissima","Mimosa_chiliomera","Mimosa_paucifolia","Mimosa_sensitiva","Mimosa_adenotricha","Mimosa_barretoi","Mimosa_crumenarioides","Mimosa_honesta","Mimosa_hypoglauca","Mimosa_somnians","Mimosa_setosa","Mimosa_aurivillus","Mimosa_nuda","Mimosa_antrorsa","Mimosa_pteridifolia","Mimosa_ulei","Mimosa_dolens","Mimosa_mensicola","Mimosa_pseudoradula","Mimosa_gracilis","Mimosa_speciosissima","Mimosa_rufipila","Mimosa_xanthocentra","Mimosa_procurrens","Mimosa_leprosa","Mimosa_maguirei","Mimosa_modesta","Mimosa_irrigua","Mimosa_parviceps","Mimosa_furfuracea","Mimosa_lewisii","Mimosa_arenosa","Mimosa_papposa","Mimosa_velloziana","Mimosa_diplotricha","Mimosa_ulbrichiana","Mimosa_adamantina","Mimosa_longepedunculata","Mimosa_heringeri","Mimosa_bimucronata","Mimosa_cyclophylla","Mimosa_lanuginosa","Mimosa_cordistipula","Mimosa_campicola","Mimosa_guaranitica","Mimosa_debilis","Mimosa_scabrella","Mimosa_macedoana","Mimosa_tenuiflora","Mimosa_chrysastra","Mimosa_accedens","Mimosa_verecunda","Mimosa_laticifera","Mimosa_caliciadenia","Mimosa_setuligera","Mimosa_acutistipula","Mimosa_minarum","Mimosa_manidea","Mimosa_melanocarpa","Mimosa_caesalpiniifolia","Mimosa_ceratonia","Mimosa_myriophylla","Mimosa_acroconica","Mimosa_setosissima","Mimosa_tocantina","Mimosa_riedelii","Mimosa_lithoreas","Mimosa_oedoclada","Mimosa_myrioglandulosa","Mimosa_pilulifera","Mimosa_invisa","Mimosa_pigra","Mimosa_adenophylla","Mimosa_mogolensis","Mimosa_laniceps","Mimosa_quadrivalvis","Mimosa_morroensis","Mimosa_rheiptera","Mimosa_pyrenea","Mimosa_gatesiae","Mimosa_ophthalmocentra","Mimosa_nothopteris","Mimosa_ursina","Mimosa_candollei","Mimosa_sanguinolenta","Mimosa_ramulosa","Mimosa_schomburgkii","Mimosa_hapaloclada","Mimosa_pudica","Mimosa_prorepens","Mimosa_regina","Mimosa_stylosa","Mimosa_dicerastes","Mimosa_dominarum","Mimosa_cryptothamnos","Mimosa_virgula","Mimosa_verrucosa","Mimosa_artemisiana","Mimosa_elliptica","Mimosa_hebecarpa","Mimosa_schleidenii","Mimosa_vestita","Mimosa_brachycarpa","Mimosa_interrupta","Mimosa_dormiens"
"748",1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581",1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"668",1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
