"","Paepalanthus_xanthopus","Paepalanthus_acanthophyllus","Paepalanthus_hydra","Paepalanthus_augustus","Paepalanthus_plumosus","Paepalanthus_calvulus","Paepalanthus_dasynema","Paepalanthus_comans","Paepalanthus_polygonus","Paepalanthus_macrocephalus","Paepalanthus_argenteus","Paepalanthus_bifidus","Paepalanthus_trichophyllus","Paepalanthus_subtilis","Paepalanthus_crinitus","Paepalanthus_contasensis","Paepalanthus_nigrescens","Paepalanthus_chrysolepis","Paepalanthus_melaleucus","Paepalanthus_albiceps","Paepalanthus_bryoides","Paepalanthus_eriophaeus","Paepalanthus_planifolius","Paepalanthus_villosulus","Paepalanthus_macrocaulon","Paepalanthus_diplobetor","Paepalanthus_vellozioides","Paepalanthus_scleranthus","Paepalanthus_mendoncianus","Paepalanthus_exiguus","Paepalanthus_amoenus","Paepalanthus_viridulus","Paepalanthus_chiquitensis","Paepalanthus_scandens","Paepalanthus_barbulatus","Paepalanthus_pulvinatus","Paepalanthus_regalis","Paepalanthus_erigeron","Paepalanthus_serpens","Paepalanthus_erectifolius","Paepalanthus_flaccidus","Paepalanthus_leucocephalus","Paepalanthus_scirpeus","Paepalanthus_regelianus","Paepalanthus_distichophyllus","Paepalanthus_macropodus","Paepalanthus_sphaerocephalus","Paepalanthus_canescens","Paepalanthus_ovatus","Paepalanthus_echinoides","Paepalanthus_niger","Paepalanthus_spathulatus","Paepalanthus_pulchellus","Paepalanthus_obtusifolius","Paepalanthus_reflexus","Paepalanthus_mollis","Paepalanthus_capillifolius","Paepalanthus_harleyi","Paepalanthus_scholiophyllus","Paepalanthus_freyreissii","Paepalanthus_lamarckii","Paepalanthus_aretioides","Paepalanthus_cinereus","Paepalanthus_almasensis","Paepalanthus_stannardii","Paepalanthus_calvus","Paepalanthus_pubescens","Paepalanthus_tortilis","Paepalanthus_bromelioides","Paepalanthus_praemorsus","Paepalanthus_microphyllus","Paepalanthus_ciliolatus","Paepalanthus_chrysophorus","Paepalanthus_subfalcatus","Paepalanthus_baraunensis","Paepalanthus_spixianus","Paepalanthus_silveirae","Paepalanthus_latifolius","Paepalanthus_diamantinensis","Paepalanthus_implicatus","Paepalanthus_camptophyllus","Paepalanthus_polytrichoides","Paepalanthus_trichopetalus","Paepalanthus_rupestris","Paepalanthus_flavorutilus","Paepalanthus_superbus","Paepalanthus_latipes","Paepalanthus_canastrensis","Paepalanthus_cordatus","Paepalanthus_urbanianus","Paepalanthus_modestus","Paepalanthus_leucoblepharus","Paepalanthus_harmsii","Paepalanthus_acuminatus","Paepalanthus_albovaginatus","Paepalanthus_polycladus","Paepalanthus_bonsai","Paepalanthus_neglectus","Paepalanthus_sessiliflorus","Paepalanthus_prostratus","Actinocephalus_polyanthus","Paepalanthus_carvalhoi","Actinocephalus_ramosus","Actinocephalus_falcifolius","Paepalanthus_complanatus","Paepalanthus_longibracteatus","Paepalanthus_lundii","Paepalanthus_extremensis","Actinocephalus_stereophyllus","Actinocephalus_bongardii","Actinocephalus_divaricatus","Actinocephalus_brachypus","Paepalanthus_moedensis","Paepalanthus_guaraiensis"
"668",1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0
"382",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"828",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"748",0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"669",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"667",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"708",0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
