"","Vellozia_caespitosa","Vellozia_metzgerae","Vellozia_caruncularis","Vellozia_declinans","Vellozia_hatschbachii","Barbacenia_flava","Vellozia_stenocarpa","Vellozia_compacta","Vellozia_sellowii","Barbacenia_serracabralea","Vellozia_canelinha","Vellozia_caudata","Vellozia_tubiflora","Barbacenia_ignea","Barbacenia_delicatula","Vellozia_intermedia","Vellozia_epidendroides","Vellozia_auriculata","Vellozia_abietina","Vellozia_albiflora","Vellozia_aloifolia","Vellozia_hirsuta","Barbacenia_gentianoides","Barbacenia_tomentosa","Barbacenia_umbrosa","Vellozia_resinosa","Vellozia_patens","Barbacenia_filamentifera","Vellozia_minima","Vellozia_religiosa","Vellozia_variabilis","Vellozia_taxifolia","Vellozia_jolyi","Vellozia_hemisphaerica","Vellozia_dasypus","Vellozia_seubertiana","Vellozia_punctulata","Barbacenia_graminifolia","Vellozia_subscabra","Vellozia_graminea","Vellozia_furcata","Barbacenia_rubrovirens","Vellozia_froesii","Vellozia_strangii","Vellozia_spiralis","Vellozia_tragacantha","Vellozia_glabra","Vellozia_graomogolensis","Vellozia_maxillarioides","Vellozia_glauca","Vellozia_breviscapa","Vellozia_barbata","Barbacenia_fulva","Barbacenia_longiflora","Vellozia_geotegens","Vellozia_marcescens","Barbacenia_latifolia","Barbacenia_regis","Barbacenia_longiscapa","Barbacenia_gardneri","Barbacenia_markgrafii","Vellozia_ornata","Barbacenia_glabra","Barbacenia_glutinosa","Barbacenia_spiralis","Vellozia_ciliata","Vellozia_alata","Vellozia_prolifera","Vellozia_cryptantha","Vellozia_armata","Barbacenia_macrantha","Vellozia_streptophylla","Barbacenia_vandellii","Barbacenia_involucrata","Barbacenia_reflexa","Vellozia_semirii","Vellozia_luteola","Barbacenia_blackii","Vellozia_nanuzae","Barbacenia_blanchetii","Vellozia_goiasensis","Vellozia_exilis","Barbacenia_contasana","Barbacenia_plantaginea","Barbacenia_nana","Vellozia_brevifolia","Vellozia_nivea","Barbacenia_lymansmithii","Vellozia_peripherica","Vellozia_gigantea","Vellozia_giuliettiae","Barbacenia_bishopii","Vellozia_obtecta","Barbacenia_flavida","Barbacenia_pungens","Vellozia_candida"
"669",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748",0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0
"667",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"391",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
"708",0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"908",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
