"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
4,0.24,0.24,0.04,412,-0.11,0.412,999,"501",0.02
13,0.43,0.5,0.04,47,-1.7,0.047,999,"351",-0.04
12,0.37,0.47,0.04,6,-2.61,0.006,999,"352",-0.07
14,0.47,0.52,0.04,100,-1.29,0.1,999,"312",-0.02
6,0.3,0.31,0.04,430,-0.07,0.43,999,"430",0.04
3,0.21,0.2,0.04,417.5,0.22,0.4175,999,"152",0.03
9,0.38,0.39,0.04,418,-0.21,0.418,999,"668",0.03
8,0.31,0.36,0.04,79,-1.45,0.079,999,"391",-0.01
7,0.28,0.34,0.04,40,-1.52,0.04,999,"392",-0.01
4,0.22,0.24,0.04,124,-0.6,0.124,999,"708",0.01
1,0.09,0.09,0,599.5,0.25,0.5995,999,"381",-0.03
3,0.21,0.2,0.04,353,0.17,0.353,999,"549",0.03
3,0.24,0.2,0.04,883,1.12,0.883,999,"589",0.06
6,0.35,0.31,0.04,899,1.22,0.899,999,"311",0.08
6,0.25,0.31,0.04,45,-1.47,0.045,999,"390",-0.02
5,0.27,0.28,0.04,437,-0.07,0.437,999,"232",0.03
3,0.13,0.2,0.03,20,-2.08,0.02,999,"233",-0.05
1,0.09,0.09,0,599.5,0.25,0.5995,999,"541",-0.03
2,0.12,0.16,0.03,319,-1.13,0.319,999,"272",-0.04
4,0.25,0.24,0.04,538,0.17,0.538,999,"748",0.04
2,0.19,0.16,0.03,760.5,0.91,0.7605,999,"667",0.03
2,0.13,0.16,0.03,388.5,-0.74,0.3885,999,"581",-0.02
1,0.09,0.09,0,425.5,0.1,0.4255,999,"587",-0.03
2,0.15,0.15,0.03,475,-0.14,0.475,999,"230",-0.01
1,0.09,0.09,0,425.5,0.1,0.4255,999,"550",-0.03
1,0.09,0.09,0,599.5,0.25,0.5995,999,"502",-0.03
3,0.24,0.2,0.04,883,1.12,0.883,999,"469",0.06
4,0.26,0.24,0.04,612,0.39,0.612,999,"470",0.04
2,0.11,0.15,0.03,13,-1.5,0.013,999,"270",-0.05
1,0.09,0.09,0,425.5,0.1,0.4255,999,"669",-0.03
4,0.29,0.24,0.04,946,1.23,0.946,999,"828",0.07
1,0.09,0.09,0,599.5,0.25,0.5995,999,"906",-0.03
