"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
4,0.31,0.32,0.05,413,-0.21,0.413,999,"708",0.03
10,0.51,0.62,0.07,64,-1.54,0.064,999,"828",-0.06
1,0.13,0.13,0,797,0.84,0.797,999,"589",0
6,0.42,0.43,0.06,510,-0.03,0.51,999,"748",0.05
6,0.34,0.43,0.06,89,-1.38,0.089,999,"668",-0.03
2,0.14,0.2,0.03,11,-2.1,0.011,999,"312",-0.04
2,0.14,0.2,0.03,11,-2.1,0.011,999,"351",-0.04
2,0.14,0.2,0.03,11,-2.1,0.011,999,"392",-0.04
1,0.13,0.13,0,486.5,0.11,0.4865,999,"352",0
1,0.13,0.13,0,330,-0.11,0.33,999,"787",0
2,0.23,0.2,0.03,825,0.92,0.825,999,"827",0.05
5,0.43,0.37,0.06,808,0.99,0.808,999,"788",0.1
